,EXEC,INST,IPC,L2MISS,FREQ,L2MPI,PhysIPC%,INSTnom%,L3MISS,MEM,L3HIT,L3MPI,GT,Pred
701,0.3517333333333333,0.3222446041278671,0.7253623188405797,0.028672566371671263,0.2797221686280997,0.036202085004024144,0.7252173913043478,0.35200000000000004,0.008367224367224368,0.012309650053022269,0.9946,0.00784748201438849,1.0165282084,1.0160145089610906
132,0.42825,0.2642360106101621,0.884963768115942,0.02445929203538957,0.27921811692059456,0.025165898155583465,0.884963768115942,0.4283333333333333,0.0055834405834405835,0.008570166136443973,0.995625,0.004260791366906475,1.01618360147,1.020805741290715
516,0.421,0.2733014017096474,0.8559782608695652,0.02350353982300053,0.283860698437089,0.025080192461918636,0.8568840579710146,0.42133333333333334,0.012685542685542688,0.01914103923647932,0.99,0.010025179856115108,1.02971369713,1.01522236065028
310,0.9485714285733334,0.42270435486126595,0.5535714285724639,0.25359292035389247,0.9885477247035545,0.11851873066809082,0.5532091097311594,0.9482857142853334,0.005781700067421707,0.007851335656217746,0.9998571428569999,0.0020030832476834533,1.2857854215200002,1.312588920782394
503,0.318285714286,0.3562301469922333,0.6563146997934783,0.024594690265478017,0.27954025523035714,0.034509107572483766,0.6563146997927536,0.3182857142853333,0.01097750812036036,0.0215947078725486,0.991571428571,0.011418293936273383,1.01804059009,1.0225737686173304
309,0.313393939394,0.36127352524309,0.6472332015797101,0.030899758648417375,0.2793748794136487,0.0440256615878284,0.6471673254282609,0.31345454545466667,0.00817908817908194,0.015893826922460236,0.995090909091,0.008635709614129496,1.02192569799,1.0218738366997693
311,0.44206060606066666,0.6379433837281328,0.36627140975000005,0.5653419147236936,0.6960254678753826,0.566559743384349,0.36640316205507245,0.44193939394000004,0.005873405873410554,0.008271474019088019,1.0,0.004355788096791367,1.02324813928,1.0395779689952025
566,0.5984444444446667,0.37803978281450856,0.6183574879239131,0.04444247787609045,0.5585246639649591,0.03300721732159703,0.617995169081884,0.598444444444,0.007550407550407551,0.012221043949579355,0.9966666666670001,0.004155875299755396,1.0105158747299998,1.031607277828758
719,0.34346666666666664,0.331495045287705,0.7050724637681159,0.030730619469015667,0.2807833301175841,0.03962309542904556,0.7052173913043478,0.34319999999999995,0.008878592878592878,0.014410745846588899,0.9946,0.008480575539568345,1.0194732119,1.015714016094118
527,0.32383333333333336,0.35156195148141606,0.6648550724637682,0.027414159292025692,0.28067721396863565,0.03734963913393638,0.665036231884058,0.32366666666666666,0.014907764907764907,0.02900318133616119,0.99,0.015032374100719424,1.0255849772499999,1.0191210562641073
496,0.312074074074,0.6824964663347206,0.4529790660217392,0.05404247787598086,0.5244495894694098,0.0761026463513136,0.45297906602246385,0.312148148148,0.6329567662908623,0.733199795765288,0.812555555556,0.6590567545956836,1.21747524127,1.2032724172838838
685,0.436777777778,0.6485960980640477,0.36092995169094205,0.7699115044255681,0.6983326902045348,0.7851844426615016,0.3607487922702899,0.43677777777733334,0.011713141713135995,0.009758336279010254,0.999833333333,0.00858153477218705,1.2682131133499999,1.2300856275480525
37,0.4388095238093333,0.6411448378978922,0.3642339544528985,0.6913274336280738,0.6948333838648678,0.6910585404974704,0.36428571428550727,0.43885714285733335,0.005063430777709137,0.00664242791496642,1.0,0.003745118191165468,1.0472309139899998,1.1406777945639073
650,0.32293333333333335,0.3516475369539158,0.6652173913043479,0.02825840707963601,0.28035886552179035,0.038973536487585794,0.6649275362318842,0.32293333333333335,0.012066924066924068,0.02418381053375751,0.9922,0.012305035971223023,1.04085005445,1.019796754941957
