,EXEC,L2MISS,MEM,L3MISS,INSTnom%,L3MPI,PhysIPC%,INST,FREQ,IPC,L3HIT,L2MPI,GT,Pred
381,0.46511111111133335,0.5299115044235291,0.018140685754683635,0.01192049192049764,0.4653333333333333,0.008383693045568345,0.386231884057971,0.6072568810422664,0.6947070551161703,0.38647342995289863,1.0,0.5040096230968341,1.06168204055,1.0754516823031393
216,0.36133333333333334,0.016199999999994264,0.02303287380699894,0.014225654225654227,0.36133333333333334,0.012769784172661872,0.7427536231884058,0.31467795308016216,0.28067721396863565,0.7427536231884058,0.9835,0.01961307137129896,0.995218321946,1.0212783183550245
541,0.332222222222,0.02049557522122106,0.03117709437959703,0.01528957528957529,0.332,0.015155875299712232,0.6814009661833333,0.34321328009064744,0.2808540742172368,0.6823671497572464,0.986,0.027461908580604436,1.04388812552,1.0196307055852554
537,0.3728888888886667,0.4460176991148863,0.01688700365264051,0.011525811525817244,0.37288888888933336,0.010258992805755396,0.5108695652173914,0.45750870796468923,0.42092739082918346,0.5108695652173914,0.9996666666670001,0.5364875701698222,1.0204915800799998,1.0553465356826073
56,0.3668888888886667,0.02720707964600806,0.018395192647578648,0.011462891462891462,0.3666666666666667,0.010278177458028778,0.7512077294710146,0.3104271008477432,0.2808540742172368,0.7536231884057972,0.992,0.03292301523656894,0.993820065185,1.0144454790141442
415,0.454222222222,0.6690265486723295,0.016962413102396608,0.012944372944367226,0.45422222222266667,0.009410071942446044,0.3765700483094203,0.622833195548705,0.6954144961084525,0.3768115942028986,1.0,0.6591820368899997,1.1547916102,1.1839466626043962
222,0.3436666666666666,0.017044247787604584,0.03846588900671616,0.01783783783783784,0.3433333333333333,0.016906474820143885,0.7003623188405798,0.3335533589378796,0.2833301176923468,0.7010869565217392,0.9805,0.021832397754619818,1.0080817948,1.021061272517369
411,0.33755555555533334,0.02129203539821193,0.035371745021845175,0.018223938223938224,0.3373333333333333,0.017793764988057556,0.6886473429949276,0.33914907538979144,0.2826226766990034,0.6884057971014493,0.9840000000000001,0.028123496391338463,1.02683061743,1.0190470293039204
51,0.37888888888866673,0.03716814159301339,0.1283940143749735,0.13566709566709567,0.37911111111066664,0.11196163069539569,0.5869565217391305,0.41260619219962746,0.3862627821723379,0.5857487922717391,0.935333333333,0.042678428227884,1.05573925159,1.0166774143178625
414,0.42844444444466667,0.022534513274317686,0.02110050665723577,0.01264121264121836,0.42844444444400004,0.009659472422057554,0.8792270531376812,0.2659286782246158,0.2812077947133779,0.8780193236702899,0.9896666666670001,0.023287890938249116,1.02241954185,1.0122811030285148
406,0.4473333333333333,0.022407079645999146,0.021689642983428774,0.014111254111248393,0.44711111111066665,0.010278177458028778,0.9202898550724639,0.25434382408853035,0.28014663322389344,0.9202898550724639,0.988333333333,0.022048917401773074,1.0280095382799999,1.011116844944732
436,0.297,0.2070796460176258,0.02272887946270767,0.015100815100815103,0.29733333333333334,0.016546762589928057,0.610144927536232,0.383672785439849,0.2812077947133779,0.6105072463768116,0.9990000000000001,0.3061948676825606,1.00258356182,0.9931366563109776
54,0.360222222222,0.022842477876098107,0.02025686343824673,0.012864292864298583,0.36000000000000004,0.011717026378892086,0.7391304347826088,0.3171215127195843,0.28156151520951894,0.7379227053152174,0.989333333333,0.028063352044931055,0.9992276372840001,1.0173815575779397
403,0.9816666666666666,0.25446902654858244,0.01606574761399788,0.010793650793650795,0.9820000000000001,0.003589928057553957,0.5836956521739131,0.40005607397532744,0.9706974725058959,0.5833333333333334,0.9990000000000001,0.11448476343228327,1.40834979842,1.252515920927137
591,0.3393333333333333,0.019815929203532805,0.03470484270060092,0.01698841698841699,0.3393333333333333,0.01618705035971223,0.6945652173913043,0.33629813902372546,0.28173837545812014,0.6956521739130435,0.9840000000000001,0.025423015236577952,0.99710321537,1.019769145079376
