,EXEC,L3MISS,L2MISS,MEM,IPC,INST,L3MPI,INSTnom%,PhysIPC%,FREQ,L2MPI,L3HIT,GT,Pred
613,0.35711111111133337,0.006797273463938225,0.4562831858398384,0.01070971289422411,0.4830917874384058,0.4836113512645489,0.00627977617905036,0.3570370370373333,0.48341384863115944,0.4262331982766057,0.5709703287885209,1.0,1.0340362705,1.0368587750057725
650,0.32293333333333335,0.012066924066924068,0.02825840707963601,0.02418381053375751,0.6652173913043479,0.3516475369539158,0.012305035971223023,0.32293333333333335,0.6649275362318842,0.28035886552179035,0.038973536487585794,0.9922,1.04085005445,1.0178856811728312
489,0.4325555555553333,0.008785928785928787,0.0221150442477904,0.010929657122658185,0.8870772946847827,0.26336316892020567,0.006700239808158273,0.43222222222266665,0.88768115942029,0.2812077947133779,0.022764635124295416,0.9925,1.0151403129899998,1.0192913736127425
622,0.44199999999999995,0.006225272891943373,0.6169911504433214,0.008582537999293037,0.3672302737536232,0.63560909033008,0.004671462829741008,0.44192592592533336,0.36706924315652184,0.694117520954874,0.6246992782676922,1.0,1.09990108335,1.0753198208560975
314,0.27830303030333337,0.006669006669000429,0.2249782783587876,0.009353771008059385,0.558959156786232,0.41807544657000323,0.007795945062129497,0.2783030303026667,0.5592885375492754,0.2870924175182184,0.35505941532415997,0.9993636363639999,1.01352380312,1.0107282357910363
79,0.29896296296266667,0.43634110300815104,0.040704424778852846,0.6152154275164369,0.4293880837355073,0.676090703535604,0.48834532374100714,0.2988148148146667,0.42914653784202905,0.49780264540025165,0.060064153969390556,0.810111111111,1.08513838653,1.1220193516419772
612,0.30106666666666665,0.3631746031746032,0.04320955752210859,0.5849416755037117,0.4758695652173913,0.5903565443995098,0.3819856115107914,0.30093333333333333,0.47550724637681163,0.4371985336675913,0.06322373696875028,0.8634,1.09778436808,1.1036525484339825
175,0.9674074074066666,0.005519805519811241,0.29847787610612436,0.008441145281018029,0.5700483091775363,0.4102210423760638,0.0018711430855251798,0.9678518518520001,0.5694041867956522,0.9800415889554389,0.13608660785887572,1.0,1.3137024500799999,1.2881650001623592
76,0.4291428571426667,0.007435190292338053,0.02456738305941431,0.010860980659498054,0.8856107660471016,0.26355205949549937,0.0056916752312374105,0.4291428571426667,0.8840579710144928,0.27954025523035714,0.025441058540507395,0.9944285714290001,1.0075007886,1.0187135120440831
134,0.3405,0.006424281424281425,0.028457522123883725,0.00911983032873807,0.6924818840579711,0.337700319521377,0.006242805755395683,0.3403333333333333,0.6922101449275363,0.28346276287853234,0.03731806335205987,0.995875,1.03218335258,1.019677326028004
645,0.32453333333333334,0.011462891462891462,0.01829946902654219,0.021695298692117355,0.6659420289855074,0.3505659033766398,0.011637410071942446,0.3248,0.6669565217391306,0.2807833301175841,0.025152365677636387,0.9882,1.04057725671,1.0185407754016014
673,0.31283333333333335,0.6140426140420421,0.054270796460157776,0.7532697066101097,0.36283212560507255,0.8497453516957859,0.6205035971223022,0.31266666666666665,0.36292270531376813,0.6549134992605036,0.07406475541314117,0.813333333333,1.18173573489,1.2017309892587034
