,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
55,1.05,0.499,0.26533333333299997,0.5315706393052362,0.249666666667,1.88,6.51333333333,0.000771,0.987,0.0860333333333,1.019e-05,0.940333333333,0.21410000000030002,1.0163076878200001,1.020564521109435
490,1.05,0.646666666667,0.26433333333299996,0.40899390244057626,0.3235,2.445,6.836666666669999,0.0006255,0.9943333333329999,0.0378,3.4583333333300003e-06,1.22333333333,0.0701666666667,1.01914652244,1.0142361095979544
31,1.05,0.4436,0.3504,0.7898241875332979,0.2218,1.4388,12.517999999999999,0.0016778,0.8444,2.3468,0.00032568,0.7186,4.812,1.1145045915,1.1169544700250542
170,1.05,0.48,0.263857142857,0.5495875021945849,0.24,1.8185714285699999,7.585714285710001,0.000932,0.993285714286,0.0520857142857,6.39428571429e-06,0.9095714285709999,0.13135714285709998,1.03110120061,1.0250578326246225
547,1.0466666666700002,0.492333333333,0.263666666667,0.535586481113533,0.24633333333299998,1.86666666667,7.613333333330001,0.0009076666666669999,0.9876666666670001,0.0927666666667,1.10666666667e-05,0.9336666666669999,0.229133333333,1.02279847449,1.0206867123041699
665,1.05,0.5563333333330001,0.39766666666699996,0.7152506221117259,0.278,1.39666666667,105.333333333,0.011266666666700002,0.9990000000000001,0.0914666666667,9.78e-06,0.698666666667,0.15016666666700001,1.0013044043700001,0.978573965616228
202,1.05,0.53,0.264,0.49797122832884616,0.265,2.00666666667,5.8266666666699996,0.0006436666666669999,0.9886666666670001,0.06436666666669999,7.146666666669999e-06,1.00333333333,0.1188666666666,0.9945847767739999,1.0199550202358363
360,1.05,0.532,0.263,0.4947589098532495,0.266,2.02,3.19,0.000335,0.716,0.875,9.17e-05,1.01,3.6799999999999997,1.04421243884,1.0213974689997678
268,1.05,0.51625,0.2635,0.5105962136196666,0.2585,1.9575,8.2,0.000927,0.9940000000000001,0.050475,5.69e-06,0.9795,0.09605,1.01508706935,1.021610926119858
1,1.05,0.472083333333,0.26333333333299996,0.5578112118707511,0.236083333333,1.7933333333300001,9.88583333333,0.00122416666667,0.995416666667,0.04496666666669999,5.5475e-06,0.896416666667,0.3850916666663,1.0194153646200002,1.0180102250027805
583,1.05,0.5085,0.265,0.5212705615428247,0.254,1.92,5.905,0.00067,0.9825,0.10085,1.145e-05,0.96,0.2604,1.00551536416,1.0177797920705363
473,1.05,0.556,0.27,0.4855923159018143,0.278,2.06,3.36,0.000359,0.955,0.149,1.59e-05,1.03,0.374,0.974156258144,1.0034813597954826
622,1.05,0.6629999999999999,0.6541111111110001,0.9851190476160714,0.331444444444,1.01355555556,193.66666666700002,0.017311111111099998,1.0,0.0362777777778,3.2466666666700003e-06,0.5065555555560001,0.060700000000000004,1.09990108335,1.0895827291237854
678,1.05,0.441545454545,0.39954545454499996,0.9045638076594885,0.220727272727,1.33145454545,13.089090909100001,0.0017636363636400001,0.833636363636,2.49236363636,0.0003425,0.665454545455,4.309090909089999,1.11812788098,1.1370999999803413
522,1.05,0.485,0.26425,0.5447423922868334,0.24275,1.835,9.6025,0.0011575,0.99075,0.0886,1.069e-05,0.9179999999999999,0.20677500000000001,1.02875954156,1.0206667085989611
531,1.05,0.649,0.655333333333,1.0102224894738117,0.324666666667,0.991333333333,186.66666666700002,0.0170333333333,1.0,0.0602,5.42e-06,0.495,0.0999,1.1431046679999999,1.1140363297039466
79,1.05,0.448444444444,0.469111111111,1.0478607686733934,0.22411111111100002,1.1851111111100001,12.7766666667,0.00166444444444,0.810111111111,2.54277777778,0.00033939999999999996,0.592222222222,4.35111111111,1.08513838653,1.1124375123412733
608,1.05,0.940777777778,0.523666666667,0.5569424964949704,0.470333333333,1.79555555556,10.4188888889,0.000657,0.9965555555560001,0.0371444444444,2.34222222222e-06,0.898333333333,0.0750555555555,1.05814659943,1.0354700124536393
718,1.05,0.442666666667,0.387166666667,0.8749162385517646,0.22116666666700002,1.33333333333,14.1066666667,0.00188833333333,0.8725,2.1953333333300002,0.00028633333333300003,0.667,4.3033333333399995,1.11178889802,1.1126522318410708
556,1.05,0.509666666667,0.265,0.5194656488555418,0.254333333333,1.9266666666699999,13.0,0.0014866666666700002,0.9936666666670001,0.08186666666669999,9.39e-06,0.9626666666670001,0.151366666667,1.0288801397,1.0130380977106788
521,1.05,0.92175,0.52525,0.568769716088328,0.46049999999999996,1.7525,12.65,0.000799,0.99475,0.0641,4.0575e-06,0.87725,0.1277,1.0232077169,1.0233086135812495
325,1.05,0.40966666666699997,0.2774,0.6773510443733757,0.204666666667,1.476,90.8266666667,0.013113333333299998,1.0,0.0343333333333,4.95666666667e-06,0.738266666667,0.0586533333333,1.07161341134,1.0290004199968759
395,1.05,0.5034,0.2718,0.5398240469208211,0.25170000000000003,1.8530000000000002,9.705,0.0011411,0.9965,0.03319,3.893e-06,0.9261,0.05858000000000001,1.0319994761,1.018780210623673
482,1.05,0.5165,0.26683333333299997,0.5165413533832645,0.258166666667,1.935,8.43666666667,0.0009505000000000001,0.993833333333,0.05181666666669999,5.85e-06,0.968,0.08233333333330001,1.01111483639,1.0189364106759968
