feature,LR-1,LR-2,LS-1,LS-2,EN-1,EN-2,BR-1,BR-2,nn,SVR-1,SVR-2,final
INSTnom%,0.000485838844824154,0.00029486226100185355,0.0005147779257074753,0.0004054599082089691,0.0005170802137816126,0.000405702935754282,0.00048611888157715065,0.0002996636249721166,0.00031127747881274823,0.0017817046840047218,0.0019137196482382737,0.0010196709004810164
IPC,0.006271447522317925,0.0024063538948049423,0.006649029076075922,0.0038151735029240148,0.00675772202399315,0.00391865085197675,0.006273030527915576,0.0023833166322079647,0.002577779394360869,0.004991460425007665,0.005312553301629355,0.00676928514035311
L2MISS,220.23149088057508,144.11151502316176,226.14291528658285,159.48877415029668,405.34053866209354,251.9551117690403,220.29294096849443,142.3091528060835,150.05687140485702,1759.522649591666,3381.9517432723424,193.59022906754325
L2MPI,1.8583044267459063e-06,1.1264015696636088e-06,1.9113060205944224e-06,1.3074960103878012e-06,1.9115442986429584e-06,1.3082705815686521e-06,1.8589712233072104e-06,1.1215810458606356e-06,1.6478243148071678e-06,0.000388812455747277,0.000388812455747277,1.7935239233952507e-06
L3HIT,0.003976065400029052,0.0008980771591533048,0.004104916309020898,0.0016516143769737181,0.004580329375133537,0.0018192759586943767,0.003973639741971779,0.0009076374562428313,0.0008467064639816588,0.0049242058165947684,0.005454634240317188,0.0011861366899302728
L3MISS,0.1438859476806495,0.10423364148502709,0.14632756647558917,0.11017165411584885,0.14812293738772567,0.11515566121047156,0.14399578424858323,0.10242284625231052,0.09864450845095206,0.13693686968320362,0.14043990457968814,0.09952037768487797
L3MPI,1.2460796434205832e-08,9.064722914517383e-09,1.2507547231253348e-08,9.453678314536073e-09,1.2507546562702186e-08,9.454076343468359e-09,1.2460685861365986e-08,8.991273016319011e-09,1.8847197129091097e-08,3.139136880906606e-06,3.139136880906606e-06,8.99127301630788e-09
PhysIPC%,0.0015676044244946762,0.0006012286872677066,0.0016617373652470105,0.0009538053306953914,0.0016790029687715963,0.0009670450335670057,0.0015680157816999447,0.0005955479630798477,0.0006388199759921671,0.0021347758659346207,0.0021496120390601193,0.001692456168304995
MEM,0.05549299483071245,0.02959093447677877,0.05855241555477239,0.03764241991832748,0.0635105960406282,0.04380204360483748,0.05553811034003774,0.027974411140439116,0.029367683282929033,0.044852079837072005,0.05817418117498643,0.15257888545605125
diff
EXEC,7.177794394723216,5.453252265075436,7.4344463625043575,6.32009611546008,7.496683814486629,6.390715684128168,7.18080053614603,5.4160567923766045,5.969625717799508,11.69597688594335,13.78122223433233,12.939673756303845
