Configuration,stresser,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
rate-1,svm:batch-1-learning-89-regular-5,3698.75,1.0550000000000002,0.17298749999999996,0.21975,2908.75,0.346,8.64875,0.898125,3.8912499999999994,0.0014931249999999999,0.63025,1.65025,0.0006425,1.79625,44.912499999999994,1.8699999999999999,2102.5,1.7762500000000003,1.1322349935145264
rate-1,stress:cpu_0_io_3_vm_3_vmbytes_512K,7973.75,1.05,0.394,0.47225000000000006,6653.75,0.7877500000000001,19.7125,0.8358750000000001,192.5,0.028975,0.9991249999999999,0.179125,2.70625e-05,1.67125,41.81250000000001,0.0882625,2111.25,0.025124999999999998,1.0993247185190682
rate-8,facedetect:eyes-0-pyramid-25-selectivity-2,2498.75,1.0612500000000002,0.19787500000000002,0.14862499999999998,3326.25,0.396,9.911249999999999,1.3325,1.8275,0.0005453750000000001,0.80975,0.33849999999999997,0.00010086249999999999,2.66375,66.57499999999999,0.175875,2100.0,0.0567875,1.1280492832822924
rate-8,stress:cpu_0_io_3_vm_1_vmbytes_256K,3436.25,1.05125,0.19537500000000002,0.203875,3292.5,0.3908750000000001,9.770000000000001,0.9646250000000001,7.682500000000001,0.0023037500000000002,0.9558750000000001,0.217075,6.54625e-05,1.93,48.2125,0.1021,2107.5,0.027124999999999996,1.0384175207325508
rate-8,facedetect:eyes-0-pyramid-9-selectivity-0,3676.25,1.05,0.287375,0.21762499999999999,4862.5,0.5751250000000001,14.3875,1.3212500000000003,7.56,0.00155,0.8065,1.4249999999999998,0.000287,2.6437500000000007,66.0625,0.854,2113.75,0.253625,1.060636674509787
rate-8,stress:cpu_0_io_3_vm_1_vmbytes_256K,3561.25,1.05125,0.20099999999999998,0.211375,3382.5,0.401875,10.043750000000001,0.95925,8.24375,0.002415,0.9400000000000001,0.283125,8.681249999999999e-05,1.9175000000000002,47.962500000000006,0.118675,2105.0,0.032837500000000006,1.033333988009244
rate-8,svm:batch-1-learning-89-regular-5,3791.25,1.0575,0.1760875,0.22537500000000002,2962.5,0.352125,8.821250000000001,0.9043749999999999,4.10625,0.0015310000000000002,0.6445,1.6603750000000002,0.0006051250000000001,1.8087499999999999,45.2,1.8778750000000002,2101.25,1.77,1.203470359831103
rate-8,stress:cpu_0_io_3_vm_3_vmbytes_512K,8297.5,1.05,0.39837500000000003,0.493625,6693.75,0.7965,19.900000000000002,0.8092499999999998,203.5,0.0304125,0.9987499999999999,0.2282125,3.4875e-05,1.6174999999999997,40.4625,0.0948875,2101.25,0.027762499999999996,1.101818458164145
rate-19,facedetect:eyes-0-pyramid-25-selectivity-2,2572.5,1.0612500000000002,0.203625,0.15237499999999998,3431.25,0.40712499999999996,10.17875,1.3350000000000002,2.0375,0.000574375,0.8346250000000001,0.387875,0.000105225,2.675,66.8625,0.21187499999999998,2106.25,0.061075000000000004,0.6848873481319285
rate-19,stress:cpu_0_io_3_vm_1_vmbytes_256K,3517.5,1.05,0.20187500000000003,0.20850000000000002,3402.5,0.403125,10.06875,0.9730000000000001,9.84125,0.00287,0.9674999999999999,0.21162500000000004,6.27125e-05,1.9475,48.675,0.09896249999999998,2107.5,0.027125,0.7078382906815306
rate-19,facedetect:eyes-0-pyramid-9-selectivity-0,3766.25,1.05,0.2896250000000001,0.22,4953.75,0.579125,14.475,1.3137500000000002,7.677499999999999,0.0015462499999999999,0.794,1.5350000000000001,0.000304875,2.6312499999999996,65.7875,0.9066250000000001,2140.0,0.268625,0.7178785428854088
rate-19,stress:cpu_0_io_3_vm_1_vmbytes_256K,3432.5,1.05125,0.18525,0.20375,3121.25,0.37025,9.26,0.9151250000000001,22.825,0.0073125,0.9855,0.278875,9.085e-05,1.8287499999999999,45.72500000000001,0.123025,2105.0,0.035025,0.7117358740033645
rate-19,svm:batch-1-learning-89-regular-5,3702.5,1.05875,0.1733,0.22024999999999997,2913.75,0.346625,8.66875,0.9012500000000001,3.8475,0.0014295,0.639625,1.585375,0.0005915,1.8025,45.074999999999996,1.865375,2100.0,1.77875,0.7597598904242393
