Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-4-learning-89-regular-1,4024.0,1.0368,0.16274,0.2394,2736.0,0.3254,8.138,0.853,5.4176,0.0019634,0.6284,2.1584,0.00085998,1.707,42.68,2.3884,2100.0,1.964
batch-2-learning-12-regular-67,4020.0,1.0376,0.16806,0.2392,2822.0,0.3358,8.394,0.8624,4.6756,0.001821,0.6306,1.8932,0.0008057,1.7236,43.06,2.0992,2100.0,1.856
batch-3-learning-12-regular-56,4038.0,1.0456,0.1661,0.2404,2792.0,0.3324,8.316,0.8568,5.1696,0.0018506,0.6136,1.926,0.00079486,1.7142,42.84,2.299,2100.0,1.966
batch-4-learning-12-regular-89,3536.0,0.9876,0.15102,0.2102,2538.0,0.3022,7.55,0.8724,5.0008,0.0018588,0.608,2.0824,0.00079764,1.7442,43.58,2.2858,2100.0,1.914
batch-1-learning-67-regular-78,2690.0,1.0575,0.144225,0.16,2425.0,0.28825,7.2175,0.95225,3.20375,0.00160625,0.61425,1.70225,0.0008475,1.9075,47.675,1.96575,2100.0,1.9175
batch-1-learning-1-regular-23,3416.0,0.9788,0.15228,0.2032,2564.0,0.305,7.618,0.8864,3.6492,0.001415,0.5986,1.7348,0.00066624,1.7726,44.3,1.9612,2102.0,1.752
batch-5-learning-100-regular-12,5786.66666667,0.991666666667,0.19,0.3445,3191.66666667,0.379666666667,9.49,0.793333333333,8.742,0.0022125,0.611,3.3075,0.00090185,1.58766666667,39.6666666667,3.1105,2100.0,2.06333333333
batch-5-learning-1-regular-100,6093.33333333,1.02783333333,0.1966,0.363,3303.33333333,0.393333333333,9.845,0.7745,8.9755,0.0022945,0.602333333333,3.421,0.000962833333333,1.54933333333,38.75,3.197,2100.0,2.095
batch-2-learning-100-regular-34,3886.0,1.0212,0.16554,0.2314,2784.0,0.3312,8.292,0.8702,4.4934,0.0016832,0.6178,1.936,0.00078168,1.74,43.52,2.1074,2100.0,1.854
batch-2-learning-89-regular-78,3878.0,0.9976,0.17066,0.2306,2870.0,0.3414,8.534,0.8208,4.5894,0.0015688,0.6308,2.0,0.0006916,1.6416,41.02,2.426,2100.0,1.938
batch-1-learning-45-regular-23,3464.0,0.9792,0.15446,0.206,2594.0,0.3088,7.72,0.8882,3.0352,0.0011872,0.6004,1.447,0.00056586,1.7762,44.4,1.9326,2100.0,1.754
batch-5-learning-1-regular-78,6133.33333333,1.03183333333,0.1968,0.365333333333,3310.0,0.394,9.84333333333,0.773,9.1615,0.0023595,0.605333333333,3.54916666667,0.00101698333333,1.548,38.6833333333,3.2025,2100.0,2.10166666667
batch-3-learning-23-regular-78,3774.0,1.0026,0.1604,0.2244,2690.0,0.32,8.002,0.8696,5.0276,0.0018228,0.6274,1.9694,0.00078364,1.7376,43.48,2.2548,2100.0,1.95
batch-5-learning-12-regular-45,5688.33333333,0.985833333333,0.188366666667,0.339,3170.0,0.377166666667,9.425,0.800666666667,8.489,0.002154,0.623666666667,3.29533333333,0.0008939,1.59816666667,39.9833333333,3.07083333333,2100.0,2.05833333333
batch-3-learning-56-regular-45,3344.0,0.9772,0.14916,0.199,2500.0,0.2976,7.432,0.8838,4.5038,0.001682,0.6152,1.7968,0.00068762,1.7666,44.2,2.1594,2100.0,1.892
batch-4-learning-12-regular-12,3256.0,0.9728,0.14466,0.1936,2430.0,0.2894,7.232,0.8832,4.561,0.0017408,0.6,2.0564,0.00077362,1.763,44.14,2.1786,2100.0,1.864
batch-3-learning-45-regular-34,3502.0,0.9788,0.15388,0.2082,2588.0,0.308,7.7,0.8762,4.77,0.001717,0.6148,1.8788,0.0007009,1.7546,43.84,2.2096,2100.0,1.916
batch-5-learning-1-regular-89,6280.0,1.04,0.201016666667,0.374166666667,3375.0,0.401666666667,10.035,0.772333333333,9.43166666667,0.00243416666667,0.613666666667,3.63366666667,0.00105961666667,1.54516666667,38.6166666667,3.26066666667,2100.0,2.12333333333
batch-1-learning-12-regular-56,3424.0,0.9788,0.15264,0.2038,2566.0,0.3056,7.65,0.8864,3.6,0.0013994,0.6102,1.6144,0.00062034,1.7748,44.38,1.954,2100.0,1.754
batch-4-learning-89-regular-34,3498.0,0.984,0.15178,0.2078,2548.0,0.303,7.584,0.8712,5.1342,0.0018626,0.6164,2.1512,0.00077926,1.7458,43.62,2.2476,2100.0,1.894
batch-2-learning-78-regular-23,3464.0,0.9848,0.15328,0.206,2576.0,0.3064,7.666,0.8842,4.365,0.0016398,0.602,1.9384,0.00075486,1.7672,44.22,2.0992,2100.0,1.854
batch-3-learning-34-regular-34,3940.0,1.0312,0.1638,0.2344,2750.0,0.3274,8.192,0.8604,5.2534,0.001894,0.625,1.9524,0.0007978,1.72,43.02,2.2964,2100.0,1.966
batch-1-learning-45-regular-100,2442.5,0.991,0.13805,0.1455,2317.5,0.276,6.9075,0.973,3.553,0.0016125,0.57575,1.93,0.00084365,1.945,48.625,1.9445,2100.0,1.8725
batch-1-learning-78-regular-23,2505.0,1.006,0.139125,0.14875,2340.0,0.2785,6.96,0.9665,2.78925,0.00132475,0.56625,1.58725,0.00072695,1.9325,48.375,1.9455,2100.0,1.885
batch-5-learning-12-regular-34,5928.33333333,1.00283333333,0.1933,0.353166666667,3248.33333333,0.3865,9.68166666667,0.787,9.18666666667,0.00239183333333,0.64,3.35783333333,0.000931933333333,1.5755,39.3666666667,3.14333333333,2100.0,2.08333333333
batch-5-learning-23-regular-56,5701.66666667,0.9905,0.187316666667,0.339666666667,3148.33333333,0.374666666667,9.38333333333,0.791333333333,8.59766666667,0.002215,0.596166666667,3.381,0.000930833333333,1.58383333333,39.6,3.079,2100.0,2.055
batch-2-learning-100-regular-1,3450.0,0.98,0.15312,0.2054,2570.0,0.3062,7.64,0.8874,4.4012,0.0016508,0.608,1.9138,0.0007405,1.7704,44.3,2.098,2100.0,1.852
batch-5-learning-12-regular-23,5781.66666667,0.992,0.1901,0.3445,3195.0,0.38,9.50666666667,0.794333333333,8.73933333333,0.00225583333333,0.601166666667,3.37183333333,0.0009385,1.589,39.7,3.10866666667,2100.0,2.05666666667
batch-5-learning-78-regular-100,5800.0,0.991666666667,0.1898,0.345666666667,3188.33333333,0.3795,9.48166666667,0.792333333333,8.72416666667,0.002245,0.602833333333,3.4145,0.00094565,1.58466666667,39.6166666667,3.12033333333,2100.0,2.07333333333
batch-2-learning-45-regular-34,3296.0,0.974,0.1501,0.196,2524.0,0.3,7.512,0.892,4.1892,0.0015704,0.6428,1.7418,0.00066346,1.7818,44.56,2.0138,2100.0,1.83
batch-4-learning-34-regular-1,3890.0,1.0232,0.1598,0.2316,2684.0,0.3192,7.994,0.8588,5.4454,0.0020178,0.5946,2.3042,0.00091998,1.716,42.96,2.3876,2100.0,1.946
batch-4-learning-34-regular-67,3860.0,1.0206,0.15878,0.2294,2668.0,0.3176,7.922,0.8586,5.6768,0.00213,0.6408,2.1886,0.00086634,1.717,42.92,2.3474,2100.0,1.944
batch-4-learning-78-regular-78,4126.0,1.0466,0.1653,0.2458,2774.0,0.3302,8.26,0.8506,5.5772,0.0020324,0.63,2.2504,0.00090836,1.6984,42.5,2.4148,2100.0,1.978
