Configuration,stresser,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
layer-4-particle-966,stress:cpu_0_io_3_vm_1_vmbytes_256K,3670.0,1.05,0.188875,0.217125,3195.0,0.378,9.45,0.87325,13.625,0.004265,0.9975,0.02169,6.6975e-06,1.7475,43.65,0.01137625,2112.5,0.00207625,1.00605098408
layer-4-particle-966,ferret:eyes-2-pyramid-11-selectivity-1,2272.5,1.0675,0.18125,0.134625,3055.0,0.362375,9.05875,1.345,0.51,0.00016675,0.96,0.023625,7.7175e-06,2.68875,67.1875,0.020225,2106.25,0.01021125,1.01266830494
layer-4-particle-966,facedetect:eyes-1-pyramid-5-selectivity-0,2321.25,1.0675,0.187,0.13775,3150.0,0.373875,9.34375,1.35625,0.69225,0.00022025,0.936375,0.0446375,1.418125e-05,2.71375,67.8625,0.0568875,2106.25,0.03285,1.02295225682
layer-4-particle-966,swaptions:num-300000,2293.75,1.06875,0.354875,0.133875,6073.75,0.70975,17.75,2.65,0.0563125,9.3025e-06,0.899375,0.0060125,9.96625e-07,5.29625,132.375,0.00333,2138.75,0.000501875,1.02307655658
layer-4-particle-966,stress:cpu_4_io_0_vm_0_vmbytes_256K,8818.75,1.04875,1.27,0.52175,21450.0,2.54125,63.5375,2.43625,0.0366625,1.71375e-06,0.91025,0.003120125,1.4765e-07,4.86875,121.625,0.002218875,2113.75,0.0002479125,1.05182908043
layer-4-particle-966,facedetect:eyes-1-pyramid-16-selectivity-0,2262.5,1.0595,0.181,0.13475,3042.5,0.362125,9.0525,1.34625,0.561375,0.00018575,0.94825,0.0310875,1.037875e-05,2.69,67.2875,0.0333875,2100.0,0.0186625,1.00911697412
layer-4-particle-966,stress:cpu_3_io_1_vm_0_vmbytes_1M,7027.5,1.04875,0.94625,0.41625,15975.0,1.8925,47.3375,2.2725,2.3025,0.0001434625,0.991375,0.0161325,1.014375e-06,4.54875,113.625,0.01053625,2110.0,0.0018875,1.03707541946
layer-4-particle-966,swaptions:num-100000,2297.5,1.06875,0.353125,0.1345,6028.75,0.7065,17.6625,2.625,0.109125,1.81e-05,0.921625,0.008555,1.424375e-06,5.2525,131.375,0.00507125,2133.75,0.0008015,1.01501073065
layer-4-particle-966,stress:cpu_1_io_0_vm_0_vmbytes_512K,2291.25,1.065,0.3235,0.135375,5477.5,0.64725,16.175,2.3925,0.1881125,3.347e-05,0.85425,0.0079275,1.444e-06,4.7875,119.625,0.004361375,2115.0,0.000462875,1.02059469069
layer-4-particle-966,facedetect:eyes-1-pyramid-11-selectivity-2,2296.25,1.06875,0.182,0.134375,3111.25,0.364375,9.1075,1.355,0.48725,0.000157375,0.96,0.0221825,7.18875e-06,2.71125,67.7625,0.016885,2136.25,0.00828625,1.01477769508
layer-3-particle-100,stress:cpu_0_io_3_vm_1_vmbytes_256K,3490.0,1.05,0.179625,0.2075,3016.25,0.358875,8.97,0.868375,23.0125,0.00760625,0.99925,0.01963125,6.489625e-06,1.7375,43.4375,0.0108975,2100.0,0.00199875,0.962046175089
layer-3-particle-100,stress:cpu_0_io_2_vm_1_vmbytes_256K,2633.75,1.04275,0.166375,0.156625,2793.75,0.332375,8.31,1.06125,9.33,0.00333125,0.999625,0.0038,1.387625e-06,2.12375,53.1375,0.00460625,2100.0,0.001463875,0.940681961426
layer-3-particle-100,facedetect:eyes-1-pyramid-11-selectivity-2,2295.0,1.07,0.1845,0.135625,3120.0,0.36875,9.22125,1.36,0.499375,0.000159375,0.96325,0.0210475,6.7725e-06,2.72,68.0,0.015985,2113.75,0.00785875,0.986392872462
