Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
num-600000,ferret:eyes-1-pyramid-16-selectivity-0,2366.25,1.05875,0.176875,0.137875,3036.25,0.354,8.8425,1.28125,1.42875,0.000470875,0.966875,0.04615,1.516875e-05,2.56375,64.1,0.042975,2146.25,0.0204375,0.983141383697
num-600000,ferret:eyes-1-pyramid-16-selectivity-2,2321.25,1.0575,0.176625,0.138125,2970.0,0.3535,8.83625,1.27875,1.315,0.000442875,0.969375,0.0414875,1.403625e-05,2.5575,63.9625,0.029845,2100.0,0.0101,0.98534191295
num-600000,stress:cpu_5_io_0_vm_4_vmbytes_256K,17500.0,1.04875,1.28625,1.045,21637.5,2.575,64.3875,1.23875,71.7875,0.00331,0.999875,0.0212275,9.8375e-07,2.475,61.9125,0.01139,2100.0,0.001388125,1.61269254004
num-600000,stress:cpu_2_io_1_vm_1_vmbytes_512K,7127.5,1.04875,0.7655,0.422375,12912.5,1.53125,38.275,1.81375,78.9375,0.00611375,0.9995,0.031145,2.429875e-06,3.625,90.6375,0.01810375,2106.25,0.00259,1.00719914102
num-600000,svm:batch-4-learning-34-regular-12,5096.25,1.043,0.1695625,0.303375,2850.0,0.338875,8.4825,0.694375,7.0125,0.00218475,0.628375,2.61525,0.000843125,1.388,34.7125,2.400625,2100.0,1.86875,1.12910196173
num-600000,stress:cpu_4_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.255,1.045,21062.5,2.5075,62.675,1.20375,51.2125,0.00242875,0.9995,0.02271,1.076125e-06,2.40875,60.225,0.01217625,2100.0,0.00170975,1.71449659711
num-100000,stress:cpu_2_io_1_vm_1_vmbytes_512K,7083.75,1.0475,0.7735,0.421625,13000.0,1.5475,38.7,1.83375,48.35,0.0037175,0.999375,0.0306125,2.36125e-06,3.6725,91.775,0.0168275,2100.0,0.00248625,1.00448511434
num-100000,svm:batch-4-learning-34-regular-12,5082.5,1.028375,0.1682125,0.3015,2827.5,0.336375,8.4075,0.68475,6.85875,0.002129125,0.6375,2.509625,0.0007925,1.370125,34.2125,2.4155,2100.0,1.87375,0.990694903528
num-100000,ferret:eyes-2-pyramid-7-selectivity-1,2340.0,1.03675,0.1745,0.1365,2992.5,0.34925,8.73125,1.28,1.39375,0.00047275,0.966625,0.04645,1.617875e-05,2.55875,63.9875,0.0427625,2141.25,0.01665,0.979843711077
num-100000,stress:cpu_2_io_1_vm_4_vmbytes_128K,14075.0,1.04875,1.089625,0.836,18350.0,2.17375,54.4125,1.310875,6.8375,0.00037225,0.984125,0.1074,5.88875e-06,2.62,65.5,0.04867,2103.75,0.0109175,1.2783937076
