Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-3-learning-89-regular-45,8275.0,1.05,0.3265,0.488333333333,5520.0,0.654166666667,16.3333333333,0.737666666667,9.09833333333,0.00186316666667,0.5845,3.636,0.000835333333333,1.47666666667,36.8833333333,3.94166666667,2110.0,3.14666666667,1.17397886251
batch-3-learning-89-regular-45,4590.0,1.052,0.2053,0.2724,3458.0,0.4104,10.266,0.7732,6.266,0.001802,0.7214,1.9364,0.0005578,1.546,38.62,2.1736,2106.0,1.81,1.02402301359
batch-3-learning-89-regular-45,11631.6666667,1.05,1.05833333333,0.6835,18000.0,2.12,52.9666666667,1.62833333333,6.38666666667,0.000350833333333,0.774,1.6805,9.01833333333e-05,3.25833333333,81.45,1.9695,2120.0,1.59833333333,1.12896042427
batch-3-learning-89-regular-45,8754.0,1.05,0.7922,0.5204,13320.0,1.584,39.6,1.548,9.364,0.0006854,0.8008,1.8244,0.00013146,3.098,77.46,2.023,2100.0,1.73,1.10593325409
batch-3-learning-89-regular-45,7455.0,1.05,0.313,0.4415,5278.33333333,0.626333333333,15.6683333333,0.770666666667,9.60333333333,0.00181283333333,0.571833333333,4.28883333333,0.000920666666667,1.54,38.5333333333,4.175,2105.0,3.24,1.21300692626
batch-3-learning-89-regular-45,4736.0,1.048,0.21066,0.2818,3544.0,0.4218,10.548,0.7688,7.746,0.002326,0.7584,1.9692,0.000553,1.54,38.46,2.1488,2100.0,1.824,1.01831581854
batch-3-learning-89-regular-45,6108.0,1.05,0.3456,0.3612,5836.0,0.6918,17.26,1.0,5.212,0.0008108,0.6708,1.913,0.00031096,1.998,50.04,2.1868,2106.0,1.824,1.03774134062
batch-3-learning-89-regular-45,8900.0,1.05,0.5938,0.5248,10058.0,1.186,29.7,1.136,10.064,0.0010096,0.818,1.6186,0.00015678,2.27,56.72,1.881,2120.0,1.65,1.13146802893
batch-3-learning-89-regular-45,6108.0,1.05,0.3456,0.3598,5860.0,0.6904,17.28,0.9996,5.08,0.0007954,0.654,1.9858,0.00032356,1.998,49.98,2.2282,2120.0,1.836,1.04669138596
batch-4-learning-23-regular-78,6910.0,1.05,0.295833333333,0.409333333333,4993.33333333,0.591333333333,14.8033333333,0.779833333333,8.5,0.00170683333333,0.577833333333,4.0485,0.000886166666667,1.55833333333,38.9833333333,3.96166666667,2105.0,3.13,1.16322015014
batch-4-learning-23-regular-78,6240.0,1.05,0.3512,0.3684,5952.0,0.7032,17.58,1.003,5.022,0.0007644,0.6516,2.011,0.0003155,2.006,50.14,2.2796,2120.0,1.846,1.02725777927
batch-4-learning-23-regular-78,17625.0,1.05,1.076125,1.0425,18212.5,2.1525,53.85,1.03475,47.15,0.00259,0.97775,1.0755,5.947875e-05,2.0675,51.65,1.513875,2113.75,1.211625,1.56582844783
batch-4-learning-23-regular-78,5990.0,1.05,0.3422,0.3554,5770.0,0.6836,17.12,0.9998,4.756,0.0007622,0.6394,1.9894,0.00032834,2.002,50.02,2.2088,2106.0,1.814,1.03378574496
batch-4-learning-23-regular-78,4430.0,1.044,0.19678,0.2634,3306.0,0.3934,9.828,0.7476,7.458,0.00246,0.7908,1.5558,0.0004738,1.496,37.34,2.1198,2100.0,1.772,1.00521283692
batch-4-learning-23-regular-78,11721.6666667,1.05,1.04833333333,0.686666666667,17800.0,2.095,52.4,1.61383333333,6.185,0.000342333333333,0.756666666667,1.78383333333,9.69666666667e-05,3.22666666667,80.65,2.11266666667,2128.33333333,1.67333333333,1.12975904323
batch-4-learning-23-regular-78,8071.66666667,1.05,0.320833333333,0.468833333333,5486.66666667,0.641333333333,16.045,0.777333333333,9.59833333333,0.00158,0.531166666667,4.25416666667,0.000750833333333,1.555,38.9,4.09333333333,2125.0,3.14166666667,1.28777013131
batch-4-learning-23-regular-78,10356.6666667,1.05,0.769,0.609166666667,13066.6666667,1.53666666667,38.45,1.34566666667,10.0933333333,0.000769,0.799,1.61483333333,0.000122516666667,2.69166666667,67.2666666667,2.13383333333,2125.0,1.67833333333,1.07957136289
