Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-5-learning-23-regular-34,4212.0,1.0308,0.19374,0.25,3254.0,0.3872,9.682,0.7972,5.4186,0.001478,0.6096,2.1516,0.0006678,1.594,39.86,2.2444,2100.0,1.84
batch-5-learning-67-regular-89,4440.0,1.054,0.2001,0.2636,3362.0,0.3998,9.98,0.7948,5.6516,0.0014562,0.6132,2.1796,0.0006444,1.59,39.76,2.307,2100.0,1.852
batch-1-learning-89-regular-78,4074.0,1.0282,0.17764,0.2422,2988.0,0.3554,8.89,0.7764,4.049,0.0013302,0.635,1.6484,0.0006006,1.554,38.8,1.8566,2100.0,1.646
batch-3-learning-78-regular-89,4356.0,1.038,0.19364,0.2588,3256.0,0.3872,9.682,0.795,5.241,0.001443,0.6192,2.0214,0.0006382,1.586,39.72,2.2126,2100.0,1.838
batch-5-learning-23-regular-45,4164.0,1.0294,0.19102,0.2482,3212.0,0.3822,9.564,0.7942,4.7786,0.0013122,0.6162,1.7408,0.000552,1.59,39.72,2.2488,2100.0,1.822
batch-5-learning-12-regular-100,4194.0,1.0282,0.19314,0.2496,3250.0,0.3864,9.672,0.7974,5.5126,0.0015,0.6178,2.1702,0.0006672,1.596,39.9,2.2308,2100.0,1.844
batch-5-learning-78-regular-12,4174.0,1.0234,0.1911,0.2482,3214.0,0.3824,9.564,0.7966,4.606,0.001255,0.6102,1.6884,0.0005284,1.59,39.8,2.2496,2100.0,1.826
batch-1-learning-67-regular-67,3892.0,0.9928,0.1729,0.2316,2904.0,0.3456,8.642,0.7862,4.115,0.0014352,0.6406,1.6984,0.00063314,1.572,39.28,1.8488,2100.0,1.64
batch-3-learning-12-regular-45,3854.0,0.9994,0.17768,0.2292,2986.0,0.3552,8.882,0.7916,4.7816,0.001497,0.6208,1.8752,0.0006508,1.586,39.6,2.108,2100.0,1.782
batch-2-learning-89-regular-1,4222.0,1.0294,0.1875,0.2508,3152.0,0.3748,9.362,0.7882,4.6392,0.0014062,0.6312,1.839,0.000627,1.574,39.4,2.037,2100.0,1.772
batch-5-learning-12-regular-1,4240.0,1.0368,0.1921,0.2516,3232.0,0.3848,9.612,0.7908,5.0398,0.0013658,0.6078,1.9256,0.0005942,1.582,39.52,2.2644,2100.0,1.834
batch-4-learning-1-regular-12,3972.0,1.0024,0.18254,0.2366,3070.0,0.3656,9.132,0.7966,4.8854,0.0014856,0.5986,2.1364,0.0006938,1.592,39.82,2.1992,2100.0,1.822
batch-1-learning-12-regular-45,4068.0,1.0206,0.17848,0.2416,3000.0,0.3568,8.924,0.7832,4.0122,0.0013186,0.6456,1.569,0.00056998,1.564,39.1,1.8448,2100.0,1.646
batch-1-learning-45-regular-12,4100.0,1.0294,0.17984,0.2434,3024.0,0.3598,8.988,0.7822,3.7766,0.001235,0.6402,1.503,0.00054592,1.562,39.08,1.8576,2100.0,1.65
batch-3-learning-23-regular-67,3986.0,1.0116,0.18112,0.2372,3044.0,0.3618,9.04,0.7852,5.014,0.0015108,0.622,1.967,0.0006654,1.572,39.3,2.1384,2102.0,1.806
batch-5-learning-1-regular-67,4260.0,1.038,0.19324,0.253,3248.0,0.3866,9.67,0.791,5.473,0.0014846,0.6188,2.1154,0.0006492,1.58,39.52,2.2664,2100.0,1.832
batch-5-learning-34-regular-1,4280.0,1.0294,0.1949,0.2544,3278.0,0.3898,9.752,0.8008,5.3564,0.001441,0.6078,2.1338,0.0006508,1.602,40.04,2.2656,2100.0,1.838
batch-1-learning-1-regular-12,4074.0,1.0282,0.17756,0.2428,2980.0,0.3544,8.87,0.7732,4.4304,0.001467,0.657,1.6594,0.00060804,1.546,38.68,1.8532,2100.0,1.65
batch-2-learning-89-regular-89,4274.0,1.036,0.18932,0.2544,3184.0,0.3788,9.464,0.7876,4.5366,0.001363,0.6306,1.7922,0.0006088,1.572,39.36,2.0528,2100.0,1.768
batch-4-learning-1-regular-89,4040.0,1.019,0.1824,0.2402,3064.0,0.3648,9.122,0.7858,5.1728,0.0014934,0.6126,2.0542,0.0006572,1.57,39.24,2.2026,2100.0,1.818
batch-4-learning-100-regular-12,4524.0,1.062,0.19892,0.269,3344.0,0.3978,9.954,0.7896,5.7336,0.0014814,0.6226,2.195,0.000633,1.58,39.5,2.301,2100.0,1.866
batch-3-learning-1-regular-34,4260.0,1.0382,0.18978,0.2534,3192.0,0.3796,9.49,0.787,5.0824,0.0014414,0.6242,1.9632,0.0006344,1.572,39.36,2.1828,2100.0,1.828
batch-4-learning-12-regular-67,4182.0,1.0294,0.18726,0.2486,3146.0,0.3744,9.364,0.785,4.6546,0.001291,0.6152,1.7346,0.0005428,1.572,39.3,2.235,2100.0,1.836
batch-3-learning-56-regular-78,4172.0,1.0292,0.18758,0.2484,3152.0,0.3756,9.382,0.7872,4.8772,0.001466,0.63,1.8894,0.0006258,1.574,39.34,2.1606,2100.0,1.822
batch-2-learning-12-regular-89,4320.0,1.038,0.19118,0.257,3214.0,0.3826,9.55,0.7888,4.7096,0.001419,0.6476,1.7628,0.0005958,1.578,39.46,2.0456,2100.0,1.77
batch-3-learning-45-regular-23,4064.0,1.0098,0.18508,0.2418,3110.0,0.37,9.244,0.797,5.1728,0.0015634,0.6482,1.9914,0.0006528,1.594,39.86,2.1482,2100.0,1.804
batch-4-learning-45-regular-89,4230.0,1.0372,0.19058,0.2522,3204.0,0.3814,9.53,0.7878,5.0872,0.0014676,0.6124,2.0872,0.0006524,1.576,39.4,2.2314,2100.0,1.842
batch-5-learning-67-regular-78,4370.0,1.0466,0.19844,0.2604,3334.0,0.397,9.932,0.7958,5.4156,0.0014344,0.6206,2.076,0.0006266,1.592,39.84,2.2978,2100.0,1.852
