,AFREQ,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MPI,L3HIT,MEM,PhysIPC%
268,-0.24603457352534908,-0.26477829896161753,-0.25506079523884634,0.007296216639023199,-0.2650590272716098,-0.0014150632985909857,3.2255107584493734,-0.8398434716104778,-0.011034212443797507,2.566648746017883,0.00037518487170810374
269,-0.21596075398441708,-0.20283204691075304,0.31909824587706176,0.662022227049572,-0.20307684657625147,-0.3875015071935074,0.22566700871975345,0.683143755948309,0.0322657061935283,1.4751082127237738,-0.3873047386089673
270,,,,,,,,,,,
271,,,,,,,,,,,
272,,,,,,,,,,,
273,,,,,,,,,,,
274,,,,,,,,,,,
275,-0.2628700012428373,-0.2506681660082996,-0.266035291622671,-0.022199858842024068,-0.2496022949710909,0.02370450104980674,0.5147288852266788,-0.8724106228005283,-0.026693181377812614,-0.14945894461940742,0.02482750379203641
276,-0.038272304548530346,-0.06524322745865264,-0.34362167919739034,-0.2979683596130212,-0.0636250591786739,0.41992413767557374,0.17124916982621638,-0.6458105288062094,0.05965041106685316,-0.3248427175498499,0.4177920368838598
277,,,,,,,,,,,
278,,,,,,,,,,,
279,,,,,,,,,,,
280,,,,,,,,,,,
281,,,,,,,,,,,
282,,,,,,,,,,,
283,,,,,,,,,,,
284,,,,,,,,,,,
285,,,,,,,,,,,
286,,,,,,,,,,,
287,,,,,,,,,,,
288,-0.247784605940253,0.05135479959054864,0.4846704366909802,0.41148193792244275,0.05034507365494943,-0.29387404485968566,2.510466449775853,-0.8467166238213414,-0.00612194292242523,-0.08963879900822967,-0.2945515080561606
289,-0.2637864441536235,-0.28011326723015356,-0.16336073191540065,0.1664620905953461,-0.27937637224872186,-0.13934287757599395,0.037629281972802256,-0.42715546155234374,0.31067518207753925,1.6199834208075257,-0.1389577419157633
290,,,,,,,,,,,
291,-0.22574778335376597,-0.21843281570405312,-0.0892061377164518,0.16520132999279047,-0.21802437747583325,-0.1361556287019958,3.876750063044179,-0.692358825403679,-0.009765620646957924,-0.08827055560992036,-0.13819415339492822
292,-0.26563977035280845,0.0474379699072096,0.22325068453137129,0.17442275622426764,0.046794016348918985,-0.1453077178242754,-0.14471800832790574,-0.30077576612941914,0.008456822571554085,2.305147448402778,-0.14516545805611836
293,,,,,,,,,,,
294,0.011137035416140662,-0.020328853928148125,-0.10758728516101979,-0.08714937166368227,-0.02031009149908483,0.09518807917103976,-0.7300206684701185,1.9046412522441518,0.043648267040371815,0.01434846532853141,0.09579515525134516
295,,,,,,,,,,,
296,,,,,,,,,,,
297,,,,,,,,,,,
298,,,,,,,,,,,
299,,,,,,,,,,,
300,0.035046207873215905,-0.0756127414301089,0.3563581694037027,0.46695109084226094,-0.07535270798061032,-0.3182004878496287,-0.81945129070035,31.993839804653227,0.3900639509473314,0.08252475640563757,-0.31838816528583047
301,0.01824275828636216,0.4451005022435773,1.0543877893338056,0.43453858860719063,0.44563434382968553,-0.30738774242749217,-0.3546021849372724,0.5722529676502025,0.019127435469120168,-0.4337456685224436,-0.30758429992472996
302,,,,,,,,,,,
303,,,,,,,,,,,
304,-0.00787042008872785,0.06319424708100298,0.030753622768110014,-0.02424757373413989,0.06114430886048655,0.02973628416389382,-0.23279613540753766,1.6428139722936086,0.3428471832727452,-0.16698331986477938,0.027892788323140346
305,,,,,,,,,,,
306,,,,,,,,,,,
307,,,,,,,,,,,
308,-0.005806437780636623,-0.0765710294796351,-0.3401999199715754,-0.2876596495692802,-0.07722634231749723,0.41319187107947697,-0.6439205567106258,0.3560426657214828,-0.014412163441965945,0.10885527914771811,0.4120139332892315
309,-0.2542481078982693,-0.27486043247880004,-0.14136167619689613,0.18691128055778017,-0.2744406065563792,-0.15900073610504323,0.12226519615463971,-0.5346821541754154,0.7431500884358445,0.796122895887297,-0.15818102181890778
310,,,,,,,,,,,
311,,,,,,,,,,,
312,0.027289857613427438,-0.1991570434420545,-0.367756719941322,-0.21387591816885432,-0.1997661911423549,0.27705128891625286,0.908899475242541,-0.5406269300207402,-0.05816256177080285,0.32523033127367157,0.2754605436921067
313,,,,,,,,,,,
314,,,,,,,,,,,
315,,,,,,,,,,,
316,-0.2646204344064386,-0.2869616462818347,-0.007478292742429487,0.39896283800548354,-0.28748146714236983,-0.2817229281839446,-0.19031550823999963,6.0592711214612685,0.09943815511405082,-0.2757743657610747,-0.2813239404195469
317,,,,,,,,,,,
318,,,,,,,,,,,
319,-0.24487342717128624,-0.34632769165439453,-0.4374728218062644,-0.14376200902479866,-0.34619744102991395,0.22943107198162835,0.3145352584970353,-0.803567700101077,-0.21000617792856974,3.071456071921941,0.22866520487360273
320,,,,,,,,,,,
321,-0.25206789313980793,-0.19091559792295407,-0.19590246504186187,-0.005529437111089453,-0.19220052786452463,0.0071343887318536916,-0.03467749666601418,-0.18211685788704307,-0.027415107243141022,2.75579964510484,0.008222328851649703
322,,,,,,,,,,,
323,,,,,,,,,,,
324,,,,,,,,,,,
