comb,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
ferret+bodytrack+nn+facedetect,13358.0,1.05,0.7542,0.7964,12680.0,1.5079999999999998,37.739999999999995,1.0364,19.459999999999997,0.001532,0.7110000000000001,5.618,0.0004372,2.0700000000000003,51.760000000000005,3.886,2100.0,1.612
ferret+svm+nn+facedetect,13160.0,1.05,0.6178,0.7806,10464.0,1.236,30.9,0.8379999999999999,18.060000000000002,0.0017284000000000002,0.5212,8.398,0.0008054000000000001,1.672,41.86,5.8839999999999995,2114.0,2.798
bodytrack+svm+nn+facedetect,13058.0,1.05,0.7051999999999999,0.7746000000000001,11960.0,1.4080000000000001,35.26,1.0010000000000001,20.740000000000002,0.0017496,0.726,6.139999999999999,0.0005144,2.0000000000000004,49.959999999999994,5.188,2118.0,2.836
swaptions+ferret+bodytrack+svm+nn,13960.0,1.05,0.8385999999999999,0.8300000000000001,14120.0,1.6779999999999997,41.940000000000005,1.0788,24.740000000000002,0.0017839999999999998,0.7362000000000001,6.7620000000000005,0.0004762,2.156,54.0,5.3759999999999994,2104.0,2.616
swaptions+ferret+bodytrack+svm+facedetect,14280.0,1.05,0.8658000000000001,0.8423999999999999,14680.0,1.7299999999999998,43.28000000000001,1.081,21.839999999999996,0.001508,0.7268000000000001,5.984,0.0004046,2.1599999999999997,54.02,4.176,2120.0,1.69
swaptions+ferret+bodytrack+nn+facedetect,13360.0,1.05,0.9566000000000001,0.7915999999999999,16200.0,1.9140000000000001,47.88,1.2551999999999999,18.34,0.00114,0.7242,5.0,0.0003098,2.506,62.68000000000001,3.5699999999999994,2114.0,1.3965999999999998
swaptions+ferret+svm+nn+facedetect,12840.0,1.05,0.8130000000000001,0.7618,13680.0,1.626,40.64,1.1122,12.572,0.0009314,0.43360000000000004,7.072,0.000513,2.22,55.56,4.970000000000001,2100.0,2.6640000000000006
swaptions+bodytrack+svm+nn+facedetect,14400.0,1.05,0.877,0.8474,14960.0,1.7559999999999998,43.9,1.0968,18.580000000000002,0.0012692,0.7754,4.476000000000001,0.0002974,2.194,54.86,4.824,2128.0,2.6980000000000004
ferret+bodytrack+svm+nn+facedetect,13280.0,1.05,0.8034000000000001,0.7772,13720.0,1.6079999999999999,40.18,1.069,22.02,0.001608,0.6874,6.88,0.0005020000000000001,2.134,53.339999999999996,5.116,2132.0,2.3920000000000003
swaptions+ferret+bodytrack+svm+nn+facedetect,15600.0,1.05,0.8742000000000001,0.9168,14860.0,1.748,43.739999999999995,0.9758000000000001,27.0,0.001822,0.7522,6.662000000000001,0.00044319999999999993,1.954,48.86,5.7219999999999995,2126.0,2.806
