num,app,config,exec,ind_exec,slowdown_p,slowdown_gt
3,svm,batch-5-learning-45-regular-23,4.133256435394287,3.31168484688,1.3409873657740108,1.2480826607907165
3,swaptions,num-600000,14.906735181808472,13.1856048107,1.5154747052855329,1.1305310143765108
3,facedetect,eyes-0-pyramid-25-selectivity-0,6.297691106796265,5.65380501745,0.9759437673465101,1.1138854430527696
3,svm,batch-2-learning-34-regular-1,2.739966630935669,2.65918517113,1.0275171141969879,1.0303782755269133
3,swaptions,num-600000,15.360737085342407,13.1856048107,1.6104727843219733,1.1649626472103356
3,facedetect,eyes-0-pyramid-25-selectivity-0,6.309080362319946,5.65380501745,0.9440071622302397,1.1158998838565344
3,nn,batch-2-learning-78-regular-67,2.9344301223754883,2.6660990714999997,0.9567300589886635,1.1006455663046761
3,bodytrack,layer-5-particle-2266,6.468204021453857,5.321421861659999,1.3005567954338852,1.2155029594733395
3,ferret,hash-8-itr-25-probe-16,2.091104030609131,2.00222611428,1.0250188224998222,1.0443895500589309
3,svm,batch-5-learning-45-regular-23,3.9258670806884766,3.31168484688,1.1019621384336913,1.1854591430664392
3,bodytrack,layer-5-particle-100,0.9796004295349121,0.867403030395,1.1397860133737165,1.1293486363413088
3,ferret,hash-8-itr-25-probe-16,2.1073007583618164,2.00222611428,1.0070592185895049,1.0524789100154162
3,nn,batch-1-learning-100-regular-45,2.777118444442749,2.62096381187,1.4333530477386875,1.0595790876110327
3,bodytrack,layer-5-particle-4000,9.05824065208435,8.77696895598,0.9023582752388747,1.0320465638553629
3,facedetect,eyes-0-pyramid-25-selectivity-0,5.808017253875732,5.65380501745,0.8607185571454908,1.0272758321077167
3,ferret,hash-8-itr-14-probe-10,1.904433012008667,2.24816179276,1.0119860685141266,0.8471067421133656
3,ferret,hash-8-itr-25-probe-16,2.200244188308716,2.00222611428,1.0114213338421103,1.0988989568243261
3,nn,batch-1-learning-100-regular-45,3.5289835929870605,2.62096381187,1.2783934066025413,1.3464449898181572
3,svm,batch-5-learning-45-regular-23,4.175405502319336,3.31168484688,1.621526568402452,1.2608100394133408
3,facedetect,eyes-0-pyramid-25-selectivity-0,7.046793460845947,5.65380501745,1.0503691335327794,1.2463807009786514
3,ferret,hash-8-itr-25-probe-16,2.1037752628326416,2.00222611428,1.0416877836042224,1.0507181221083808
3,svm,batch-5-learning-45-regular-23,3.963486909866333,3.31168484688,1.1179992190521284,1.196818868075689
3,facedetect,eyes-0-pyramid-25-selectivity-0,6.2533485889434814,5.65380501745,1.0167663140675336,1.106042491674729
3,ferret,hash-8-itr-25-probe-16,2.07545804977417,2.00222611428,1.0076270724791165,1.0365752573956935
3,nn,batch-1-learning-100-regular-45,2.720468759536743,2.62096381187,1.6385329857768025,1.0379650215756886
3,bodytrack,layer-5-particle-100,0.9738254547119141,0.867403030395,1.2153390392976835,1.1226908606353971
3,nn,batch-1-learning-100-regular-45,3.2935261726379395,2.62096381187,1.248521141998781,1.2566087931935548
3,svm,batch-5-learning-45-regular-23,4.3491151332855225,3.31168484688,1.3447339810618162,1.3132635907015442
3,bodytrack,layer-5-particle-2266,5.833709239959717,5.321421861659999,1.0836851348292436,1.0962688904615263
3,facedetect,eyes-0-pyramid-25-selectivity-0,6.160084009170532,5.65380501745,0.9532919141834615,1.08954659563921
3,svm,batch-2-learning-34-regular-1,2.6514227390289307,2.65918517113,1.0127661177109486,0.9970808982445661
3,bodytrack,layer-5-particle-4000,11.331355333328247,8.77696895598,1.001040094110925,1.2910328599952345
3,facedetect,eyes-0-pyramid-25-selectivity-0,7.001754522323608,5.65380501745,0.9202328656742954,1.2384145722594384
3,nn,batch-4-learning-56-regular-67,3.562483787536621,2.8383610248599997,1.0696785623069278,1.2551200345320195
3,facedetect,eyes-0-pyramid-25-selectivity-0,7.277422904968262,5.65380501745,1.1370950287172983,1.287172600135148
3,nn,batch-1-learning-100-regular-45,2.9990346431732178,2.62096381187,1.2521318298010593,1.1442487796248788
3,svm,batch-5-learning-45-regular-23,4.559180498123169,3.31168484688,1.3577238763519728,1.3766951593894745
4,bodytrack,layer-5-particle-4000,10.007403135299683,8.77696895598,0.8186099975694429,1.1401889633529299
4,swaptions,num-600000,15.190140008926392,13.1856048107,1.5078991988613317,1.152024516660755
4,ferret,hash-8-itr-4-probe-20,2.1424334049224854,2.39939308166,0.9379160036836454,0.8929063859099988
4,svm,batch-2-learning-34-regular-1,2.8948378562927246,2.65918517113,1.16276263895202,1.0886183811947876
4,bodytrack,layer-5-particle-4000,10.58588171005249,8.77696895598,0.7456166269838813,1.2060976589008017
4,swaptions,num-600000,16.266275644302368,13.1856048107,1.6051325601353392,1.2336389477638852
4,ferret,hash-8-itr-4-probe-20,2.1387088298797607,2.39939308166,0.9379073752948761,0.8913540870927714
4,nn,batch-2-learning-78-regular-67,3.126176595687866,2.6660990714999997,-0.4415057228273649,1.1725658018886065
4,bodytrack,layer-5-particle-4000,9.069101333618164,8.77696895598,0.6406651165667991,1.0332839707082622
4,swaptions,num-100000,2.3095901012420654,2.27190518379,5.29437000608538,1.0165873636456955
4,facedetect,eyes-0-pyramid-25-selectivity-0,5.901663780212402,5.65380501745,0.6929139808885755,1.0438392838092942
4,ferret,hash-8-itr-4-probe-20,2.030693769454956,2.39939308166,0.9724725836656865,0.8463364277311484
4,swaptions,num-300000,9.962493419647217,6.66946387291,2.122836955186796,1.49374726507071
4,ferret,hash-8-itr-25-probe-16,2.221066951751709,2.00222611428,1.0378545264746295,1.1092987629673405
4,nn,batch-1-learning-34-regular-67,3.6432735919952393,2.59678077698,1.8401787860272791,1.4029962114215462
4,svm,batch-5-learning-45-regular-23,4.685904026031494,3.31168484688,1.6358804522829167,1.4149607353025067
4,swaptions,num-600000,15.224322319030762,13.1856048107,1.5076365461632832,1.1546169127317059
4,facedetect,eyes-0-pyramid-25-selectivity-0,6.366407155990601,5.65380501745,0.8807178189358269,1.1260393905239416
4,ferret,hash-8-itr-4-probe-20,2.1707065105438232,2.39939308166,0.9377884904448822,0.9046898264131187
4,svm,batch-2-learning-34-regular-1,3.0255630016326904,2.65918517113,1.1420279458083131,1.1377782316479303
4,swaptions,num-600000,15.945008516311646,13.1856048107,1.6051129807506148,1.209273957867478
4,facedetect,eyes-0-pyramid-25-selectivity-0,6.719353675842285,5.65380501745,0.8693635356760188,1.1884657598030985
4,ferret,hash-8-itr-4-probe-20,2.155179500579834,2.39939308166,0.9382884333107743,0.8982186024679171
4,nn,batch-2-learning-78-regular-67,3.2062525749206543,2.6660990714999997,0.4195192043673086,1.2026006869717536
4,bodytrack,layer-5-particle-4000,12.72168517112732,8.77696895598,0.8496864522041,1.4494394630916032
4,swaptions,num-300000,9.81369662284851,6.66946387291,2.15313512005089,1.471437106468144
4,nn,batch-2-learning-89-regular-45,3.3277406692504883,2.6937341690100003,1.2587919647970092,1.2353634250678485
4,svm,batch-5-learning-45-regular-23,4.556207656860352,3.31168484688,1.207773535035771,1.375797476970926
