Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-4-learning-45-regular-2,1.56e+04,1.06,11.2,0,10.8,24.1,0,0,0,0,0,0,0,0,0.136,0.118,1.79e+04,0.271,6.78,1.15,0.706,32.1,0.00179,0.72,9.04,0.000505,2.3,57.4,16.2,1.65e+04,9.94
batch-1-learning-45-regular-1,1.27e+04,0.924,12.2,0,13.4,13.2,0,0,0,0,0,0,0,0,0.117,0.113,1.31e+04,0.233,5.83,1.03,0.707,21.5,0.00164,0.546,9.87,0.000751,2.06,51.6,12.4,1.41e+04,8.64
batch-1-learning-67-regular-2,1.19e+04,0.917,11.5,0,14.3,17.3,0,0,0,0,0,0,0,0,0.109,0.105,1.23e+04,0.217,5.44,1.03,0.736,23.1,0.00187,0.562,10.2,0.000826,2.06,51.6,11.8,1.42e+04,8.53
batch-1-learning-67-regular-3,1.27e+04,0.964,11.3,0,17.9,27.5,0,0,0,0,0,0,0,0,0.109,0.109,1.26e+04,0.218,5.45,0.997,0.726,19.4,0.00154,0.56,8.43,0.000667,1.99,49.8,12,1.45e+04,8.57
batch-1-learning-67-regular-1,1.13e+04,0.868,11.1,0,9.71,27.7,0,0,0,0,0,0,0,0,0.0992,0.0962,1.16e+04,0.198,4.96,1.03,0.735,18.3,0.00157,0.546,8.44,0.000726,2.06,51.6,11.7,1.46e+04,8.58
batch-3-learning-78-regular-1,1.3e+04,0.862,11.7,0,11.8,25,0,0,0,0,0,0,0,0,0.113,0.101,1.46e+04,0.226,5.64,1.12,0.717,25.7,0.00176,0.658,8.87,0.000609,2.23,55.9,13.5,1.62e+04,9.37
batch-1-learning-67-regular-4,1.33e+04,1.04,11.5,0,11.5,25.7,0,0,0,0,0,0,0,0,0.118,0.12,1.3e+04,0.235,5.88,0.978,0.704,21,0.00162,0.564,9.28,0.000714,1.96,48.9,11.7,1.38e+04,8.53
batch-1-learning-67-regular-5,1.3e+04,1.05,11.2,0,14.5,13.5,0,0,0,0,0,0,0,0,0.115,0.118,1.27e+04,0.23,5.74,0.975,0.718,20,0.00158,0.553,9.05,0.000714,1.95,48.7,11.8,1.38e+04,8.5
batch-5-learning-100-regular-2,1.84e+04,0.969,11.8,0,11.7,19.8,0,0,0,0,0,0,0,0,0.15,0.115,2.4e+04,0.3,7.49,1.31,0.725,44.3,0.00185,0.777,9.96,0.000415,2.61,65.3,21.8,2e+04,11.3
batch-4-learning-23-regular-5,1.57e+04,1,11.6,0,10.3,21.9,0,0,0,0,0,0,0,0,0.134,0.116,1.82e+04,0.268,6.69,1.16,0.733,30.5,0.00167,0.716,8.74,0.00048,2.32,57.9,16.1,1.7e+04,10
batch-4-learning-23-regular-4,1.51e+04,0.951,11.8,0,12.3,21.5,0,0,0,0,0,0,0,0,0.133,0.112,1.79e+04,0.265,6.63,1.18,0.714,32.5,0.00181,0.694,10,0.00056,2.37,59.2,16.5,1.69e+04,9.98
batch-4-learning-23-regular-3,1.65e+04,1.05,11.8,0,16.4,21.9,0,0,0,0,0,0,0,0,0.14,0.124,1.86e+04,0.281,7.02,1.13,0.707,33,0.00178,0.71,9.64,0.000518,2.26,56.5,16.2,1.66e+04,10
batch-4-learning-23-regular-2,1.68e+04,1.05,11.9,0,17,21.7,0,0,0,0,0,0,0,0,0.142,0.125,1.91e+04,0.284,7.1,1.13,0.71,33.9,0.00177,0.688,10.4,0.000546,2.27,56.7,16.8,1.68e+04,10
batch-4-learning-23-regular-1,1.48e+04,0.922,11.7,0,11.3,21.9,0,0,0,0,0,0,0,0,0.128,0.108,1.76e+04,0.256,6.4,1.19,0.709,32.2,0.00183,0.698,9.8,0.000557,2.38,59.4,16.3,1.72e+04,10
batch-4-learning-67-regular-5,1.49e+04,0.925,11.7,0,17.7,18.9,0,0,0,0,0,0,0,0,0.129,0.108,1.77e+04,0.259,6.47,1.19,0.709,32.4,0.00183,0.706,9.57,0.000539,2.39,59.7,16.3,1.72e+04,10.1
batch-4-learning-67-regular-4,1.65e+04,1.01,12,0,11,23.7,0,0,0,0,0,0,0,0,0.138,0.121,1.88e+04,0.276,6.9,1.14,0.716,32.9,0.00175,0.695,10.1,0.000538,2.28,57,16.7,1.7e+04,10.1
