Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
eyes-0-pyramid-13-selectivity-1,1.32e+05,1.04,55.6,0,12.4,10.5,0,0,0,0,0,0,0,0,0.507,0.58,1.15e+05,1.01,25.4,0.874,0.98,63.2,0.000549,0.964,2.2,1.92e-05,1.75,43.7,3.65,2.84e+04,1.39
eyes-2-pyramid-20-selectivity-2,3.54e+05,1.04,62.7,0,11.1,6.13,0,0,0,0,0,0,0,0,0.571,0.652,3.1e+05,1.14,28.6,0.875,0.985,128,0.000414,0.959,4.96,1.6e-05,1.75,43.8,9,6.79e+04,3.67
eyes-2-pyramid-20-selectivity-0,4.75e+04,1.04,38.9,0,9.78,26.2,0,0,0,0,0,0,0,0,0.364,0.404,4.28e+04,0.728,18.2,0.9,0.982,18.1,0.000424,0.931,1.19,2.78e-05,1.8,45,1.8,1.47e+04,0.961
eyes-2-pyramid-20-selectivity-1,2.01e+05,1.04,58.4,0,12.5,10,0,0,0,0,0,0,0,0,0.536,0.605,1.78e+05,1.07,26.8,0.886,0.985,74.4,0.000418,0.947,3.77,2.12e-05,1.77,44.3,6.5,4.15e+04,2.59
eyes-1-pyramid-25-selectivity-2,4.41e+05,1.03,64.3,0,11.1,4.52,0,0,0,0,0,0,0,0,0.582,0.663,3.87e+05,1.16,29.1,0.878,0.984,170,0.00044,0.962,6.23,1.61e-05,1.76,43.9,12.7,8.31e+04,5.29
eyes-1-pyramid-25-selectivity-0,6.23e+04,1.05,46.5,0,16,0,0,0,0,0,0,0,0,0,0.402,0.487,5.15e+04,0.804,20.1,0.826,0.985,18.7,0.000364,0.908,1.63,3.17e-05,1.65,41.3,2.82,1.6e+04,1.16
eyes-1-pyramid-25-selectivity-1,2.48e+05,1.01,60.7,0,11.6,8.1,0,0,0,0,0,0,0,0,0.539,0.611,2.19e+05,1.08,27,0.882,0.987,75.4,0.000344,0.942,4.14,1.89e-05,1.76,44.1,7.96,5.08e+04,3.29
eyes-2-pyramid-9-selectivity-1,1e+05,1.03,51,0,17.7,0.0026,0,0,0,0,0,0,0,0,0.463,0.523,8.89e+04,0.927,23.2,0.886,0.982,41.6,0.000468,0.966,1.36,1.52e-05,1.77,44.3,2.06,2.4e+04,0.964
eyes-2-pyramid-9-selectivity-2,1.74e+05,1.02,57.8,0,14.8,9.98,0,0,0,0,0,0,0,0,0.522,0.592,1.53e+05,1.04,26.1,0.881,0.984,67.9,0.000443,0.963,2.33,1.52e-05,1.76,44.1,3.82,3.67e+04,1.45
eyes-0-pyramid-22-selectivity-2,3.88e+05,1.04,63.7,0,10.6,5.66,0,0,0,0,0,0,0,0,0.577,0.662,3.38e+05,1.15,28.8,0.871,0.981,187,0.000552,0.961,6.95,2.06e-05,1.74,43.6,11.3,7.33e+04,4.52
eyes-0-pyramid-22-selectivity-0,4.79e+04,1.04,45,0,12.1,15.4,0,0,0,0,0,0,0,0,0.39,0.47,3.98e+04,0.781,19.5,0.831,0.94,65.9,0.00165,0.976,1.54,3.85e-05,1.66,41.6,2.18,1.28e+04,0.915
eyes-0-pyramid-22-selectivity-1,2.24e+05,1.03,62.7,0,12.6,0,0,0,0,0,0,0,0,0,0.544,0.643,1.89e+05,1.09,27.2,0.846,0.98,111,0.000585,0.962,4.01,2.12e-05,1.69,42.3,7.06,4.34e+04,2.77
eyes-1-pyramid-18-selectivity-2,3.3e+05,1.05,62.5,0,11.7,5.9,0,0,0,0,0,0,0,0,0.575,0.653,2.9e+05,1.15,28.7,0.88,0.986,115,0.000397,0.967,3.66,1.26e-05,1.76,44,6.85,6.32e+04,2.96
eyes-1-pyramid-18-selectivity-0,4.67e+04,1.04,40.9,0,19.4,9.63,0,0,0,0,0,0,0,0,0.374,0.426,4.1e+04,0.748,18.7,0.878,0.98,19,0.000463,0.908,1.68,4.08e-05,1.76,43.9,2.28,1.37e+04,1.02
eyes-1-pyramid-18-selectivity-1,1.88e+05,1.04,58.6,0,13,9.64,0,0,0,0,0,0,0,0,0.538,0.612,1.66e+05,1.08,26.9,0.88,0.98,91,0.000549,0.966,2.96,1.78e-05,1.76,44,5.34,3.85e+04,2.14
eyes-2-pyramid-13-selectivity-0,3.49e+04,0.971,35.4,0,16.4,13.9,0,0,0,0,0,0,0,0,0.312,0.344,3.16e+04,0.624,15.6,0.907,0.981,13,0.000412,0.895,1.29,4.07e-05,1.81,45.3,1.85,1.27e+04,0.811
eyes-2-pyramid-13-selectivity-1,1.37e+05,1,55.4,0,15.1,1.64,0,0,0,0,0,0,0,0,0.49,0.554,1.22e+05,0.98,24.5,0.885,0.984,50.7,0.000418,0.957,2.06,1.7e-05,1.77,44.2,3.49,3.1e+04,1.44
eyes-2-pyramid-13-selectivity-2,2.4e+05,1.02,60.3,0,10.5,8.56,0,0,0,0,0,0,0,0,0.543,0.618,2.11e+05,1.09,27.1,0.878,0.982,103,0.000489,0.979,2.08,9.88e-06,1.76,43.9,3.95,4.86e+04,1.81
eyes-0-pyramid-5-selectivity-2,1.02e+05,1.05,52.1,0,10.5,17.5,0,0,0,0,0,0,0,0,0.477,0.545,8.94e+04,0.954,23.9,0.876,0.984,39.2,0.000438,0.975,0.933,1.04e-05,1.75,43.8,1.29,2.34e+04,0.705
eyes-0-pyramid-5-selectivity-0,1.31e+04,0.746,26.4,0,13.8,30.8,0,0,0,0,0,0,0,0,0.179,0.197,1.19e+04,0.357,8.94,0.907,0.974,7.36,0.000621,0.894,0.75,6.32e-05,1.81,45.3,0.863,8.29e+03,0.427
eyes-0-pyramid-5-selectivity-1,5.83e+04,1.04,44.9,0,12.4,23.7,0,0,0,0,0,0,0,0,0.408,0.466,5.11e+04,0.817,20.4,0.876,0.945,76.2,0.00149,0.985,1.09,2.13e-05,1.75,43.8,1.52,1.56e+04,0.738
eyes-1-pyramid-7-selectivity-1,9.17e+04,1.01,51.3,0,12.7,18.7,0,0,0,0,0,0,0,0,0.459,0.517,8.14e+04,0.918,23,0.888,0.983,37.2,0.000457,0.957,1.51,1.85e-05,1.78,44.4,2.2,2.22e+04,0.916
eyes-1-pyramid-7-selectivity-0,2.6e+04,1.03,29.4,0,13.9,32.4,0,0,0,0,0,0,0,0,0.281,0.303,2.41e+04,0.562,14.1,0.926,0.977,10.2,0.000423,0.879,1.16,4.8e-05,1.85,46.3,1.43,1.07e+04,0.648
eyes-1-pyramid-7-selectivity-2,1.59e+05,0.97,58.3,0,15.5,9.28,0,0,0,0,0,0,0,0,0.498,0.565,1.4e+05,0.997,24.9,0.882,0.98,78.3,0.000558,0.974,1.93,1.37e-05,1.76,44.1,3.37,3.52e+04,1.22
eyes-2-pyramid-25-selectivity-2,4.42e+05,1.02,64.2,0,11.6,4.29,0,0,0,0,0,0,0,0,0.575,0.656,3.87e+05,1.15,28.7,0.876,0.985,159,0.000411,0.956,6.76,1.75e-05,1.75,43.8,13.4,8.42e+04,5.35
eyes-2-pyramid-25-selectivity-1,2.5e+05,1.03,59.6,0,13.3,6.47,0,0,0,0,0,0,0,0,0.541,0.617,2.19e+05,1.08,27,0.876,0.985,90.6,0.000414,0.95,4.3,1.96e-05,1.75,43.8,8.54,5.06e+04,3.35
eyes-2-pyramid-25-selectivity-0,5.76e+04,0.974,43.6,0,10.1,24.4,0,0,0,0,0,0,0,0,0.38,0.425,5.15e+04,0.759,19,0.894,0.981,23.9,0.000464,0.937,1.44,2.79e-05,1.79,44.7,2.51,1.7e+04,1.15
eyes-2-pyramid-5-selectivity-0,1.86e+04,1.01,23.3,0,31.4,5.47,0,0,0,0,0,0,0,0,0.223,0.236,1.76e+04,0.446,11.1,0.945,0.973,7.83,0.000445,0.854,1.07,6.11e-05,1.89,47.3,1.03,9.86e+03,0.54
eyes-2-pyramid-5-selectivity-1,6.31e+04,0.79,48.6,0,14.8,17,0,0,0,0,0,0,0,0,0.342,0.384,5.62e+04,0.684,17.1,0.891,0.981,26.6,0.000473,0.939,1.51,2.68e-05,1.78,44.6,1.98,2.05e+04,0.788
eyes-2-pyramid-5-selectivity-2,1.06e+05,1.02,53,0,17.2,10.3,0,0,0,0,0,0,0,0,0.479,0.542,9.36e+04,0.958,24,0.884,0.984,39.2,0.000418,0.965,1.27,1.36e-05,1.77,44.2,2.06,2.44e+04,0.846
eyes-0-pyramid-25-selectivity-1,2.41e+05,1.04,61.1,0,10.6,8.83,0,0,0,0,0,0,0,0,0.56,0.638,2.11e+05,1.12,28,0.878,0.988,72.4,0.000343,0.938,4.26,2.02e-05,1.76,43.9,8.05,4.72e+04,3.19
eyes-0-pyramid-25-selectivity-0,5.03e+04,0.966,44.9,0,13.4,24.1,0,0,0,0,0,0,0,0,0.385,0.434,4.47e+04,0.771,19.3,0.888,0.982,22,0.000493,0.918,1.73,3.87e-05,1.78,44.4,2.57,1.45e+04,1.05
eyes-0-pyramid-25-selectivity-2,4.32e+05,1.05,64.2,0,11.3,4.24,0,0,0,0,0,0,0,0,0.59,0.672,3.79e+05,1.18,29.5,0.878,0.987,137,0.000361,0.946,7.08,1.87e-05,1.76,43.9,13.8,8.04e+04,5.4
eyes-2-pyramid-16-selectivity-1,1.68e+05,1.05,58.2,0,13.6,0,0,0,0,0,0,0,0,0,0.522,0.608,1.44e+05,1.04,26.1,0.859,0.982,68.7,0.000477,0.965,2.28,1.58e-05,1.72,42.9,3.75,3.45e+04,1.73
eyes-2-pyramid-16-selectivity-0,4.05e+04,1.04,37.3,0,12.4,23.1,0,0,0,0,0,0,0,0,0.351,0.389,3.65e+04,0.701,17.5,0.902,0.978,17.8,0.000488,0.921,1.33,3.65e-05,1.8,45.1,1.93,1.3e+04,0.909
eyes-2-pyramid-16-selectivity-2,2.87e+05,1.04,60.8,0,13.1,4,0,0,0,0,0,0,0,0,0.554,0.63,2.53e+05,1.11,27.7,0.88,0.983,120,0.000474,0.969,3.54,1.4e-05,1.76,44,6.2,5.7e+04,2.61
eyes-2-pyramid-11-selectivity-2,2.18e+05,0.944,60.7,0,13.1,0.361,0,0,0,0,0,0,0,0,0.504,0.573,1.92e+05,1.01,25.2,0.879,0.981,103,0.000539,0.979,2.09,1.09e-05,1.76,44,3.72,4.76e+04,1.56
eyes-2-pyramid-11-selectivity-0,3.28e+04,1.04,33.3,0,11.6,29,0,0,0,0,0,0,0,0,0.307,0.345,2.92e+04,0.615,15.4,0.891,0.977,14.5,0.000495,0.937,0.861,2.95e-05,1.78,44.6,1.27,1.19e+04,0.693
eyes-2-pyramid-11-selectivity-1,1.26e+05,1.03,54.7,0,14.7,13.7,0,0,0,0,0,0,0,0,0.498,0.565,1.11e+05,0.995,24.9,0.881,0.986,42,0.000379,0.945,2.16,1.95e-05,1.76,44,3.51,2.78e+04,1.31
eyes-1-pyramid-16-selectivity-0,4.06e+04,1.04,37.5,0,13.9,23.3,0,0,0,0,0,0,0,0,0.353,0.39,3.68e+04,0.706,17.7,0.906,0.979,16.9,0.00046,0.907,1.49,4.04e-05,1.81,45.3,2.19,1.3e+04,0.941
eyes-1-pyramid-16-selectivity-1,1.65e+05,1.04,57.2,0,16.3,8.85,0,0,0,0,0,0,0,0,0.527,0.596,1.45e+05,1.05,26.3,0.884,0.982,71.4,0.000491,0.953,3.19,2.19e-05,1.77,44.2,5.35,3.45e+04,1.98
eyes-1-pyramid-16-selectivity-2,2.87e+05,1.04,61.2,0,11.5,6.96,0,0,0,0,0,0,0,0,0.559,0.635,2.52e+05,1.12,28,0.88,0.985,106,0.000422,0.967,3.34,1.32e-05,1.76,44,6.06,5.64e+04,2.54
eyes-2-pyramid-9-selectivity-0,2.65e+04,1.05,30,0,8.95,39.2,0,0,0,0,0,0,0,0,0.286,0.313,2.42e+04,0.572,14.3,0.912,0.982,8.82,0.000364,0.919,0.664,2.74e-05,1.82,45.6,0.889,1.06e+04,0.589
eyes-1-pyramid-20-selectivity-2,3.53e+05,1.03,62.7,0,11.6,5.99,0,0,0,0,0,0,0,0,0.569,0.647,3.11e+05,1.14,28.5,0.88,0.985,133,0.000427,0.96,5.11,1.64e-05,1.76,44,9.53,6.83e+04,3.78
eyes-1-pyramid-20-selectivity-1,2.01e+05,1.04,58.4,0,11.3,8.98,0,0,0,0,0,0,0,0,0.537,0.61,1.77e+05,1.07,26.8,0.881,0.981,89.1,0.000503,0.961,3.35,1.89e-05,1.76,44,6.06,4.13e+04,2.49
eyes-1-pyramid-20-selectivity-0,4.77e+04,1,39.4,0,10.9,27.2,0,0,0,0,0,0,0,0,0.356,0.394,4.31e+04,0.713,17.8,0.905,0.979,21,0.000486,0.927,1.46,3.38e-05,1.81,45.2,2.2,1.51e+04,1.03
eyes-1-pyramid-9-selectivity-2,1.74e+05,1.05,57.5,0,13.7,10.8,0,0,0,0,0,0,0,0,0.53,0.601,1.54e+05,1.06,26.5,0.882,0.984,67.3,0.000438,0.965,2.24,1.46e-05,1.76,44.1,3.66,3.62e+04,1.42
eyes-1-pyramid-9-selectivity-1,1.01e+05,1.04,51.3,0,12.9,15.8,0,0,0,0,0,0,0,0,0.474,0.535,8.93e+04,0.948,23.7,0.887,0.983,39.4,0.000442,0.955,1.66,1.85e-05,1.77,44.3,2.44,2.35e+04,1.05
eyes-1-pyramid-9-selectivity-0,2.72e+04,1.04,30.6,0,14.1,33.3,0,0,0,0,0,0,0,0,0.293,0.319,2.5e+04,0.587,14.7,0.92,0.974,12.8,0.000511,0.9,1.21,4.84e-05,1.84,46,1.41,1.06e+04,0.694
eyes-1-pyramid-11-selectivity-2,2.19e+05,1.01,59.9,0,13.6,3.39,0,0,0,0,0,0,0,0,0.534,0.608,1.92e+05,1.07,26.7,0.878,0.981,99.3,0.000517,0.977,2.16,1.13e-05,1.76,43.9,3.65,4.5e+04,1.52
eyes-1-pyramid-11-selectivity-1,1.26e+05,0.995,54.8,0,13.6,12,0,0,0,0,0,0,0,0,0.481,0.546,1.11e+05,0.962,24.1,0.882,0.984,48,0.000433,0.96,1.79,1.61e-05,1.76,44.1,2.96,2.88e+04,1.18
eyes-1-pyramid-11-selectivity-0,3.21e+04,1.03,33.9,0,18.6,22.7,0,0,0,0,0,0,0,0,0.321,0.35,2.94e+04,0.642,16.1,0.917,0.978,13.2,0.00045,0.897,1.28,4.36e-05,1.83,45.8,1.66,1.14e+04,0.76
eyes-2-pyramid-18-selectivity-2,3.32e+05,1.04,62.1,0,11.1,6.48,0,0,0,0,0,0,0,0,0.569,0.649,2.91e+05,1.14,28.4,0.877,0.984,133,0.000457,0.968,4.06,1.4e-05,1.75,43.8,7.59,6.39e+04,3.24
eyes-2-pyramid-18-selectivity-1,1.88e+05,1.02,58.5,0,11.8,10.4,0,0,0,0,0,0,0,0,0.525,0.595,1.65e+05,1.05,26.2,0.881,0.983,76.5,0.000462,0.963,2.71,1.64e-05,1.76,44.1,5.06,3.94e+04,2.12
eyes-2-pyramid-18-selectivity-0,4.48e+04,0.988,37.4,0,10.8,30.9,0,0,0,0,0,0,0,0,0.334,0.369,4.05e+04,0.667,16.7,0.903,0.98,19,0.00047,0.929,1.28,3.16e-05,1.81,45.1,1.96,1.52e+04,0.949
eyes-0-pyramid-9-selectivity-2,1.68e+05,1.05,57.7,0,11.7,8.37,0,0,0,0,0,0,0,0,0.528,0.604,1.47e+05,1.06,26.4,0.876,0.984,65,0.000442,0.971,1.77,1.21e-05,1.75,43.8,2.82,3.48e+04,1.23
eyes-0-pyramid-9-selectivity-0,2.78e+04,1.02,39.8,0,19.8,3.54,0,0,0,0,0,0,0,0,0.267,0.405,1.83e+04,0.533,13.3,0.658,0.979,9.95,0.000545,0.917,0.789,4.32e-05,1.32,32.9,0.819,8.57e+03,0.444
eyes-0-pyramid-9-selectivity-1,9.44e+04,1.04,51.5,0,16.2,13.1,0,0,0,0,0,0,0,0,0.473,0.536,8.32e+04,0.946,23.7,0.882,0.984,37.5,0.000451,0.957,1.54,1.85e-05,1.76,44.1,2.4,2.2e+04,0.959
eyes-1-pyramid-5-selectivity-2,1.07e+05,1,53.1,0,15.1,11.1,0,0,0,0,0,0,0,0,0.469,0.531,9.45e+04,0.937,23.4,0.883,0.982,44.7,0.000473,0.96,1.68,1.77e-05,1.77,44.1,2.47,2.52e+04,0.945
eyes-1-pyramid-5-selectivity-1,6.26e+04,0.986,44.7,0,15.3,17.9,0,0,0,0,0,0,0,0,0.394,0.441,5.59e+04,0.788,19.7,0.894,0.979,29.8,0.000533,0.956,1.25,2.23e-05,1.79,44.7,1.83,1.78e+04,0.721
eyes-1-pyramid-5-selectivity-0,1.86e+04,0.965,25.9,0,12,36.6,0,0,0,0,0,0,0,0,0.232,0.25,1.73e+04,0.465,11.6,0.93,0.966,10,0.000579,0.884,1.1,6.37e-05,1.86,46.5,1.23,9.31e+03,0.547
eyes-0-pyramid-11-selectivity-0,2.6e+04,0.921,34,0,12.8,28.8,0,0,0,0,0,0,0,0,0.275,0.313,2.28e+04,0.549,13.7,0.876,0.978,13.4,0.000588,0.917,1.07,4.7e-05,1.75,43.8,1.26,1.04e+04,0.601
eyes-0-pyramid-11-selectivity-1,1.2e+05,1,51.3,0,12.8,18.5,0,0,0,0,0,0,0,0,0.452,0.513,1.06e+05,0.904,22.6,0.881,0.983,49.7,0.000469,0.952,2.21,2.09e-05,1.76,44.1,3.46,2.93e+04,1.26
eyes-0-pyramid-11-selectivity-2,2.14e+05,1.03,60.3,0,13.1,2.85,0,0,0,0,0,0,0,0,0.544,0.622,1.87e+05,1.09,27.2,0.875,0.983,89.6,0.00048,0.968,2.71,1.45e-05,1.75,43.7,4.1,4.29e+04,1.62
eyes-0-pyramid-20-selectivity-0,4.04e+04,1.03,40.1,0,11.8,19.8,0,0,0,0,0,0,0,0,0.367,0.412,3.6e+04,0.733,18.3,0.891,0.985,14.8,0.00041,0.904,1.35,3.74e-05,1.78,44.5,2.02,1.23e+04,0.823
eyes-0-pyramid-20-selectivity-1,1.95e+05,1.04,59.5,0,14.8,10.6,0,0,0,0,0,0,0,0,0.544,0.621,1.71e+05,1.09,27.2,0.877,0.986,65.9,0.000385,0.929,4.46,2.61e-05,1.75,43.8,7.52,3.93e+04,2.66
eyes-0-pyramid-20-selectivity-2,3.48e+05,1.04,62.9,0,11.1,5.56,0,0,0,0,0,0,0,0,0.574,0.656,3.05e+05,1.15,28.7,0.876,0.985,135,0.000442,0.957,5.57,1.83e-05,1.75,43.8,9.75,6.63e+04,3.84
eyes-2-pyramid-7-selectivity-2,1.58e+05,1.03,57.2,0,10.3,12.3,0,0,0,0,0,0,0,0,0.515,0.586,1.38e+05,1.03,25.7,0.878,0.984,60.3,0.000436,0.982,1.05,7.61e-06,1.76,43.9,1.57,3.36e+04,0.932
eyes-2-pyramid-7-selectivity-0,2.91e+04,0.969,33.4,0,21.3,10.2,0,0,0,0,0,0,0,0,0.267,0.324,2.4e+04,0.534,13.3,0.824,0.974,11.7,0.000489,0.914,0.957,3.99e-05,1.65,41.2,1.35,1.12e+04,0.609
eyes-2-pyramid-7-selectivity-1,9.26e+04,1.04,51.1,0,13.5,16.9,0,0,0,0,0,0,0,0,0.471,0.533,8.19e+04,0.943,23.6,0.884,0.979,44.4,0.000543,0.966,1.46,1.78e-05,1.77,44.2,2.13,2.17e+04,0.903
