Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-5-learning-45-regular-5,3.95e+05,0.999,100,0,0.0482,0,0,0,0,0,0,0,0,0,1.07,0.998,4.21e+05,2.13,53.3,1.07,0.769,121,0.000287,0.566,46.4,0.00011,2.13,53.4,37.8,4.94e+04,59.2,3.00644665319
batch-5-learning-45-regular-5,1.17e+05,1.05,66.9,0,28.3,0,0,0,0,0,0,0,0,0,0.949,0.699,1.59e+05,1.9,47.5,1.36,0.746,93.5,0.000589,0.689,25.3,0.00016,2.72,67.9,24,2.09e+04,34.4,1.28665009869
batch-5-learning-45-regular-5,4.65e+05,1.01,99.6,0,0.329,0,0,0,0,0,0,0,0,0,0.946,1.01,4.37e+05,1.89,47.3,0.939,0.788,280,0.000642,0.601,82.5,0.000189,1.88,47,87.7,5.77e+04,99.2,3.54382700687
batch-5-learning-45-regular-5,5.39e+05,1.01,100,0,0.0377,0,0,0,0,0,0,0,0,0,0.966,1.01,5.16e+05,1.93,48.3,0.957,0.769,213,0.000413,0.508,87.9,0.00017,1.91,47.9,68.8,6.68e+04,108,4.08536627167
batch-5-learning-45-regular-5,2.51e+05,1.01,87.3,0,10.9,0,0,0,0,0,0,0,0,0,0.882,0.88,2.51e+05,1.76,44.1,1,0.767,188,0.000747,0.638,51.7,0.000206,2,50.1,55.5,3.56e+04,62.7,2.17999285978
batch-5-learning-45-regular-5,4.14e+05,0.999,99.9,0,0.0502,0,0,0,0,0,0,0,0,0,0.974,0.998,4.03e+05,1.95,48.7,0.976,0.771,179,0.000443,0.5,76.9,0.000191,1.95,48.8,57.2,5.18e+04,97.3,3.14625521184
batch-5-learning-45-regular-5,5.51e+05,1.01,100,0,0.0383,0,0,0,0,0,0,0,0,0,1.01,1.01,5.51e+05,2.02,50.5,1,0.756,171,0.000311,0.525,69.7,0.000126,2,50,56.8,6.82e+04,98.4,4.13833785008
batch-5-learning-45-regular-5,2.91e+05,1.01,99.9,0,0.0656,0,0,0,0,0,0,0,0,0,0.978,1.01,2.81e+05,1.96,48.9,0.967,0.754,151,0.000537,0.497,66.2,0.000235,1.93,48.3,48.6,3.6e+04,81.1,2.2128650762
batch-5-learning-45-regular-5,3.65e+05,1.02,98.2,0,1.83,0,0,0,0,0,0,0,0,0,1.06,0.998,3.86e+05,2.11,52.8,1.06,0.756,199,0.000516,0.613,58.9,0.000153,2.12,52.9,58.2,4.56e+04,68.7,2.8296558478
batch-5-learning-45-regular-5,3.84e+05,1.01,99.9,0,0.0596,0,0,0,0,0,0,0,0,0,1.09,1.01,4.15e+05,2.19,54.7,1.08,0.737,128,0.000308,0.53,52.4,0.000126,2.16,54,36,4.74e+04,63.2,2.90561485889
batch-5-learning-45-regular-4,3.2e+05,1,93.7,0,6.3,0,0,0,0,0,0,0,0,0,0.963,0.941,3.27e+05,1.93,48.2,1.02,0.777,196,0.000599,0.618,58.2,0.000178,2.05,51.2,60.9,4.25e+04,71.4,2.51737329702
batch-5-learning-45-regular-4,5.84e+05,1.01,100,0,0.0424,0,0,0,0,0,0,0,0,0,0.987,1.01,5.73e+05,1.97,49.3,0.981,0.742,228,0.000397,0.446,110,0.000192,1.96,49,77.2,7.25e+04,134,4.2351131108
batch-5-learning-45-regular-4,5.45e+05,1.01,100,0,0.0451,0,0,0,0,0,0,0,0,0,0.956,1.01,5.16e+05,1.91,47.8,0.947,0.764,203,0.000394,0.499,87.1,0.000169,1.89,47.4,65.4,6.74e+04,110,3.94329011026
batch-5-learning-45-regular-4,2.45e+05,1.01,85,0,14.9,0,0,0,0,0,0,0,0,0,0.928,0.859,2.65e+05,1.86,46.4,1.08,0.783,164,0.00062,0.631,48,0.000181,2.16,54,47.2,3.57e+04,60.3,2.13750512432
batch-5-learning-45-regular-4,5.17e+05,1.02,100,0,0.0416,0,0,0,0,0,0,0,0,0,1.08,1.02,5.45e+05,2.15,53.8,1.05,0.74,157,0.000288,0.51,67.7,0.000124,2.11,52.7,51,6.33e+04,90.9,3.70137412702
batch-5-learning-45-regular-4,3.84e+05,1.01,99.9,0,0.1,0,0,0,0,0,0,0,0,0,1.01,1.01,3.83e+05,2.02,50.5,0.996,0.774,212,0.000554,0.598,65.2,0.00017,1.99,49.8,68.3,4.74e+04,77.6,2.84361671296
batch-5-learning-45-regular-4,1.21e+05,1.05,67.9,0,29.1,0,0,0,0,0,0,0,0,0,0.961,0.71,1.64e+05,1.92,48.1,1.35,0.757,91.5,0.000558,0.694,24.4,0.000148,2.71,67.7,22.8,2.13e+04,33.8,1.27939440331
batch-5-learning-45-regular-4,3.64e+05,1.01,99.9,0,0.064,0,0,0,0,0,0,0,0,0,1.09,1.01,3.93e+05,2.17,54.4,1.08,0.768,122,0.00031,0.581,45.1,0.000115,2.16,53.9,38.2,4.51e+04,57.5,2.66796710191
batch-5-learning-45-regular-4,4.42e+05,1.02,99.9,0,0.0735,0,0,0,0,0,0,0,0,0,0.952,1.02,4.14e+05,1.9,47.6,0.936,0.761,195,0.000472,0.459,92.5,0.000224,1.87,46.8,65.3,5.43e+04,116,3.18385897279
batch-5-learning-45-regular-4,3.6e+05,1.05,99.9,0,0.0568,0,0,0,0,0,0,0,0,0,1.05,1.04,3.6e+05,2.09,52.3,1,0.79,139,0.000387,0.57,52.1,0.000145,2,50.1,42.6,4.31e+04,70.5,2.5329464539
batch-5-learning-45-regular-3,2.94e+05,1.01,85.1,0,14.3,0,0,0,0,0,0,0,0,0,0.903,0.86,3.09e+05,1.81,45.1,1.05,0.784,186,0.000603,0.609,57.3,0.000186,2.1,52.5,57.5,4.28e+04,72.5,2.58472275769
batch-5-learning-45-regular-3,4.97e+05,1.01,99.2,0,0.805,0,0,0,0,0,0,0,0,0,1.03,1,5.09e+05,2.06,51.4,1.02,0.8,218,0.000428,0.589,72.3,0.000142,2.05,51.2,73,6.19e+04,93.4,3.72533471149
batch-5-learning-45-regular-3,4.52e+05,1.02,99.9,0,0.0518,0,0,0,0,0,0,0,0,0,0.96,1.02,4.27e+05,1.92,48,0.944,0.768,197,0.000461,0.47,91.1,0.000213,1.89,47.2,61.9,5.56e+04,101,3.36924033884
batch-5-learning-45-regular-3,5.09e+05,1.01,99.9,0,0.0514,0,0,0,0,0,0,0,0,0,1.04,1.01,5.22e+05,2.07,51.9,1.03,0.76,156,0.000299,0.519,66.1,0.000126,2.05,51.3,48.1,6.29e+04,85.1,3.76947925151
batch-5-learning-45-regular-3,1.35e+05,1.05,70.6,0,27.2,0,0,0,0,0,0,0,0,0,0.967,0.738,1.77e+05,1.93,48.4,1.31,0.762,99.7,0.000563,0.677,28.1,0.000159,2.62,65.5,26,2.29e+04,38.1,1.38894218811
batch-5-learning-45-regular-3,5.48e+05,1.04,100,0,0.0421,0,0,0,0,0,0,0,0,0,1,1.04,5.28e+05,2.01,50.1,0.965,0.78,210,0.000397,0.532,83.4,0.000158,1.93,48.2,66.3,6.59e+04,104,3.95659644136
batch-5-learning-45-regular-3,3.99e+05,1,99.1,0,0.93,0,0,0,0,0,0,0,0,0,0.95,0.994,3.81e+05,1.9,47.5,0.956,0.749,183,0.000481,0.46,86,0.000226,1.91,47.8,55.1,5.01e+04,103,3.03766728734
batch-5-learning-45-regular-3,4.85e+05,1.01,100,0,0.0471,0,0,0,0,0,0,0,0,0,0.985,1.01,4.74e+05,1.97,49.3,0.977,0.787,194,0.00041,0.535,77,0.000162,1.95,48.9,64.1,6.01e+04,101,3.61595520042
batch-5-learning-45-regular-3,4.81e+05,1.01,99.2,0,0.77,0,0,0,0,0,0,0,0,0,0.961,1,4.63e+05,1.92,48,0.961,0.767,295,0.000638,0.604,83.3,0.00018,1.92,48.1,85,6.02e+04,105,3.62726768675
batch-5-learning-45-regular-3,4.37e+05,1,100,0,0.0347,0,0,0,0,0,0,0,0,0,1.05,1,4.56e+05,2.09,52.3,1.04,0.772,141,0.000309,0.569,53.1,0.000116,2.09,52.2,44.7,5.45e+04,69.3,3.26912487945
batch-5-learning-45-regular-2,4.37e+05,1.01,100,0,0.0324,0,0,0,0,0,0,0,0,0,1.05,1.01,4.56e+05,2.11,52.7,1.05,0.736,148,0.000324,0.505,65,0.000142,2.09,52.3,43.5,5.42e+04,74.2,3.27486992907
batch-5-learning-45-regular-2,3.4e+05,1.02,98.9,0,1.12,0,0,0,0,0,0,0,0,0,0.992,1.01,3.36e+05,1.98,49.6,0.987,0.739,157,0.000468,0.467,73.7,0.000219,1.97,49.4,47.1,4.23e+04,87.3,2.60925767325
batch-5-learning-45-regular-2,5.94e+05,1.01,100,0,0.0416,0,0,0,0,0,0,0,0,0,0.99,1.01,5.85e+05,1.98,49.5,0.985,0.753,236,0.000404,0.447,112,0.000191,1.97,49.2,79.9,7.39e+04,138,4.44283261181
batch-5-learning-45-regular-2,1.34e+05,1.03,69.6,0,25,0,0,0,0,0,0,0,0,0,0.92,0.72,1.72e+05,1.84,46,1.28,0.76,95.1,0.000554,0.675,27,0.000157,2.56,63.9,24.5,2.33e+04,36.4,1.45143359909
batch-5-learning-45-regular-2,5.07e+05,1.01,100,0,0.0391,0,0,0,0,0,0,0,0,0,1.06,1.01,5.32e+05,2.12,53.1,1.05,0.758,139,0.000261,0.533,57.9,0.000109,2.1,52.5,42.7,6.26e+04,72.6,3.77236221567
batch-5-learning-45-regular-2,4.85e+05,1.01,100,0,0.0471,0,0,0,0,0,0,0,0,0,0.981,1.01,4.7e+05,1.96,49,0.968,0.778,191,0.000406,0.527,76.4,0.000163,1.94,48.4,61.9,5.99e+04,98.3,3.58504501954
batch-5-learning-45-regular-2,3.61e+05,1,95.6,0,4.04,0,0,0,0,0,0,0,0,0,0.842,0.956,3.18e+05,1.68,42.1,0.881,0.786,260,0.00082,0.609,76.2,0.00024,1.76,44,78.8,4.72e+04,86.1,2.86801180946
batch-5-learning-45-regular-2,4.64e+05,1.02,98,0,1.96,0,0,0,0,0,0,0,0,0,1.01,0.996,4.71e+05,2.02,50.5,1.02,0.782,199,0.000422,0.575,68.2,0.000145,2.03,50.8,63,5.82e+04,82.1,3.50674730467
batch-5-learning-45-regular-2,1.98e+05,1,83.7,0,16.1,0,0,0,0,0,0,0,0,0,1.04,0.837,2.46e+05,2.08,51.9,1.24,0.774,128,0.000521,0.656,36.6,0.000149,2.48,62,36.6,2.96e+04,48.3,1.8082012105
batch-5-learning-45-regular-2,5.32e+05,1.01,100,0,0.0282,0,0,0,0,0,0,0,0,0,1,1.01,5.27e+05,2,50,0.991,0.774,224,0.000426,0.53,87.7,0.000166,1.98,49.5,74,6.58e+04,112,3.94597286457
batch-5-learning-45-regular-1,5.16e+05,1.05,100,0,0.0448,0,0,0,0,0,0,0,0,0,1.04,1.04,5.14e+05,2.08,52,0.996,0.762,194,0.000378,0.525,76.1,0.000148,1.99,49.8,61.8,6.18e+04,97.7,3.52125688658
batch-5-learning-45-regular-1,4.52e+05,1.01,96.6,0,3.23,0,0,0,0,0,0,0,0,0,0.934,0.974,4.33e+05,1.87,46.7,0.959,0.779,255,0.000589,0.591,78.2,0.000181,1.92,48,71.1,5.79e+04,93.1,3.35978080036
batch-5-learning-45-regular-1,3.43e+05,1.01,99.3,0,0.7,0,0,0,0,0,0,0,0,0,0.971,1,3.32e+05,1.94,48.5,0.969,0.77,175,0.000526,0.521,71.7,0.000216,1.94,48.4,56.1,4.28e+04,91.9,2.47257916197
batch-5-learning-45-regular-1,4.91e+05,1.01,100,0,0.0485,0,0,0,0,0,0,0,0,0,0.989,1.01,4.82e+05,1.98,49.5,0.983,0.753,192,0.000398,0.51,79.4,0.000165,1.97,49.1,63.8,6.1e+04,99.1,3.47662793397
batch-5-learning-45-regular-1,3.98e+05,1.02,99.9,0,0.0505,0,0,0,0,0,0,0,0,0,1.1,1.02,4.31e+05,2.2,55,1.08,0.727,132,0.000306,0.52,55.4,0.000129,2.16,54.1,39,4.89e+04,64.6,2.79643435204
batch-5-learning-45-regular-1,4.29e+05,1,99.9,0,0.0514,0,0,0,0,0,0,0,0,0,1.08,1,4.63e+05,2.16,54,1.08,0.747,133,0.000287,0.557,50.9,0.00011,2.16,54,40.1,5.35e+04,66.5,3.05345425714
batch-5-learning-45-regular-1,4.96e+05,1.01,100,0,0.047,0,0,0,0,0,0,0,0,0,0.95,1.01,4.65e+05,1.9,47.5,0.938,0.77,203,0.000436,0.471,92.3,0.000198,1.88,46.9,65.8,6.12e+04,106,3.5461574645
batch-5-learning-45-regular-1,3.91e+05,1,95.3,0,3.53,0,0,0,0,0,0,0,0,0,0.889,0.955,3.64e+05,1.78,44.4,0.931,0.761,315,0.000866,0.604,90.4,0.000248,1.86,46.5,99.1,5.12e+04,103,2.95522404846
batch-5-learning-45-regular-1,4.35e+05,1.02,99.9,0,0.114,0,0,0,0,0,0,0,0,0,1.02,1.02,4.34e+05,2.03,50.8,0.998,0.757,235,0.000541,0.599,70.9,0.000164,2,49.9,73.3,5.34e+04,82.5,3.07641056093
batch-5-learning-45-regular-1,1.19e+05,1.05,68.8,0,29.2,0,0,0,0,0,0,0,0,0,0.961,0.719,1.59e+05,1.92,48.1,1.34,0.751,95.7,0.000603,0.677,27,0.00017,2.67,66.8,25.2,2.06e+04,35.9,1.18968563763
batch-3-learning-89-regular-1,2.93e+05,1.01,99.9,0,0.0517,0,0,0,0,0,0,0,0,0,1.07,1.01,3.11e+05,2.15,53.7,1.06,0.752,110,0.000352,0.498,49,0.000157,2.12,53.1,33.4,3.62e+04,56.6,2.32333074494
batch-3-learning-89-regular-1,2.6e+05,1.01,97.3,0,2.58,0,0,0,0,0,0,0,0,0,1.02,0.984,2.69e+05,2.04,50.9,1.04,0.792,151,0.00056,0.63,45,0.000167,2.07,51.8,43,3.3e+04,54.9,2.15590276099
batch-3-learning-89-regular-1,2.27e+05,1,96.6,0,3.35,0,0,0,0,0,0,0,0,0,0.983,0.971,2.3e+05,1.97,49.2,1.01,0.757,173,0.000753,0.597,50.8,0.00022,2.03,50.7,54.9,2.93e+04,58.3,1.89462722823
batch-3-learning-89-regular-1,3.71e+05,1.01,99,0,1.02,0,0,0,0,0,0,0,0,0,0.949,0.997,3.53e+05,1.9,47.4,0.952,0.727,152,0.000431,0.389,81.5,0.000231,1.9,47.6,47.5,4.65e+04,95.1,2.98395048735
batch-3-learning-89-regular-1,1.02e+05,1.05,63.5,0,32.5,0,0,0,0,0,0,0,0,0,0.931,0.664,1.44e+05,1.86,46.6,1.4,0.718,78.5,0.000546,0.633,25.4,0.000177,2.81,70.1,21.6,1.93e+04,32.2,1.27505383012
batch-3-learning-89-regular-1,4.31e+05,1.02,99.9,0,0.0525,0,0,0,0,0,0,0,0,0,0.993,1.02,4.21e+05,1.99,49.6,0.977,0.754,176,0.000417,0.491,73.7,0.000175,1.95,48.8,59.2,5.3e+04,92.7,3.40677237059
batch-3-learning-89-regular-1,3.31e+05,1.01,99.9,0,0.0646,0,0,0,0,0,0,0,0,0,1.08,1.01,3.56e+05,2.16,54,1.07,0.767,107,0.000302,0.559,41.3,0.000116,2.15,53.7,35.5,4.11e+04,57.3,2.6356493952
batch-3-learning-89-regular-1,5.27e+05,1.05,100,0,0.043,0,0,0,0,0,0,0,0,0,1.02,1.04,5.15e+05,2.04,51,0.976,0.771,186,0.000362,0.506,76.6,0.000149,1.95,48.8,65.4,6.31e+04,99,4.02315063172
batch-3-learning-89-regular-1,2.82e+05,1.01,90.1,0,9.5,0,0,0,0,0,0,0,0,0,0.858,0.908,2.66e+05,1.72,42.9,0.944,0.767,203,0.000763,0.608,58.3,0.000219,1.89,47.2,63,3.88e+04,69.3,2.51656115553
batch-3-learning-89-regular-1,3.34e+05,1,99.9,0,0.0842,0,0,0,0,0,0,0,0,0,0.974,1,3.24e+05,1.95,48.7,0.971,0.752,146,0.00045,0.461,67.4,0.000208,1.94,48.6,47,4.16e+04,77,2.69439740136
batch-5-learning-89-regular-5,5.09e+05,1.05,100,0,0.034,0,0,0,0,0,0,0,0,0,1.02,1.04,4.97e+05,2.04,51,0.976,0.765,198,0.000399,0.526,79.5,0.00016,1.95,48.8,63.5,6.09e+04,97.6,3.66759480408
batch-5-learning-89-regular-5,5.19e+05,1.01,95,0,4.07,0,0,0,0,0,0,0,0,0,0.869,0.958,4.71e+05,1.74,43.4,0.907,0.756,373,0.000793,0.595,108,0.000229,1.81,45.3,110,6.77e+04,126,4.0462583134
batch-5-learning-89-regular-5,3.8e+05,1.01,99.9,0,0.0689,0,0,0,0,0,0,0,0,0,1.01,1.01,3.8e+05,2.01,50.4,1,0.78,173,0.000456,0.539,67.5,0.000178,2,50,56.8,4.72e+04,82.9,2.82615293556
batch-5-learning-89-regular-5,2.92e+05,1.01,100,0,0.0299,0,0,0,0,0,0,0,0,0,1.11,1.01,3.21e+05,2.22,55.6,1.1,0.752,116,0.000363,0.577,43,0.000134,2.2,54.9,31.7,3.61e+04,54.4,2.15713804873
batch-5-learning-89-regular-5,7.57e+05,1.01,99.3,0,0.73,0,0,0,0,0,0,0,0,0,0.96,1,7.24e+05,1.92,48,0.957,0.744,276,0.000381,0.383,147,0.000203,1.91,47.8,96,9.42e+04,189,5.63416879102
batch-5-learning-89-regular-5,5.16e+05,1.01,100,0,0.0481,0,0,0,0,0,0,0,0,0,0.976,1.01,4.98e+05,1.95,48.8,0.966,0.74,226,0.000454,0.466,102,0.000205,1.93,48.3,72.4,6.38e+04,113,3.80281395024
batch-5-learning-89-regular-5,1.19e+05,1.05,67,0,28.2,0,0,0,0,0,0,0,0,0,0.947,0.7,1.61e+05,1.89,47.4,1.35,0.746,96.9,0.000603,0.66,28.4,0.000177,2.71,67.6,25.1,2.12e+04,35.1,1.2877856624
batch-5-learning-89-regular-5,4.09e+05,0.999,98.1,0,1.87,0,0,0,0,0,0,0,0,0,0.933,0.981,3.89e+05,1.87,46.6,0.951,0.771,239,0.000615,0.603,70.5,0.000181,1.9,47.6,69,5.21e+04,85,3.1388137251
batch-5-learning-89-regular-5,4.83e+05,1.01,99.2,0,0.807,0,0,0,0,0,0,0,0,0,1.03,0.997,4.98e+05,2.05,51.4,1.03,0.774,204,0.000409,0.568,70.8,0.000142,2.06,51.5,67.1,6.06e+04,83.9,3.65143587164
batch-5-learning-89-regular-5,4.23e+05,1.02,99.9,0,0.0571,0,0,0,0,0,0,0,0,0,1.1,1.02,4.58e+05,2.2,55,1.08,0.782,125,0.000272,0.583,45.9,0.0001,2.17,54.1,37.9,5.2e+04,63.6,3.0931601249
batch-5-learning-89-regular-4,5.03e+05,1.01,100,0,0.0462,0,0,0,0,0,0,0,0,0,1.1,1.01,5.44e+05,2.19,54.8,1.08,0.725,142,0.000261,0.516,61.1,0.000112,2.16,54.1,41.1,6.21e+04,73.7,3.65996466509
batch-5-learning-89-regular-4,6.79e+05,1.01,99,0,1.01,0,0,0,0,0,0,0,0,0,1.04,1,7.08e+05,2.09,52.2,1.04,0.757,350,0.000494,0.575,107,0.000151,2.09,52.2,101,8.48e+04,137,4.98587763178
batch-5-learning-89-regular-4,3.22e+05,1.01,99.9,0,0.0638,0,0,0,0,0,0,0,0,0,1.1,1.01,3.52e+05,2.21,55.1,1.09,0.761,115,0.000326,0.594,40.3,0.000115,2.18,54.6,35.5,3.99e+04,59.9,2.35777715112
batch-5-learning-89-regular-4,5.03e+05,1.05,100,0,0.0296,0,0,0,0,0,0,0,0,0,1.03,1.04,4.96e+05,2.06,51.6,0.987,0.771,172,0.000346,0.538,68.4,0.000138,1.97,49.4,55.2,6.01e+04,94.3,3.52791416729
batch-5-learning-89-regular-4,5.41e+05,1.01,100,0,0.0342,0,0,0,0,0,0,0,0,0,0.968,1.01,5.19e+05,1.94,48.4,0.959,0.778,218,0.00042,0.467,102,0.000197,1.92,48,74.9,6.7e+04,126,3.95864322187
batch-5-learning-89-regular-4,4.13e+05,1,99,0,1.05,0,0,0,0,0,0,0,0,0,0.955,0.993,3.97e+05,1.91,47.8,0.962,0.78,247,0.000621,0.603,75.5,0.00019,1.92,48.1,77.7,5.2e+04,89.6,3.11075246278
batch-5-learning-89-regular-4,1.32e+05,1.05,70.2,0,25.7,0,0,0,0,0,0,0,0,0,0.933,0.733,1.67e+05,1.87,46.6,1.27,0.755,97.9,0.000585,0.651,30.1,0.00018,2.54,63.6,28.3,2.24e+04,38.2,1.36784556742
batch-5-learning-89-regular-4,5.37e+05,1.01,99.4,0,0.622,0,0,0,0,0,0,0,0,0,0.96,1,5.15e+05,1.92,48,0.958,0.711,208,0.000405,0.396,109,0.000212,1.92,47.9,62.5,6.7e+04,129,3.96248854663
batch-5-learning-89-regular-4,3.04e+05,1.01,88.3,0,11.6,0,0,0,0,0,0,0,0,0,0.915,0.89,3.12e+05,1.83,45.7,1.03,0.781,220,0.000705,0.625,62.8,0.000201,2.06,51.4,63.4,4.27e+04,75.9,2.53277261581
batch-5-learning-89-regular-4,4.46e+05,1.01,100,0,0.0475,0,0,0,0,0,0,0,0,0,0.975,1.01,4.32e+05,1.95,48.7,0.968,0.771,208,0.000481,0.552,74.6,0.000173,1.94,48.4,67.6,5.54e+04,94.1,3.25607316263
batch-5-learning-89-regular-3,1.38e+05,0.99,71.2,0,25.3,0,0,0,0,0,0,0,0,0,0.911,0.705,1.78e+05,1.82,45.5,1.29,0.76,96.7,0.000543,0.678,27.2,0.000153,2.58,64.6,26.8,2.44e+04,38.5,1.48155597427
batch-5-learning-89-regular-3,4.53e+05,1.02,99.9,0,0.0515,0,0,0,0,0,0,0,0,0,1.08,1.02,4.79e+05,2.15,53.8,1.06,0.748,128,0.000268,0.542,50.8,0.000106,2.12,52.9,40.3,5.57e+04,71.9,3.36593806149
batch-5-learning-89-regular-3,4.61e+05,1.01,99.9,0,0.0547,0,0,0,0,0,0,0,0,0,0.976,1.01,4.47e+05,1.95,48.8,0.971,0.757,194,0.000433,0.484,86.7,0.000194,1.94,48.5,64.2,5.73e+04,101,3.43017878678
batch-5-learning-89-regular-3,3.93e+05,1.02,99.9,0,0.064,0,0,0,0,0,0,0,0,0,0.949,1.02,3.67e+05,1.9,47.5,0.933,0.769,186,0.000507,0.494,79.4,0.000216,1.87,46.7,59.4,4.83e+04,99.7,2.88820882263
batch-5-learning-89-regular-3,4.02e+05,1,97.5,0,2.51,0,0,0,0,0,0,0,0,0,1,0.978,4.13e+05,2.01,50.2,1.03,0.79,190,0.000461,0.596,62.2,0.000151,2.05,51.3,59.9,5.14e+04,73.5,3.11425383696
batch-5-learning-89-regular-3,3.29e+05,1.01,94.5,0,4.05,0,0,0,0,0,0,0,0,0,0.873,0.956,3e+05,1.75,43.6,0.913,0.794,225,0.000749,0.611,67.8,0.000226,1.83,45.6,71.9,4.3e+04,81,2.60067564501
batch-5-learning-89-regular-3,5.35e+05,1.01,100,0,0.0384,0,0,0,0,0,0,0,0,0,0.975,1.01,5.18e+05,1.95,48.8,0.967,0.779,220,0.000426,0.532,86.4,0.000167,1.93,48.3,71.8,6.63e+04,111,3.9672030503
batch-5-learning-89-regular-3,6.98e+05,1.01,100,0,0.0308,0,0,0,0,0,0,0,0,0,1.15,1.01,7.97e+05,2.31,57.7,1.14,0.759,201,0.000253,0.521,84.7,0.000106,2.28,57.1,69.6,8.64e+04,130,5.13969160262
batch-5-learning-89-regular-3,4.66e+05,1.01,100,0,0.0491,0,0,0,0,0,0,0,0,0,0.997,1.01,4.61e+05,1.99,49.8,0.99,0.776,176,0.000381,0.528,71.4,0.000155,1.98,49.5,56.4,5.78e+04,89.3,3.47207978579
batch-5-learning-89-regular-3,3.72e+05,1,92.9,0,7.09,0,0,0,0,0,0,0,0,0,0.994,0.932,3.97e+05,1.99,49.7,1.07,0.804,200,0.000503,0.63,59.3,0.000149,2.13,53.3,63.8,4.99e+04,80.1,2.99606051489
batch-5-learning-89-regular-2,1.17e+05,1.05,66.2,0,29,0,0,0,0,0,0,0,0,0,0.968,0.692,1.63e+05,1.94,48.4,1.4,0.76,95.2,0.000582,0.688,26.2,0.00016,2.8,70,23.5,2.11e+04,34.3,1.2967210303
batch-5-learning-89-regular-2,4.19e+05,1,99.9,0,0.0567,0,0,0,0,0,0,0,0,0,0.972,1,4.07e+05,1.94,48.6,0.971,0.759,193,0.000474,0.483,84.6,0.000208,1.94,48.5,59.8,5.23e+04,94.5,3.12584746974
batch-5-learning-89-regular-2,3.42e+05,1.01,94.3,0,5.59,0,0,0,0,0,0,0,0,0,0.915,0.95,3.29e+05,1.83,45.7,0.963,0.785,222,0.000675,0.622,64.4,0.000196,1.93,48.2,66.7,4.5e+04,75.4,2.73905554487
