,EXEC,FREQ,MEM,PhysIPC%,GT,Pred
736,0.24743362831920973,0.3514016595648855,0.6866244057052299,0.47366959740860715,1.02969484903,1.028325095562721
3977,0.24879898862262656,0.3516034985422346,0.6812361331220285,0.4755205923183711,1.02806071139,1.0289923259471494
3804,0.6854614412156397,0.9641175151374788,0.5268092974120444,0.4382230448866266,1.29458371392,1.4080840393196468
1814,0.2530467762332568,0.3600807355908993,0.655879556259905,0.4729291994447015,1.02239981178,1.0396770779507651
848,0.912768647281701,0.9171899529037993,0.5709191759112521,0.6186950485886163,1.20238881854,1.2803278707333199
5218,0.646080910241836,0.9869925992373866,0.5344889064976229,0.40525219805645535,1.43186133565,1.431310522688323
2416,0.24940581542414517,0.3516034985422346,0.6532488114104597,0.47459509486348916,1.00526277866,1.0391747684850472
3807,0.2509228824279417,0.35200717649693297,0.6611727416798734,0.47700138824618227,1.01868132945,1.0349000787315221
4854,0.7456384323659815,0.7189504373177037,0.5944849445324881,0.6413697362332254,1.08644659677,1.1520523246710823
3192,0.24834386852148765,0.3532182103610279,0.6740095087163234,0.4729291994447015,1.0529727941299998,1.0322889072707904
3784,0.24682680151769115,0.35301637138367875,0.68716323296355,0.4723739009717723,1.02022081761,1.0294940406184132
3180,0.34422250316142666,0.5405247813410472,0.6080824088748019,0.3970384081443776,1.11939695338,1.0758830055049042
2014,0.24986093552528416,0.3570531509306619,0.686529318541997,0.47366959740860715,1.0259339955,1.0296850358742748
4877,0.3548419721880022,0.5255886970172096,0.6197147385103011,0.42461823229986123,1.03825922541,1.064805335271128
4370,0.34604298356598245,0.5366898407714134,0.5946751188589541,0.4011105969458584,1.06574821626,1.0833255639451096
5755,0.26738305941913376,0.46221125812957364,0.7487321711568938,0.43236156100601575,1.06625206256,1.0751964630279476
4493,0.36675094816780474,0.6100583090378325,0.6016111991537243,0.3947246645071726,1.15142307701,1.1218509163699442
2656,0.24773704171996902,0.354631083202472,0.6961965134706815,0.47144840351689027,1.0403392597299999,1.027626486500505
1614,0.2491024020233859,0.3516034985422346,0.6522028526148971,0.4751503933364184,1.0222792519700001,1.04000595270384
5766,0.3575726927948359,0.5276070867907011,0.6198732171156894,0.42350763535400276,1.06409968849,1.0625672846260548
3499,0.24925410872376555,0.3516034985422346,0.6850396196513471,0.4747801943544655,1.0149616265899999,1.0274742194723738
5161,0.24804045512072834,0.34675936308585487,0.6557527733755942,0.47644608977325303,1.0374651745399999,1.0365628208936126
4620,0.9546685931022876,0.9213949315989098,0.5518225039619652,0.6415019501554835,1.3590904405700002,1.2843013525731037
