,EXEC,FREQ,MEM,PhysIPC%,L3MPI,L3MISS,L2MISS,L3HIT,GT,Pred
7033,0.6561314791419878,0.9689952904240896,0.49558901215055473,0.41817060003054135,0.08757887146200422,0.15273799494517576,0.527223230491404,0.9953192912066198,1.2886530300399999,1.3992662611970679
4729,0.3678887484206521,0.3952007176496529,0.6598732171156895,0.6210087922258213,0.28482062376043726,0.2659351305811854,0.021794918330328306,0.7913741223671014,1.06658414326,1.0324465590010643
978,0.34892541087319584,0.5086342229198803,0.5743898573692552,0.4257288292457196,0.24978907517563562,0.24178601516417783,0.07039927404725081,0.9470411233701104,1.07469241228,1.0808332757747072
1452,0.24788874842034866,0.34756671899525143,0.6713787638668781,0.47644608977325303,0.41376599963922106,0.2646967144059542,0.01328439201453111,0.6858575727181544,1.03372524594,1.0273031686906307
3904,0.24743362831920973,0.34756671899525143,0.6822820919175911,0.4760758907913003,0.46023075536301056,0.29480202190383537,0.014929219600739499,0.6880641925777331,1.04773890949,1.0327472829028
3176,0.36106194690356785,0.36775061673016735,0.6363866877971475,0.643035631652013,0.26786010456087916,0.253462510530643,0.018136116152466547,0.7977933801404212,1.05333094706,1.0311227877336528
5279,0.24879898862262656,0.34958510876874305,0.6567036450079239,0.47663118926422954,0.4404434829635261,0.2766975568659323,0.012925589836672345,0.6828485456369107,1.01550980626,1.0256529237228786
2740,0.34589127686560284,0.34453913433501404,0.6515689381933439,0.6761684405367885,0.33007391382711554,0.29604043807906655,0.013082395644294992,0.6172517552657973,1.0188542826,1.0081603879900995
6454,0.2524399494317382,0.3536218883157262,0.6627575277337561,0.4782970846830171,0.4453650621955407,0.282771693344447,0.013023593466436499,0.6748244734202608,1.0194950430299998,1.0261881390254284
2533,0.2530467762332568,0.3572549899080111,0.6778129952456419,0.4649699213327164,0.42121146565688417,0.2998736310024011,0.014286206896564686,0.6802407221664996,1.03414217312,1.052409880058911
888,0.239506953224373,0.28837743888761064,0.6351426307448494,0.5210550670985654,0.4385568775912538,0.2646745998313965,0.010250226860263384,0.6720160481444334,1.01100190534,0.9925085964231746
5082,0.24773704171996902,0.3511998205875363,0.675150554675119,0.4751503933364184,0.41578510906773986,0.26151221566964555,0.013268602540846884,0.688665997993982,1.00560228026,1.0260885557209583
