,EXEC,MEM,L3HIT,GT,Pred
1915,0.25438596491228066,0.893860902703249,0.5317938420351406,1.36958771556,1.2784313691850222
7248,0.9111319966583123,0.30499955341204177,0.9917168674698795,1.58338035651,1.5905922990597996
7250,0.2895572263993317,0.49557699178295656,0.6877510040160643,1.04834360689,1.0286387803065784
2601,0.2655249234193817,0.8946945337623774,0.5789825970552208,1.217576131,1.2077430595382135
4950,0.6347535505430242,0.4472097177565013,0.7939759036144578,1.08451777407,1.104502021312185
1071,0.2574491785020886,0.9011551744678102,0.5896921017399598,1.19109260187,1.2021942342508614
4123,0.47401837928153717,0.4485101822080917,0.8682730923694779,1.08411910168,1.1153068534251664
4744,0.17049289891395153,0.4826223651305761,0.7556224899598394,1.02318981737,1.0281304957838797
3485,0.8888888888888888,0.3483744194356371,0.9885255306937751,1.40924517417,1.479102482098247
5382,0.42005012531328323,0.47777063236887385,0.6267068273092369,1.0183576337,1.0435543440527386
911,0.44016290726817037,0.2950585030369043,0.997991967871486,1.5263441719600002,1.4695590485472407
2018,0.2907268170426065,0.4985280457307961,0.6692771084337349,1.0455459383499999,1.0296312147017515
5199,0.17316624895572263,0.4784708824581916,0.751004016064257,1.01922785296,1.031364792245034
6657,0.28922305764411027,0.4939764201502301,0.6753012048192771,1.02580828691,1.0311105964387275
7582,0.8805346700083542,0.4604144337264954,0.748995983935743,1.07688502355,1.0872989551073413
3797,0.42172096908939016,0.4814719542695539,0.6385542168674699,1.0371884250399999,1.0403613160226721
4380,0.8888888888888888,0.45893890675257554,0.7327309236947791,1.04849952025,1.0823627580202881
5307,0.6556390977443609,0.4548374419437138,0.809437751004016,1.0607191603,1.1035347671754727
2681,0.4822055137844612,0.4490353697750801,0.8285140562248996,1.04724377803,1.0995178861922246
7848,0.17109440267335005,0.47894605216165737,0.755421686746988,1.0276035136200001,1.0307741328471418
6372,0.8432987229991645,0.35550196498762254,0.9807802639126506,1.46479477274,1.4418864821637731
3621,0.15756056808688387,0.4569632011434287,0.8060240963855422,1.05325018621,1.049627187772065
5533,0.15097744360902254,0.4632654519472895,0.7833333333333333,1.069252428,1.0417095821805964
1879,0.45964912280701753,0.4250518042159432,0.7857429718875502,1.12035386293,1.1100956394572474
7030,0.42155388471177946,0.480271525545009,0.6351405622489961,1.0041035551000002,1.0413416022674953
2954,0.27179058757978275,0.8971954269385127,0.5737951807228916,1.19954942711,1.2154385554136655
5377,0.40735171261487046,0.4310039299751451,0.9971887550200803,1.1285957324,1.2007012639458736
4394,0.4165413533834586,0.4501607717043409,0.6313253012048193,1.10430501533,1.0597476571282858
672,0.41904761904761906,0.4719185423367174,0.641566265060241,1.0282879463099999,1.0457727337951246
6396,0.23572820941269843,0.908241038467277,0.5704484605090362,1.19299811549,1.2447006673773233
5158,0.2907268170426065,0.49797784923204647,0.6702811244979919,1.03043759725,1.02975139374011
4502,0.4793650793650793,0.4636906037872325,0.8650602409638555,1.10341501788,1.0950701976307513
