,EXEC,FREQ,L3MPI,MEM,GT,Pred
1825,0.9165278605520663,0.9641930343728661,0.19744327569876588,0.5265622366096231,1.8808682934877337,1.6908801515006866
1782,0.36507281590488855,0.4861453138257147,0.9218839036345996,0.882144707843492,1.0886809591431148,1.0817462571728163
2108,0.44003338723981433,0.42340557469956147,0.5327027889609883,0.7550850287376052,1.0525459710703642,1.063591736943002
1923,0.9612503380180814,0.996803214600303,0.1720495958449669,0.485536110455863,1.6380831561497264,1.7311069414663391
1773,0.947583444787944,0.9959718524530137,0.20613510133272367,0.4961421665377734,1.6347414231332638,1.8025078334566915
418,0.5785450841960588,0.6679530268743057,0.6703768344204287,0.9492197126086195,1.191171423627844,1.2075119934926142
2445,0.9002781504422813,0.9578342904019691,0.20257375448009762,0.5410886925918676,1.7300108320209526,1.6850335047534153
1958,0.45665034513797376,0.45505679857250936,0.5936709854972126,0.7900844279128291,1.071257875406563,1.0741955668891432
758,0.4604975626155657,0.4437423173230141,0.6023269647148398,0.8173820479362677,1.0352248501743941,1.0412976805392993
2428,0.45105619992155543,0.4330662417482361,0.5666436666745975,0.7828583201703175,1.0513558757241326,1.050517607924487
1592,0.37104604827306614,0.499544730252675,0.9322414635272841,0.8807289415319726,1.090730697304604,1.10064154362294
333,0.9235219798393879,0.997855826351306,0.21669830124975142,0.47167865553367233,1.982814655152985,1.872534560567987
1568,0.48053058843305346,0.49411764705882394,0.66008577644101,0.8395048013024311,1.0904482440910097,1.1052602836369982
1476,0.3154978234533767,0.4144383305729336,0.8712101633163521,0.8009444216838078,1.0445623967627045,1.0326458017309101
1211,0.4690610933676993,0.711440928750285,0.6897924977727017,0.7878946043083116,1.2654622356470109,1.2416217134293346
443,0.906960577336741,0.9977120766087806,0.19984694452969176,0.4988854602321733,1.9176880520283053,1.8521858583423425
602,0.33955286602790385,0.45530352540331787,0.8660891340515775,0.831097651481753,1.063547688279607,1.0569022350571369
2129,0.7120104219196506,0.9267470976553609,0.2948567259114737,0.5823363779960166,1.7237850985760002,1.6677673518710314
638,0.5774564568059274,0.6710667320387331,0.6330134687221459,0.9090708584046948,1.2088962893128798,1.2091943286986173
1450,0.33229674455090513,0.4318233553380381,0.9095941691054586,0.8481972392006037,1.0302049814930734,1.0315586698602286
2068,0.4563512074858519,0.43784657409515154,0.582184259016922,0.7940663415974174,1.0475169466755678,1.0485281607952812
1301,0.5303554792003216,0.780101625467327,0.6865832349011637,0.8140691585021046,1.3480996184873462,1.363288495491009
1076,0.3183670393749167,0.4194164697755837,0.8038237418443696,0.8083188678306953,1.04280847525388,1.0434509513558416
2165,0.9594142806447398,0.945507246376812,0.22617469595508558,0.5390472266098937,1.5482044274891698,1.5730152439969238
2440,0.3701066911888306,0.5005851555281802,0.8756008339713149,0.8673430638651995,1.10042327347687,1.0873786940912562
1885,0.9376284765891605,0.9739322416001361,0.2522947198152814,0.5661996933548352,1.926715824380926,1.7751938513389511
1414,0.5802364974074506,0.6738981596595987,0.627625247768482,0.9275937303545292,1.1907562203074822,1.1674904750683264
1049,0.7281481335944274,0.9425201249922399,0.32777862409783215,0.6292203778640149,1.7918628844573328,1.6729582628685113
715,0.945270246833535,0.9654450261780108,0.21619942189073016,0.5668435906743712,1.7823347750392602,1.6648328760442732
2092,0.41327781872411223,0.5628289761683799,0.8500634380859939,0.9189774582261357,1.1365908112803291,1.1011418011967593
2397,0.6521340485031861,0.7006518635018529,0.3265854673216256,0.6776944640415552,1.171177419879645,1.2135404012075695
657,0.7091014362824754,0.7902420517489952,0.40452914786351213,0.7887461941716456,1.2984945270837982,1.3010564547759995
836,0.3367792906370818,0.44119280673799244,0.9024879646593224,0.8436989217773501,1.0495310597454517,1.0426900232136567
1553,0.9365281980164732,0.9987906897336668,0.21725475267077488,0.5546032638555042,1.826921199739208,1.8165188169984208
391,0.4066891812731449,0.6221964695900507,0.6460801115920198,0.7497924093624934,1.1234960449651856,1.1398675459585141
1487,0.6966663447817085,0.7928435470356616,0.4021701327806584,0.7524822207967359,1.3412927294793946,1.3563992836476308
1771,0.39048054294839474,0.6005591281584343,0.6211187513383616,0.7019564246961055,1.117009492493574,1.1894168129068667
1077,0.6439839647101371,0.7122115762680304,0.3232938488119433,0.6863102559139916,1.1913704374786698,1.2064635696258534
104,0.47919945801942787,0.49130227841814494,0.668590783035571,0.8584138202296293,1.0834721815612516,1.0909424253003208
723,0.9362918137502102,0.9964553998243959,0.21450171350750194,0.5109833508295148,1.6592107940933851,1.8298652452968054
