,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
1297,0.32799999999999996,0.349,1.064009661835145,0.163833333333,1.0258333333299998,4.07083333333,0.000754666666667,0.667166666667,1.5730000000000002,0.00031325,0.513666666667,3.95333333334,1.0713985388,1.076426204083977
1289,1.1175,0.65225,0.5826771653543307,0.55875,1.715,72.375,0.0037925,0.99975,0.0318,1.66625e-06,0.85625,0.05135,1.2321112826799998,1.0662380507931426
1350,1.0170000000000001,0.654333333333,0.6441326530607705,0.508666666667,1.55444444444,74.6333333333,0.00428555555556,0.999888888889,0.023644444444400003,1.36588888889e-06,0.7774444444440001,0.032585555555499995,1.0389716484,1.0655112206856059
633,1.35333333333,0.786666666667,0.5806916426506926,0.6779999999999999,1.72333333333,0.9516666666670001,4.09666666667e-05,0.9153333333329999,0.0786,3.374e-06,0.862,0.09636666666669999,1.20829740282,1.1714908756089446
626,1.23,0.653333333333,0.5302547770709081,0.615,1.88333333333,0.802666666667,3.8e-05,0.940666666667,0.0475,2.231e-06,0.9413333333330001,0.07930000000000001,1.09221536343,1.0846454384496702
198,0.356818181818,0.263090909091,0.7370912856924567,0.178454545455,1.35727272727,0.908545454545,0.000147818181818,0.961636363636,0.037072727272699994,6.02e-06,0.6783636363640001,0.1080272727273,1.0156978373899999,1.0255995857002267
949,1.3455555555599998,0.8,0.5949367088623124,0.672,1.68,2.12244444444,9.33666666667e-05,0.9877777777779999,0.0201688888889,8.86e-07,0.8401111111109999,0.0356877777778,1.16049184348,1.154267583629417
155,0.36375,0.47275,1.296518607442977,0.18175,0.953,3.3125,0.00047875,0.727,0.73325,0.000107125,0.47700000000000004,3.2275,1.0445016280600001,1.0813940370764068
490,1.235,0.8272,0.6703296703296703,0.6171,1.494,101.67,0.004850999999999999,0.9999,0.027054,1.2933000000000002e-06,0.7465999999999999,0.040353,1.09735925799,1.164345534308611
826,1.23833333333,0.8328333333329999,0.6722354813031026,0.619583333333,1.48833333333,103.21666666700001,0.00493083333333,0.9999166666670001,0.0177,8.32333333333e-07,0.7441666666669999,0.027275,1.13421227669,1.1682611936135612
10,0.22119047619000004,0.198357142857,0.8960607801824599,0.110578571429,1.25380952381,1.81238095238,0.000356571428571,0.876476190476,0.544126190476,9.79119047619e-05,0.6272142857140001,1.3517119047609998,1.1124182841099999,1.0544996245093774
1259,0.358321428571,0.464821428571,1.2958834630818326,0.179321428571,0.935535714286,7.221535714289999,0.00106678571429,0.6788571428569999,2.41078571429,0.000371714285714,0.46771428571400003,4.76607142857,1.1268097455700001,1.0915998990017195
784,0.518269230769,0.548269230769,1.0579238815149763,0.259115384615,0.9454230769230001,298.038461538,0.0340692307692,1.0,0.012448461538499999,1.42342307692e-06,0.472653846154,0.02007038461542,1.07022906155,1.0398843521054717
1161,0.524815789474,0.263171052632,0.5015659488159931,0.262381578947,1.9944736842099997,0.596842105263,6.75776315789e-05,0.9799342105259999,0.0150863157895,1.69426315789e-06,0.997,0.01694710526318,1.0174165849099999,1.014131401683682
