,EXEC,L3MISS,L2MISS,PhysIPC%,INSTnom%,L2MPI,IPC,L3MPI,INST,FREQ,L3HIT,MEM,GT,Pred
955,0.35967327459618215,0.004887408088238888,0.002211761363634353,0.9284825870646767,0.3597148736037625,0.0023567927170868347,0.927860696517413,0.0011400661712235296,0.3310513395047925,0.30009831857558983,0.972875,0.005697704081629593,1.01526581822,1.0230987710968191
629,0.45484581497797366,0.013169117647068507,0.06586363636357649,0.5890547263681594,0.45487948265726036,0.05448179271708683,0.5895522388059702,0.0024141824370975695,0.5226302820452295,0.5973412773169686,0.997,0.013114930182592313,1.03557381004,1.0184305808404408
149,0.3762848751835536,0.008509191176476845,0.8861363636355581,0.4860696517412936,0.376249265138154,0.8893557422969187,0.48594527363184087,0.0018858799143905416,0.6324022815617595,0.5990544932174953,1.0,0.009469656283560971,1.0298886836299999,1.0306417834710973
1137,0.38717572197723943,0.011591911764714406,0.0021339393939385147,0.9935323383084578,0.3877621007245737,0.002065359477123249,0.9950248756218907,0.002473238476671478,0.30880050109729645,0.3011452838485147,0.932,0.009111170784098224,1.0184800627600001,1.017019731148725
687,0.3762114537444934,0.007897058823535218,0.9271818181809753,0.48238805970149257,0.37683715461493233,0.9434173669467787,0.48248756218905475,0.0017776579430723745,0.6370394970558405,0.6037372833456015,1.0,0.008403866809877335,1.02709542402,1.030662386725302
1288,0.37500000000000006,0.017343750000012752,0.9529545454536792,0.4815920398009951,0.375514403292181,0.9579831932773109,0.48171641791044784,0.003833661942552816,0.6380642173480139,0.6024809250185487,0.99975,0.014146079484417753,1.018930921,1.0326572586068963
1099,0.4522760646108664,0.006326470588239946,0.07719090909083894,0.5864676616915423,0.45238095238095233,0.06453781512605042,0.5870646766169154,0.0011849345309297992,0.5237303375340823,0.596427562170021,0.9988,0.007005370569276583,1.04560873085,1.0180509029217284
1310,0.25868820362187966,0.5595955882349704,0.022739393939383873,0.46932006633532347,0.25891632373162843,0.03059757236218487,0.46915422885572144,0.17394493969856847,0.7885608605345445,0.5112997676464539,0.659333333333,0.7806122448975401,1.14159369845,1.1002997638573215
1311,0.4621145374449339,0.006096617647063306,0.07547272727265866,0.5990049751243781,0.46266901822457374,0.06207282913165266,0.6000000000000001,0.001097503131616345,0.5130128698597693,0.5968844197434948,0.9988,0.0062352309344757065,1.0328819234200002,1.019087426703784
922,0.46133137542804703,0.006100735294129486,0.07233333333316151,0.5970149253731344,0.4617381932201645,0.05938375350140055,0.5970149253731344,0.0011083324439350758,0.5139322625417257,0.5981027066064724,0.998833333333,0.006798872180442107,1.02390897346,1.0184139429701768
958,0.26165565345080766,0.00951011029412464,0.003267727272724303,0.6742537313432837,0.2616108171663727,0.004765406162464986,0.6747512437810945,0.003037472686109497,0.4557628658216736,0.3002410865673005,0.9605,0.019761009667014093,1.02091885171,1.0255724651499118
762,0.9471365638766521,0.008829044117653551,0.32931818181788247,0.8111940298507464,0.9483392122281011,0.1323529411764706,0.8109452736318409,0.0007695073108520546,0.37903055791786666,0.9040069235112441,0.99975,0.011801825993548981,1.1856799329,1.1614098187006214
1005,0.263215859030837,0.5750735294121875,0.02370454545452391,0.464344941957214,0.26332549480746614,0.029915966386554617,0.4635986733,0.16552767526256873,0.807069005347569,0.5354751475753468,0.647833333333,0.7647690655210717,1.16036826255,1.093417473489489
763,0.26596916299559475,0.24744485294135843,0.015423863636349617,0.48034825870646775,0.26601998824221046,0.018662464985994394,0.48034825870646775,0.06633131673988238,0.7775730340372488,0.5199610258098469,0.723,0.6388292158965421,1.03035150099,1.0814569643450764
1147,0.2623243129853157,0.011338235294125984,0.0028290909090887923,0.6754797441363184,0.26245065927542616,0.004133653461372549,0.6759061833681592,0.0036446012995049256,0.45495874538785375,0.30054701797827194,0.946428571429,0.021700168789306286,1.01433504848,1.0231519178227486
156,0.38729809104258445,0.009110294117653758,0.0023179545454524385,1.0,0.3880070546737213,0.0022457983193277307,0.9987562189054726,0.0019317728608075158,0.3075205874422321,0.30009831857558983,0.955,0.008132384532756106,1.02766113845,1.0205649704843218
1150,0.7583385777239354,0.005568277310937919,0.152636363636134,0.785216773276617,0.7592172671531451,0.07707082833137253,0.7853589196865672,0.0006063357784437656,0.39150137239563004,0.7477779497247945,0.999714285714,0.006255715820152387,1.04209191019,1.0736002723987796
1216,0.38693098384728347,0.007218750000005308,0.0021517045454525897,0.9975124378109453,0.38727219282774833,0.0021127450980392157,1.0,0.0015550237890588677,0.3076819704437791,0.29952724660874763,0.95875,0.007951127819544603,1.0169997613700001,1.021541866646755
1004,0.3883994126284876,0.008638235294123999,0.0022679999999979383,0.9946268656716418,0.38859494415049967,0.002219047619047619,0.9970149253731344,0.001865601635741181,0.30832152846064576,0.30198285606616926,0.9490000000000001,0.009873254564978586,1.01449268081,1.0195469714154444
1095,0.2613803230543319,0.013275000000009762,0.003268363636360665,0.6724378109452737,0.2613168724279835,0.004773109243697478,0.672636815920398,0.004234958404245427,0.456987771826227,0.3008407121324848,0.9476,0.02206981740063262,1.0245024088299999,1.0233902619434896
679,0.9043073910939795,0.008191176470586906,0.3172803030301207,0.765671641791045,0.9058397021355084,0.13412698412689075,0.7653399668308458,0.000768368881172071,0.4010460181971663,0.9144765762370657,0.999833333333,0.010000000000000002,1.2097956227,1.1520193591268582
