,EXEC,FREQ,IPC,L2MISS,MEM,INST,PhysIPC%,INSTnom%,L3HIT,L3MPI,L2MPI,L3MISS,GT,Pred
679,0.9043073910939795,0.9144765762370657,0.7653399668308458,0.3172803030301207,0.010000000000000002,0.4010460181971663,0.765671641791045,0.9058397021355084,0.999833333333,0.000768368881172071,0.13412698412689075,0.008191176470586906,1.2097956227,1.1493203730634964
642,0.3825256975036711,0.6237863022432227,0.4744737849213931,0.937902097900511,0.004626662810878289,0.6476280709696932,0.4745503252965174,0.382693438249559,1.0,0.0010681316459094817,0.924154277095238,0.0048531108597388625,1.03676375758,1.0362972838989584
152,0.9599853157121881,0.8988672758096641,0.8258706467661692,0.003500795454542272,0.009272287862508447,0.37264240244734076,0.8261194029850748,0.9600970017636683,0.965,0.0006906354796842782,0.001387955182072829,0.008007352941182358,1.0846158209,1.1463780013260574
686,0.7650513950073422,0.7474189902031056,0.7910447761194032,0.18766363636346578,0.007707841031145162,0.3884239486892234,0.7916417910447762,0.7651381540270429,0.9998,0.0006786179313899728,0.09260504201680672,0.006432352941181201,1.0730043415600001,1.0441266190030036
1380,0.2925054369038179,0.4504528929339268,0.5026513004577116,0.6527963176057703,0.0027897177391950647,0.6112896659236673,0.502714276717413,0.2927726802557319,0.999987341772,0.0010211173822847325,0.8576038010140056,0.0036186746090761898,1.02162176106,1.0271691129995097
268,0.38437172225697513,0.3000575277204891,0.9914712153532339,0.001729545454542519,0.0025704158354986194,0.3098591112455608,0.9917555081731344,0.38464768623456785,0.9774,0.0007186256029489872,0.001692597038815126,0.0033401470588259852,1.02022197513,1.0228807462338803
716,0.3849306242320118,0.29963796464369485,0.994263376995025,0.0013745454545442052,0.0016438282294663567,0.30903448584744214,0.9943141435681594,0.3853075621781304,0.982244897959,0.00041423666077495934,0.001340564797347339,0.0019372261404565715,1.01930402744,1.024080237046505
984,0.8861967694566815,0.9861270723431561,0.6958333333333334,0.3371931818178753,0.0023827806122436184,0.44150156482914443,0.695995024875622,0.8872354497354495,0.999975,0.00022723945782255923,0.14615546218487394,0.002400716911766471,1.24409847181,1.21160217641415
1014,0.7495371257121881,0.7473594000848762,0.7756867834726369,0.2323972332014251,0.0027787091953551143,0.3962145564291046,0.7759030932298508,0.7499424890726042,0.999956521739,0.00031403953910155783,0.1190719766168067,0.002800511508950588,1.01727396732,1.037801045051691
1297,0.2408223201174743,0.3986082328558739,0.5103648424527363,0.012952651515129136,0.6369495166494968,0.6571334334933959,0.5111111111114428,0.24078973152998231,0.667166666667,0.13372991130341533,0.02113912231560224,0.34698529411790224,1.0713985388,1.0620916441662298
182,0.3856303754985316,0.2992743433096356,0.996872778960199,0.0014094545454519007,0.002058938161729292,0.30820235963022513,0.9969580668059702,0.3861594020326278,0.9821714285709999,0.0004356323139626646,0.0014009603841540616,0.002000798319330148,1.0184689623799998,1.0240459357342886
254,0.3621168318649046,0.29970570659838586,0.9349347014925374,0.0015333380681804244,0.0017243328745962813,0.328681460086399,0.9347792288557215,0.3624246766607877,0.983265625,0.0004868321087718057,0.0016277573529411764,0.002089728860295654,1.0192047953399999,1.0200824307570193
651,0.38534959900587373,0.29941742507683833,0.9957902793731345,0.0014979020979000019,0.003631083202507717,0.3087200214246249,0.9943360122467663,0.38551982996472656,0.9712307692309999,0.0008562195291109267,0.001486533074767507,0.003947171945694079,1.02437449192,1.0217070718260928
1421,0.3866372980910426,0.29924171062532656,1.0,0.0018728181818164795,0.007946294307192297,0.3072019389710907,0.9990049751243782,0.38712522045855374,0.9598,0.0013473315245764686,0.0018515406162464983,0.006189705882357493,1.01932383893,1.0190004414541065
1409,0.26284875183553597,0.302439713639643,0.672636815920398,0.00355854545454222,0.025527389903316045,0.45650547431281563,0.6728358208955225,0.2627865961199294,0.922,0.0060655533273708696,0.00518767507002801,0.018983823529425722,1.01589772288,1.0139444906058794
853,0.9008111320851689,0.8444522755403916,0.8257521914228857,0.021527272727239522,0.0027460871566580307,0.37195293852035827,0.8260601753134328,0.9013255507965899,0.9951428571430001,0.00024193663579540812,0.009183673469383754,0.002598581932766617,1.16980909991,1.1189680151684962
