Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C4res%,C5res%,C6res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,Proc Energy (Joules),READ,TIME(ticks),WRITE,Slowdown
num-700000,1.06E+06,1.01,99.8,0,0.196,0,0,0,0,0,0,0,0,1.11,1.01,1.17E+06,2.22,55.5,1.1,0.692,473,0.000404,0.257,313,0.000268,2.21,55.1,2.06E+03,153,1.32E+05,301,1.518903661
num-700000,1.02E+06,1.01,99.9,0,0.112,0,0,0,0,0,0,0,0,1.21,1.01,1.22E+06,2.41,60.4,1.2,0.715,311,0.000255,0.281,206,0.000169,2.39,59.8,1.98E+03,108,1.26E+05,214,1.459735702
num-700000,1.04E+06,1.01,99.8,0,0.162,0,0,0,0,0,0,0,0,1.21,1.01,1.25E+06,2.42,60.6,1.2,0.701,289,0.000231,0.263,193,0.000154,2.41,60.1,2.04E+03,111,1.29E+05,243,1.490749998
num-700000,1.03E+06,1.03,99.8,0,0.2,0,0,0,0,0,0,0,0,1.21,1.02,1.21E+06,2.42,60.6,1.18,0.722,359,0.000296,0.295,232,0.000192,2.37,59.2,2.09E+03,129,1.25E+05,239,1.443979967
num-700000,6.36E+05,1.01,77.4,0,22,0,0,0,0,0,0,0,0,1.21,0.781,9.83E+05,2.41,60.4,1.54,0.738,111,0.000113,0.358,65.8,6.69E-05,3.09,77.2,1.53E+03,51.6,1.02E+05,94.4,1.185263601
num-700000,5.77E+05,1.01,69.9,0,29.7,0,0,0,0,0,0,0,0,0.781,0.705,6.39E+05,1.56,39,1.11,0.731,449,0.000702,0.327,245,0.000384,2.22,55.4,1.41E+03,152,1.02E+05,237,1.185528136
num-700000,1.07E+06,1.01,99.3,0,0.693,0,0,0,0,0,0,0,0,1.25,1,1.34E+06,2.51,62.7,1.25,0.676,251,0.000188,0.285,158,0.000119,2.5,62.6,2.11E+03,101,1.33E+05,222,1.53676159
num-700000,7.75E+05,1.01,87.3,0,12.5,0,0,0,0,0,0,0,0,1.08,0.883,9.47E+05,2.16,54,1.22,0.718,363,0.000384,0.311,216,0.000228,2.44,61.1,1.68E+03,126,1.10E+05,215,1.273969829
num-700000,5.40E+05,1.01,66.6,0,30.1,0,0,0,0,0,0,0,0,0.828,0.673,6.65E+05,1.66,41.4,1.23,0.761,429,0.000646,0.463,173,0.00026,2.46,61.5,1.38E+03,153,1.00E+05,192,1.164119682
num-700000,1.03E+06,1.01,99.8,0,0.183,0,0,0,0,0,0,0,0,1.26,1.01,1.29E+06,2.52,63,1.25,0.759,302,0.000235,0.364,167,0.00013,2.49,62.4,2.05E+03,107,1.28E+05,190,1.476109799
num-700000,4.12E+05,1.01,54.2,0,44.8,0,0,0,0,0,0,0,0,1.01,0.546,7.63E+05,2.02,50.6,1.85,0.697,157,0.000206,0.294,106,0.000139,3.71,92.6,1.30E+03,54.8,9.43E+04,104,1.097283754
