Configuration,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,READ,WRITE,SLOWDOWN
num-300000,1.11,0.943,480000,2.23,1.18,0.768,155,0.000324,0.364,83.7,0.000174,2.36,62.3,102,1.3602659423
num-300000,1.27,0.906,507000,2.54,1.4,0.71,110,0.000217,0.645,38.4,0.0000758,2.81,23.6,40.5,1.2588281099
num-300000,1.21,1.01,556000,2.41,1.19,0.717,173,0.000312,0.317,105,0.000189,2.38,59.1,102,1.4488291985
num-300000,1.14,0.999,525000,2.27,1.14,0.669,155,0.000295,0.29,95.6,0.000182,2.27,56.5,139,1.449419467
num-400000,1,0.521,448000,2.01,1.93,0.745,57.1,0.000127,0.354,34,0.0000759,3.86,31.5,62.2,1.0924043731
num-400000,0.966,0.752,499000,1.93,1.28,0.726,215,0.00043,0.302,134,0.000268,2.57,71.6,131,1.261343811
num-400000,1.22,1.01,720000,2.43,1.2,0.788,207,0.000288,0.415,103,0.000144,2.41,76.9,124,1.4395077607
num-400000,1.18,0.939,652000,2.37,1.26,0.757,208,0.000319,0.432,99.8,0.000153,2.52,64,101,1.348140882
num-400000,1.16,0.896,629000,2.31,1.29,0.743,128,0.000204,0.31,81.2,0.000129,2.58,52.2,115,1.3232676301
num-400000,1.13,1,719000,2.27,1.13,0.715,220,0.000306,0.276,137,0.00019,2.26,84.8,173,1.5432267455
num-400000,1.17,0.948,669000,2.35,1.24,0.71,200,0.000299,0.296,129,0.000193,2.47,65.5,126,1.3857161114
num-400000,1.1,0.938,608000,2.19,1.17,0.731,254,0.000418,0.407,121,0.000199,2.34,94.9,151,1.353303381
num-400000,1.03,1.01,625000,2.07,1.02,0.719,336,0.000538,0.343,188,0.0003,2.05,120,187,1.4756083929
num-400000,0.922,0.771,454000,1.84,1.2,0.687,154,0.00034,0.235,102,0.000224,2.39,63.1,155,1.2051464461
num-400000,1.25,1,742000,2.5,1.25,0.691,137,0.000184,0.274,86.5,0.000117,2.49,58.2,127,1.4446228036
num-400000,1.04,0.918,554000,2.08,1.13,0.691,199,0.000359,0.28,123,0.000221,2.26,73.5,167,1.296757129
num-400000,1.2,0.917,653000,2.41,1.31,0.747,183,0.00028,0.459,81.1,0.000124,2.63,62.1,94.7,1.3255228521
num-400000,0.742,0.516,333000,1.48,1.44,0.611,124,0.000372,0.214,86.7,0.000261,2.88,46.6,113,1.0892437583
num-400000,1.14,0.684,519000,2.27,1.66,0.734,78.4,0.000151,0.328,49.4,0.0000952,3.32,34.9,62,1.118608715
num-400000,1.13,1.01,681000,2.26,1.12,0.71,192,0.000282,0.274,123,0.00018,2.24,76.5,182,1.4625986159
num-400000,1.17,1,706000,2.35,1.17,0.688,208,0.000295,0.293,136,0.000192,2.33,66,144,1.4588851622
num-400000,1.13,1.01,677000,2.26,1.12,0.723,246,0.000363,0.308,155,0.000229,2.23,94.7,176,1.459360863
num-400000,1.23,1,730000,2.46,1.23,0.716,152,0.000209,0.316,92.7,0.000127,2.45,58.7,124,1.4377919648
num-400000,1.15,1.04,670000,2.31,1.11,0.715,260,0.000388,0.265,174,0.000259,2.22,93.5,168,1.4144442594
num-400000,1.08,0.734,529000,2.16,1.47,0.734,139,0.000263,0.364,80.6,0.000152,2.95,48,78.6,1.192567384
