ACYC-1,AFREQ-1,EXEC-1,FREQ-1,INST-1,INSTnom%-1,INSTnom-1,IPC-1,L2HIT-1,L2MISS-1,L2MPI-1,L3HIT-1,L3MISS-1,L3MPI-1,PhysIPC%-1,PhysIPC-1,READ-1,TIME(ticks)-1,WRITE-1,ACYC-2,AFREQ-2,EXEC-2,FREQ-2,INST-2,INSTnom%-2,INSTnom-2,IPC-2,L2HIT-2,L2MISS-2,L2MPI-2,L3HIT-2,L3MISS-2,L3MPI-2,PhysIPC%-2,PhysIPC-2,READ-2,TIME(ticks)-2,WRITE-2,ACYC-C,AFREQ-C,EXEC-C,FREQ-C,INST-C,INSTnom%-C,INSTnom-C,IPC-C,L2HIT-C,L2MISS-C,L2MPI-C,L3HIT-C,L3MISS-C,L3MPI-C,PhysIPC%-C,PhysIPC-C,READ-C,TIME(ticks)-C,WRITE-C
8710.0,1.02344444444,1.06133333333,0.517444444444,17855.5555556,2.12,53.0777777778,2.05,0.981888888889,0.533888888889,3.07222222222e-05,0.934666666667,0.0322444444444,1.81377777778e-06,4.1,102.522222222,0.299444444444,2102.22222222,0.0166288888889,6238.88888889,0.985444444444,0.766777777778,0.363222222222,13155.5555556,1.53333333333,38.3222222222,2.11444444444,0.964666666667,0.312888888889,2.33122222222e-05,0.866222222222,0.0291111111111,2.196e-06,4.22888888889,105.777777778,0.301777777778,2145.55555556,0.0161422222222,13620.0,0.9898,1.273,0.7935,21840.0,2.544,63.63,1.605,0.9515,2.975,0.00013597,0.9074,0.02632,1.2098e-06,3.21,80.26,0.3019,2143.0,0.008814
13400.0,1.0235,1.1269,0.798,18920.0,2.252,56.33,1.414,0.1654,138.1,0.007296,1.0,0.025551,1.3307e-06,2.825,70.63,0.2915,2100.0,0.014444,12755.5555556,0.992,1.15144444444,0.754777777778,19388.8888889,2.30111111111,57.5111111111,1.52111111111,0.741888888889,25.6,0.00131455555556,0.988666666667,0.262333333333,1.36766666667e-05,3.04666666667,76.1111111111,0.523111111111,2107.77777778,0.183211111111,16844.4444444,0.983111111111,1.23111111111,0.982555555556,21133.3333333,2.46555555556,61.6333333333,1.25444444444,0.387,111.022222222,0.00525333333333,0.998666666667,0.152333333333,7.20555555556e-06,2.50777777778,62.7222222222,0.441555555556,2143.33333333,0.0993222222222
10780.0,1.0198,1.0237,0.6417,17190.0,2.045,51.15,1.598,0.06806,92.82,0.005406,0.9998,0.027586,1.5937e-06,3.193,79.85,0.293,2101.0,0.015323,9614.0,1.0016,1.0446,0.5723,17570.0,2.092,52.3,1.832,0.864,4.703,0.0002684,0.9277,0.27478,1.5683e-05,3.666,91.67,0.4839,2100.0,0.12732,17144.4444444,0.987555555556,1.36222222222,0.978222222222,23844.4444444,2.72333333333,68.0777777778,1.39111111111,0.356888888889,92.8888888889,0.00389555555556,0.998555555556,0.118722222222,5.03111111111e-06,2.78111111111,69.5555555556,0.408777777778,2188.88888889,0.0893333333333
8562.0,1.0007,0.9527,0.5086,16050.0,1.906,47.66,1.875,0.07604,95.26,0.005932,0.9997,0.038697,2.4309e-06,3.75,93.73,0.3004,2105.0,0.019242,10706.0,1.0093,1.0868,0.6335,18350.0,2.171,54.31,1.711,0.2056,72.57,0.003976,0.9996,0.03155,1.703e-06,3.419,85.5,0.2961,2111.0,0.014997,17000.0,0.994888888889,1.18444444444,0.977777777778,20555.5555556,2.36666666667,59.2111111111,1.21111111111,0.0886111111111,110.866666667,0.00528222222222,0.999777777778,0.0211811111111,1.02177777778e-06,2.42111111111,60.5,0.299888888889,2168.88888889,0.00786222222222
10650.0,1.00233333333,0.909888888889,0.628888888889,15377.7777778,1.81888888889,45.4777777778,1.44666666667,0.0714,104.988888889,0.00683666666667,0.999777777778,0.0364222222222,2.33111111111e-06,2.89555555556,72.3555555556,0.301444444444,2113.33333333,0.0174666666667,10259.0,1.0252,1.272,0.6077,21510.0,2.545,63.63,2.095,0.9752,0.38929,1.8623e-05,0.8647,0.032292,1.5484e-06,4.189,104.67,0.3014,2113.0,0.0177874,18333.3333333,1.05,1.37444444444,1.03888888889,24177.7777778,2.75,68.7444444444,1.31888888889,0.203444444444,101.622222222,0.00420888888889,0.999666666667,0.0268788888889,1.14566666667e-06,2.63777777778,65.9333333333,0.309,2197.77777778,0.0112016666667
13200.0,1.0426,1.176,0.7824,19880.0,2.358,58.92,1.507,0.7116,50.07,0.002515,0.9995,0.02829,1.412e-06,3.014,75.36,0.2962,2108.0,0.01862,15460.0,1.048,1.392,0.9202,23380.0,2.782,69.57,1.512,0.9049,6.029,0.0002581,0.9481,0.2193,9.386e-06,3.024,75.62,0.491,2100.0,0.12053,18255.5555556,1.05,1.35777777778,1.04444444444,23755.5555556,2.71555555556,67.9,1.30222222222,0.696888888889,42.7111111111,0.00179888888889,0.997222222222,0.116388888889,4.89e-06,2.60111111111,65.0888888889,0.391111111111,2184.44444444,0.0382555555556
10567.0,0.9958,0.7604,0.6258,12860.0,1.521,38.01,1.216,0.08399,119.27,0.00931,0.9995,0.044335,3.4317e-06,2.431,60.81,0.3082,2114.0,0.02007,6134.0,1.016,0.5979,0.365,10046.0,1.196,29.91,1.64,0.09514,94.86,0.009454,0.9998,0.05342,5.302e-06,3.28,82.0,0.3209,2100.0,0.02847,15800.0,1.01511111111,0.966444444444,0.918,16600.0,1.93,48.2888888889,1.05188888889,0.0731222222222,205.111111111,0.0121855555556,0.999888888889,0.0482333333333,2.95e-06,2.10222222222,52.5666666667,0.323777777778,2147.77777778,0.0193955555556
10630.0,0.9872,0.833,0.6329,13990.0,1.666,41.65,1.319,0.7597,36.97,0.002649,0.9982,0.06694,4.754e-06,2.637,65.91,0.3251,2100.0,0.03069,13077.7777778,1.03111111111,1.019,0.774444444444,17222.2222222,2.03888888889,50.9444444444,1.31666666667,0.663777777778,49.4777777778,0.00286222222222,0.999555555556,0.0260777777778,1.52766666667e-06,2.63222222222,65.8666666667,0.294666666667,2111.11111111,0.0151877777778,17880.0,1.05,1.182,1.032,20450.0,2.363,59.09,1.143,0.6469,71.46,0.003495,0.9992,0.05779,2.8411e-06,2.291,57.2,0.3299,2162.0,0.019299
8466.0,1.0427,0.9404,0.5031,15820.0,1.88,47.03,1.869,0.06433,99.24,0.006278,0.9998,0.024926,1.5841e-06,3.738,93.45,0.2937,2103.0,0.01562,7440.0,1.0263,0.7508,0.4429,12626.0,1.503,37.53,1.696,0.9036,3.9,0.0003086,0.948,0.033303,2.7499e-06,3.398,84.9,0.3005,2100.0,0.01786,15030.0,0.9938,1.125,0.8736,19370.0,2.248,56.18,1.285,0.251,113.3,0.005859,0.9997,0.027287,1.4112e-06,2.572,64.32,0.3019,2153.0,0.011338
9623.0,1.0421,1.0547,0.5725,17680.0,2.105,52.68,1.85,0.9064,4.484,0.0002514,0.9538,0.14987,8.426e-06,3.703,92.54,0.4054,2100.0,0.06079,6279.0,1.0278,0.6802,0.3729,11465.0,1.36,34.01,1.827,0.9869,0.5029,4.315e-05,0.9267,0.025884,2.2597e-06,3.651,91.29,0.295,2105.0,0.015334,15430.0,1.05,1.268,0.8934,21890.0,2.536,63.39,1.421,0.9292,6.633,0.0003034,0.9749,0.11695,5.384e-06,2.844,71.07,0.4016,2157.0,0.03934
