Configuration,AFREQ,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,READ,WRITE,SLOWDOWN
layer-4-particle-533,1.05,1.38,1.04,133000,2.77,1.33,0.717,27.4,0.000206,0.719,7.19,0.0000541,2.65,7.29,12.4,1.3986031021
layer-4-particle-533,1.05,1.32,1.04,124000,2.63,1.26,0.749,39,0.000315,0.742,9.99,0.0000809,2.52,9.4,15.3,1.358636511
layer-4-particle-533,0.995,0.649,0.606,75700,1.3,1.07,0.612,63.4,0.000837,0.587,22.5,0.000297,2.14,17.4,42.4,1.7352602773
layer-4-particle-533,1.05,1.12,1.04,107000,2.25,1.08,0.74,61,0.000568,0.6,20,0.000186,2.16,17,28,1.3965724147
layer-4-particle-533,1,1.16,1,111000,2.32,1.16,0.647,51.4,0.000462,0.664,15.7,0.000141,2.31,12.2,23.7,1.417421551
layer-4-particle-533,1.01,1.14,1.01,124000,2.27,1.12,0.67,71.5,0.000577,0.583,27.5,0.000222,2.25,18.4,27.8,1.5888994391
layer-4-particle-533,1.05,1.14,0.889,171000,2.28,1.28,0.643,56.7,0.00033,0.602,20.6,0.00012,2.57,16.9,37.9,2.1592627553
layer-4-particle-533,1.05,1.11,1.01,106000,2.22,1.09,0.676,65.8,0.000618,0.577,25.1,0.000236,2.18,15.8,28.8,1.3939833443
layer-1-particle-4000,1.04,0.644,0.521,60300,1.29,1.24,0.655,60.4,0.001,0.693,17.2,0.000285,2.48,11.6,24,1.0485110097
layer-1-particle-4000,1,1.01,0.911,188000,2.03,1.11,0.623,129,0.000687,0.498,60.4,0.000321,2.22,30.3,57.4,2.0063695491
layer-1-particle-4000,1.03,1.12,1.03,140000,2.24,1.09,0.689,113,0.000803,0.669,33.5,0.000238,2.17,25.6,33.2,1.3741497836
layer-1-particle-4000,1.01,1.16,1.01,156000,2.32,1.15,0.723,78.8,0.000506,0.565,32.4,0.000208,2.3,21.2,36.5,1.4482932681
layer-1-particle-4000,1.01,0.766,1.01,102000,1.53,0.761,0.699,199,0.00195,0.717,44.1,0.000432,1.52,45.6,43.8,1.4471662429
layer-1-particle-4000,1.03,1.21,1.02,177000,2.41,1.18,0.622,90.1,0.000509,0.691,26.3,0.000148,2.35,16.9,34.7,1.5912696688
layer-1-particle-4000,0.999,1.31,0.999,510000,2.61,1.31,0.73,81.1,0.000159,0.592,32.3,0.0000634,2.62,27.2,46.6,4.1623591619
layer-1-particle-4000,1.01,0.95,0.631,92400,1.9,1.51,0.652,63.5,0.000688,0.713,17.3,0.000187,3.01,11.3,23.2,1.0874686222
layer-1-particle-4000,0.986,1.12,0.985,158000,2.24,1.14,0.629,86.4,0.000546,0.624,30,0.000189,2.27,18.5,39.2,1.5253557502
layer-1-particle-4000,0.992,0.686,0.501,67100,1.37,1.37,0.67,58.9,0.000877,0.742,13.7,0.000204,2.74,11.8,25.4,1.0962036356
layer-1-particle-4000,1.02,1.01,0.964,135000,2.01,1.04,0.706,101,0.000748,0.609,35.6,0.000265,2.09,26.2,43.9,1.4603368494
layer-1-particle-4000,1.05,0.689,0.689,71800,1.38,1,0.677,75.5,0.00105,0.644,24.3,0.000338,2,17.5,37.8,1.1793626476
layer-1-particle-4000,0.982,0.771,0.668,81700,1.54,1.15,0.724,98.6,0.00121,0.698,24.3,0.000298,2.31,23.9,25.4,1.2444419293
layer-1-particle-4000,0.998,1.05,0.972,138000,2.09,1.08,0.614,93.7,0.000679,0.666,29.3,0.000212,2.15,18.3,40.5,1.4467578089
layer-1-particle-4000,0.989,1.14,0.988,182000,2.27,1.15,0.679,86.8,0.000477,0.523,39.4,0.000216,2.3,20,39.8,1.735193468
