Configuration,AFREQ,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,READ,WRITE,SLOWDOWN
layer-2-particle-2700,0.999,1.13,0.747,141000,2.26,1.51,0.689,58.4,0.000414,0.804,11.1,0.0000787,3.02,9.51,15.4,1.2183333576
layer-2-particle-2700,1,0.87,0.863,169000,1.74,1.01,0.695,152,0.000898,0.554,60.6,0.000358,2.02,39.3,67.2,1.8677352122
layer-2-particle-2700,1.01,1.23,0.753,144000,2.46,1.63,0.738,48.2,0.000335,0.75,11.9,0.0000828,3.27,8.1,14.2,1.1350067723
layer-2-particle-2700,0.974,0.755,0.59,89500,1.51,1.28,0.754,80.4,0.000899,0.628,28.7,0.000321,2.56,19.3,32.8,1.1858010035
layer-2-particle-2700,0.992,1.11,0.99,168000,2.23,1.12,0.689,116,0.00069,0.666,33.2,0.000197,2.25,25.4,40.9,1.4763082504
layer-2-particle-2700,1.02,0.979,0.923,144000,1.96,1.06,0.644,120,0.000837,0.67,36,0.00025,2.12,23.7,47.7,1.4388951758
layer-2-particle-2700,0.99,0.627,0.633,113000,1.25,0.99,0.644,131,0.00116,0.473,64.5,0.000571,1.98,29.2,61.3,1.7562844435
layer-2-particle-2700,1.01,1.1,0.946,359000,2.19,1.16,0.593,157,0.000438,0.602,55.5,0.000154,2.32,41,103,3.0977615576
layer-2-particle-2700,1.04,1.14,0.713,141000,2.29,1.6,0.71,84.1,0.000594,0.749,20.4,0.000144,3.21,12.9,19.7,1.2390688678
layer-2-particle-2700,1.01,1.07,0.788,305000,2.14,1.36,0.708,148,0.000486,0.499,70.5,0.000231,2.72,36.7,68.7,2.6812679286
layer-2-particle-2700,1.01,1.28,1,196000,2.55,1.27,0.719,87,0.000443,0.694,24.1,0.000123,2.55,18,23.8,1.4886145808
layer-2-particle-2700,0.982,1.13,0.972,173000,2.26,1.16,0.624,144,0.000829,0.723,33.4,0.000192,2.33,30.4,33.6,1.473619353
layer-2-particle-2700,1.05,1.01,0.783,117000,2.01,1.29,0.639,77.3,0.000662,0.757,17.5,0.00015,2.57,13.4,28.2,1.154118192
layer-2-particle-2700,1.01,0.966,0.881,282000,1.93,1.1,0.666,174,0.000618,0.518,77.5,0.000275,2.19,46.2,95.1,2.7686080458
layer-2-particle-2700,1.02,0.863,0.769,105000,1.73,1.12,0.659,87.2,0.000832,0.532,38,0.000363,2.25,17.8,39.6,1.1849645457
layer-2-particle-2700,1.02,1.26,0.918,439000,2.51,1.37,0.761,111,0.000253,0.604,42.5,0.0000969,2.74,31,54.6,3.3012419757
layer-2-particle-2700,1.01,1.21,0.769,150000,2.42,1.58,0.669,65.2,0.000435,0.834,10.2,0.0000681,3.15,9.68,16.4,1.187509809
layer-2-particle-2700,1.04,1.31,1.03,192000,2.62,1.27,0.744,85.2,0.000445,0.752,19,0.0000993,2.53,17.8,23.8,1.3914878997
layer-2-particle-2700,1.01,1.13,0.778,300000,2.25,1.45,0.669,163,0.000543,0.696,41.2,0.000137,2.89,38,53.9,2.5395725594
layer-2-particle-2700,1,1.13,1,361000,2.27,1.13,0.661,137,0.00038,0.508,60.4,0.000168,2.26,40.2,93.2,3.0007847914
layer-1-particle-3133,1.01,1.27,0.865,139000,2.53,1.46,0.706,39.3,0.000283,0.778,8.26,0.0000595,2.93,8.88,13.8,1.2293500755
layer-1-particle-3133,1.04,0.693,0.521,60400,1.39,1.33,0.69,44.7,0.00074,0.661,13.7,0.000227,2.66,10.9,23.9,0.9862639758
layer-1-particle-3133,0.974,0.688,0.443,59200,1.38,1.55,0.686,51.4,0.000868,0.764,10.5,0.000177,3.1,9.65,15.3,1.0008784123
layer-1-particle-3133,1.03,1.3,0.99,165000,2.59,1.31,0.668,51.9,0.000315,0.793,10.7,0.000065,2.62,9.68,16.5,1.4185598149
layer-1-particle-3133,1.05,0.92,1,108000,1.84,0.917,0.701,112,0.00103,0.575,40.1,0.000371,1.83,29.5,42,1.3338298906
layer-1-particle-3133,0.974,0.603,0.351,52300,1.21,1.72,0.692,35.9,0.000686,0.783,7.58,0.000145,3.43,6.87,12.4,1.0477140075
layer-1-particle-3133,0.987,0.85,0.951,120000,1.7,0.894,0.711,129,0.00108,0.553,46.5,0.000387,1.79,35.7,50.1,1.5821799928
layer-1-particle-3133,0.988,0.909,0.503,83900,1.82,1.8,0.672,41.6,0.000496,0.735,10.8,0.000129,3.61,7.59,13.9,1.0850292578
layer-1-particle-3133,1.02,0.67,0.651,67400,1.34,1.03,0.646,68.5,0.00102,0.57,26.3,0.00039,2.06,16.2,36.1,1.1619721383
layer-1-particle-3133,0.997,0.889,0.995,128000,1.78,0.893,0.7,203,0.00159,0.715,41.2,0.000322,1.79,47.8,41.5,1.6435719592
layer-1-particle-3133,1.02,0.696,0.724,78400,1.39,0.961,0.698,88.9,0.00114,0.578,31.4,0.0004,1.92,23.4,37.3,1.4120343792
layer-1-particle-3133,0.979,0.892,0.474,85400,1.78,1.88,0.68,41.4,0.000484,0.725,11,0.000128,3.76,7.94,13.3,1.1109285592
layer-1-particle-3133,1.02,1.15,0.997,135000,2.3,1.15,0.668,62.7,0.000464,0.57,24.7,0.000183,2.31,16.6,36.3,1.3367512563
layer-1-particle-3133,1.04,1.17,0.896,119000,2.35,1.31,0.636,53.1,0.000445,0.718,14.1,0.000118,2.62,11,24,1.2002939118
layer-1-particle-3133,0.996,1.33,0.996,158000,2.66,1.34,0.698,41.1,0.00026,0.792,8.15,0.0000515,2.67,8.77,12.7,1.3413887833
layer-1-particle-3133,1.01,0.657,0.498,55900,1.31,1.32,0.677,44.2,0.00079,0.708,11.6,0.000208,2.64,9.9,22.6,0.9913311334
layer-1-particle-3133,1.01,1.27,0.8,771000,2.53,1.58,0.63,104,0.000135,0.536,46.8,0.0000607,3.16,39,73.1,6.695357882
layer-1-particle-3133,1.01,1.1,0.886,149000,2.21,1.25,0.601,81.6,0.00055,0.589,31.7,0.000214,2.49,16.3,30.8,1.518688844
layer-1-particle-3133,1.01,1.23,0.942,297000,2.45,1.3,0.666,62.7,0.000211,0.731,16.6,0.0000559,2.61,16.9,31.6,2.6826442089
layer-1-particle-3133,1.03,0.951,0.574,86000,1.9,1.66,0.689,46.2,0.000537,0.698,13.5,0.000157,3.32,9.51,16.6,1.0744227249
layer-3-particle-1399,1.01,1.11,1.01,494000,2.22,1.09,0.733,220,0.000446,0.473,98.4,0.000199,2.19,78.1,123,4.865481389
layer-3-particle-1399,1.04,1.16,1.04,154000,2.31,1.11,0.673,101,0.000659,0.634,31.8,0.000206,2.22,24.5,37.4,1.4788686616
layer-3-particle-1399,1.04,1.35,1.04,180000,2.69,1.3,0.755,58.8,0.000326,0.707,17.1,0.0000949,2.6,12.1,17.4,1.4990991179
layer-3-particle-1399,1.02,1.21,1.01,179000,2.42,1.19,0.696,64.5,0.000361,0.676,19.6,0.00011,2.38,15.5,35.7,1.6370013376
layer-3-particle-1399,0.994,1.07,0.955,142000,2.14,1.12,0.706,136,0.000959,0.729,31.5,0.000222,2.24,26.9,31.2,1.5640788364
layer-3-particle-1399,1.03,1.06,1,197000,2.13,1.06,0.719,122,0.00062,0.548,50.9,0.000258,2.12,32.9,56.9,2.0866452037
layer-3-particle-1399,0.975,1.08,0.585,147000,2.16,1.84,0.707,44.5,0.000303,0.75,10.7,0.0000727,3.69,10.2,18.3,1.5430231605
layer-3-particle-1399,0.984,1.09,0.801,150000,2.19,1.36,0.63,95.7,0.000638,0.682,26.4,0.000176,2.73,21.4,27.6,1.5896538821
layer-3-particle-1399,1.04,1.33,1.01,181000,2.65,1.32,0.653,64.2,0.000355,0.827,10.6,0.0000586,2.63,11.2,17.9,1.5086087426
layer-3-particle-1399,1.04,1.09,1.04,138000,2.19,1.05,0.692,135,0.000973,0.726,30,0.000217,2.11,28.7,31.6,1.4261529423
layer-3-particle-1399,1.01,1.03,1.01,200000,2.06,1.03,0.705,156,0.000781,0.549,57.5,0.000287,2.05,42.9,57.9,2.1623862515
layer-3-particle-1399,1.05,1.22,0.632,123000,2.43,1.93,0.717,39.7,0.000322,0.799,7.76,0.0000628,3.85,7.55,13.5,1.2146918759
layer-3-particle-1399,1.01,0.921,0.591,182000,1.84,1.56,0.647,82.7,0.000456,0.634,27.5,0.000151,3.12,21.4,49.2,2.2289619498
layer-3-particle-1399,1.03,1.2,0.895,139000,2.4,1.34,0.66,59,0.000426,0.658,18.7,0.000135,2.68,12.6,25.9,1.3265053256
layer-3-particle-1399,0.977,1.24,0.976,165000,2.48,1.27,0.71,54,0.000328,0.726,13.8,0.0000841,2.54,12.1,21.3,1.4775134144
layer-3-particle-1399,1.01,1.24,0.995,622000,2.48,1.25,0.787,175,0.000282,0.572,63.3,0.000102,2.49,57.2,83.9,5.4736766112
layer-3-particle-1399,0.993,1.17,0.605,120000,2.34,1.93,0.728,38.3,0.000319,0.796,7.49,0.0000622,3.86,7.68,13.2,1.2074314864
layer-3-particle-1399,0.974,0.703,0.432,68800,1.41,1.63,0.685,55.8,0.000811,0.672,17.7,0.000258,3.25,10.3,17.9,1.1607711936
layer-3-particle-1399,0.979,1.24,0.978,165000,2.48,1.27,0.672,60.7,0.000367,0.718,16,0.0000965,2.53,13.2,25,1.4855943407
layer-3-particle-1399,1.02,1.05,0.72,238000,2.1,1.46,0.623,91.4,0.000384,0.606,32.4,0.000136,2.91,24,53.3,2.5388341041
layer-4-particle-2700,1,1.36,1,322000,2.71,1.35,0.736,92.8,0.000288,0.815,16.9,0.0000525,2.7,14.8,22,1.2271806117
layer-4-particle-2700,1.01,1.3,1.01,321000,2.61,1.29,0.678,140,0.000437,0.802,27.6,0.0000858,2.58,20.2,33.5,1.2484643738
layer-4-particle-2700,1.01,1.26,0.998,303000,2.53,1.27,0.665,131,0.000433,0.769,28.7,0.0000949,2.54,23.1,52,1.2099826921
layer-4-particle-2700,1.01,1.1,0.989,271000,2.2,1.11,0.701,155,0.000574,0.651,51.2,0.000189,2.22,31.5,73.7,1.2548299731
layer-4-particle-2700,1.01,1.16,1.01,277000,2.32,1.15,0.606,188,0.000678,0.704,52.7,0.00019,2.29,29.7,67.2,1.2265642161
layer-4-particle-2700,1.02,1,0.767,194000,2.01,1.31,0.707,121,0.000628,0.712,33.4,0.000172,2.62,21.1,44.7,0.9968203959
layer-4-particle-2700,1.01,1.11,0.833,286000,2.22,1.33,0.708,202,0.000707,0.707,51.3,0.000179,2.66,43.3,52,1.3237039386
layer-4-particle-2700,0.993,0.717,0.664,136000,1.43,1.08,0.686,160,0.00117,0.652,52.8,0.000388,2.16,29.8,64.1,0.9947201931
layer-4-particle-2700,1.01,1.17,1.01,296000,2.34,1.17,0.686,179,0.000607,0.636,61.3,0.000207,2.33,35.5,60.7,1.3010323977
layer-4-particle-2700,1.05,1.32,1.04,304000,2.64,1.27,0.721,113,0.000374,0.761,25.9,0.0000854,2.53,21.8,44.9,1.1687410715
layer-4-particle-2700,1.03,0.981,0.645,163000,1.96,1.52,0.69,117,0.000718,0.794,23.1,0.000142,3.04,17.7,40.5,0.8682689463
layer-4-particle-2700,1.01,1.19,1.01,309000,2.37,1.18,0.702,178,0.000575,0.675,53.7,0.000173,2.36,37.7,60.7,1.3222402637
layer-4-particle-2700,1.01,1.09,1.01,310000,2.18,1.08,0.674,254,0.000817,0.664,76,0.000245,2.16,55.1,77.5,1.4357998516
layer-4-particle-2700,1.01,1.1,1,274000,2.21,1.1,0.631,217,0.000793,0.711,58,0.000211,2.21,38.5,75.3,1.2793273727
layer-4-particle-2700,1.01,1.18,1,289000,2.37,1.18,0.743,195,0.000675,0.695,47.4,0.000164,2.36,47.1,50,1.2414198644
layer-4-particle-2700,1.01,1.09,0.989,271000,2.19,1.11,0.643,186,0.000686,0.66,59.6,0.00022,2.21,33.5,73.1,1.2502954652
layer-4-particle-2700,1.01,1.3,1.01,307000,2.6,1.29,0.707,116,0.000377,0.756,27.2,0.0000887,2.58,20.1,37.5,1.1982118177
layer-4-particle-2700,1.01,1.18,0.723,206000,2.35,1.63,0.715,114,0.000552,0.79,23.4,0.000114,3.25,16.7,27.5,0.8991312661
layer-4-particle-2700,1,1.15,0.896,217000,2.3,1.28,0.672,138,0.000636,0.787,27.3,0.000126,2.56,21.9,42.1,0.9755896812
layer-4-particle-2700,1.02,1.01,0.889,197000,2.02,1.14,0.692,159,0.000806,0.687,48.1,0.000244,2.27,30.5,51.9,1.0025096419
layer-5-particle-533,1.05,1.3,1.04,138000,2.6,1.25,0.65,54.3,0.000394,0.657,17.9,0.00013,2.49,11.3,21,1.3535771979
layer-5-particle-533,0.979,1.26,0.845,125000,2.52,1.49,0.723,31.3,0.00025,0.742,7.81,0.0000623,2.99,7.72,12.1,1.2837563799
layer-5-particle-533,1,1.07,0.822,228000,2.14,1.3,0.625,73,0.00032,0.611,24.8,0.000109,2.61,21.1,49.5,2.6777872809
layer-5-particle-533,1,0.96,0.861,89400,1.92,1.11,0.704,50.5,0.000564,0.609,18.3,0.000205,2.23,13.1,29.4,1.2601663974
layer-5-particle-533,1,1.13,1,378000,2.26,1.13,0.696,216,0.000571,0.547,70.6,0.000187,2.25,65.5,77.5,4.1959866406
layer-5-particle-533,1.01,1.14,0.935,317000,2.27,1.22,0.73,147,0.000462,0.533,53.9,0.00017,2.43,41.3,60.3,3.5194651299
layer-5-particle-533,1.03,1.03,0.9,182000,2.07,1.15,0.597,105,0.000577,0.419,56.9,0.000312,2.3,27.8,55.8,2.2543525961
layer-5-particle-533,1.02,1.12,0.632,205000,2.24,1.77,0.68,58.8,0.000286,0.629,18.8,0.0000916,3.54,17.7,28.6,2.3355401722
layer-5-particle-533,1.03,1.08,0.981,180000,2.17,1.11,0.699,86.4,0.00048,0.492,40.3,0.000224,2.21,24,51.6,2.1083549548
layer-5-particle-533,1.02,0.907,0.52,91100,1.81,1.74,0.697,40,0.000439,0.689,12.2,0.000134,3.49,8.72,15.9,1.4012856902
layer-5-particle-533,1.05,1.03,0.9,92500,2.06,1.14,0.663,52,0.000561,0.606,18.3,0.000197,2.29,13.4,30.2,1.1624477964
layer-5-particle-533,1,0.655,0.512,278000,1.31,1.28,0.704,211,0.00076,0.546,72.4,0.00026,2.56,64.4,95.7,5.346386827
layer-5-particle-533,0.978,1.3,0.977,142000,2.61,1.33,0.701,34.1,0.00024,0.774,7.23,0.0000509,2.67,8.29,12.1,1.4005013726
layer-5-particle-533,1.01,1.15,0.98,823000,2.31,1.18,0.729,271,0.00033,0.412,136,0.000165,2.35,103,174,8.9224464089
layer-5-particle-533,1,0.93,0.873,88500,1.86,1.06,0.753,65.5,0.000741,0.534,28.8,0.000326,2.13,18.1,32.4,1.267509192
layer-5-particle-533,1.01,1.16,1.01,354000,2.32,1.14,0.607,117,0.000331,0.352,67.6,0.000191,2.29,37.4,88.9,3.8698520361
layer-5-particle-533,1.01,0.9,0.596,135000,1.8,1.51,0.642,61.6,0.000455,0.506,28.4,0.00021,3.02,17.4,38.1,1.9161396589
layer-5-particle-533,1.01,1.11,1.01,260000,2.22,1.1,0.704,92.2,0.000354,0.398,51,0.000196,2.21,31.3,69.1,2.9642851055
layer-5-particle-533,0.982,1.2,0.981,128000,2.4,1.22,0.724,43.6,0.000341,0.557,18.2,0.000142,2.44,12.9,23.9,1.389706649
layer-5-particle-533,1.03,1.35,1,141000,2.71,1.35,0.723,38.2,0.000272,0.678,12.1,0.0000861,2.7,8.75,13.3,1.3917957841
layer-3-particle-3133,1.01,1.1,0.984,323000,2.2,1.12,0.651,184,0.000569,0.654,57.9,0.000179,2.24,39,91.4,1.0730701063
layer-3-particle-3133,1.01,0.962,0.984,207000,1.92,0.977,0.668,291,0.00141,0.758,58.3,0.000282,1.95,55.2,60.7,0.8049963979
layer-3-particle-3133,1.01,1.23,0.992,288000,2.47,1.24,0.644,142,0.000494,0.727,36.6,0.000127,2.49,25.1,49.3,0.8614040325
layer-3-particle-3133,1,1.19,1,477000,2.37,1.18,0.652,182,0.000381,0.547,75.6,0.000158,2.36,47.5,106,1.4585672726
layer-3-particle-3133,1,1.13,0.639,178000,2.26,1.77,0.723,83.5,0.000469,0.834,13.6,0.0000765,3.53,12,21.3,0.5987768389
layer-3-particle-3133,0.998,0.924,0.826,167000,1.85,1.12,0.643,173,0.00104,0.631,61.4,0.000367,2.24,29.9,57.2,0.6961760842
layer-3-particle-3133,1.03,0.96,0.645,159000,1.92,1.49,0.686,111,0.000696,0.714,30.3,0.00019,2.97,18.6,39.6,0.6323149557
layer-3-particle-3133,0.993,0.995,0.793,184000,1.99,1.25,0.695,137,0.000747,0.711,38.3,0.000209,2.51,22.5,44.7,0.6770966981
layer-3-particle-3133,1.03,1.16,0.629,203000,2.31,1.84,0.706,90.7,0.000446,0.806,17.1,0.0000842,3.68,13.1,22.7,0.6565906285
layer-3-particle-3133,1.03,0.981,0.637,166000,1.96,1.54,0.674,130,0.000781,0.764,29.2,0.000175,3.08,20.5,32.2,0.6414297273
layer-3-particle-3133,0.999,0.85,0.801,350000,1.7,1.06,0.682,339,0.000969,0.629,96.7,0.000276,2.12,81.4,119,1.5095761865
layer-3-particle-3133,1,0.705,0.529,166000,1.41,1.33,0.67,176,0.00106,0.707,43.5,0.000262,2.67,36.1,50.4,0.8921235627
layer-3-particle-3133,1.03,1.15,0.976,287000,2.3,1.18,0.623,225,0.000783,0.701,63.2,0.00022,2.35,40.2,62.9,0.9177956301
layer-3-particle-3133,1.02,1.29,0.988,278000,2.58,1.3,0.705,119,0.000429,0.742,29.8,0.000107,2.61,22.2,35.9,0.7930270502
layer-3-particle-3133,0.989,1.01,0.74,174000,2.02,1.36,0.733,101,0.000579,0.741,25.3,0.000145,2.73,18.3,38.8,0.6530168372
layer-3-particle-3133,1.02,1.31,1.01,277000,2.62,1.29,0.696,103,0.000373,0.762,23.6,0.0000852,2.58,18.5,34.5,0.7751585541
layer-3-particle-3133,1.01,0.605,0.551,331000,1.21,1.1,0.658,311,0.000939,0.579,107,0.000322,2.2,81.8,152,1.9986205349
layer-3-particle-3133,1.02,1.12,0.996,251000,2.24,1.12,0.604,172,0.000684,0.7,48.2,0.000192,2.25,29.2,68.6,0.8235590316
layer-3-particle-3133,0.983,1.01,0.568,154000,2.03,1.78,0.761,102,0.000662,0.802,20.1,0.000131,3.57,14,22.4,0.5784907087
layer-3-particle-3133,1.02,1.25,1.02,282000,2.49,1.23,0.653,164,0.000581,0.749,39.6,0.00014,2.45,26.6,43.4,0.8294178716
layer-1-particle-2700,1,1.33,1,141000,2.67,1.33,0.671,42,0.000298,0.715,11.8,0.0000834,2.67,8,11.6,0.5839466057
layer-1-particle-2700,0.986,0.981,0.958,119000,1.96,1.02,0.684,97.7,0.000819,0.564,37.8,0.000317,2.05,26,39.4,0.6797444567
layer-1-particle-2700,0.974,0.958,0.973,106000,1.92,0.984,0.672,156,0.00146,0.747,29.7,0.000279,1.97,33.9,29.5,0.6271247703
layer-1-particle-2700,1.04,1.3,0.78,109000,2.6,1.67,0.66,37.8,0.000346,0.79,7.47,0.0000684,3.34,7.04,10.8,0.4971400688
layer-1-particle-2700,0.994,1.09,0.993,126000,2.18,1.1,0.69,103,0.000821,0.68,28.9,0.00023,2.2,23.4,29.8,0.6370685389
layer-1-particle-2700,0.985,1.09,0.984,143000,2.18,1.11,0.663,109,0.000762,0.676,28.4,0.000199,2.22,24.7,30.8,0.7278550054
layer-1-particle-2700,1.03,1.16,1.03,126000,2.32,1.13,0.705,70.9,0.000565,0.582,27.4,0.000218,2.25,18.3,29.2,0.6020136692
layer-1-particle-2700,1.02,1.26,0.931,566000,2.52,1.35,0.633,90.4,0.00016,0.557,38.2,0.0000675,2.71,29.8,54.1,2.4298802465
layer-1-particle-2700,1.05,1.12,0.656,134000,2.25,1.71,0.666,46.8,0.000349,0.685,14.4,0.000107,3.43,9.72,18.1,0.6628709998
layer-1-particle-2700,1.03,0.935,0.797,118000,1.87,1.17,0.648,86.2,0.000728,0.484,41.9,0.000354,2.35,20.5,40.7,0.701614876
layer-1-particle-2700,0.974,0.639,0.642,61100,1.28,0.996,0.652,67.2,0.0011,0.486,32.2,0.000527,1.99,16.3,32.4,0.5407903095
layer-1-particle-2700,0.974,1.04,0.843,113000,2.07,1.23,0.602,62.7,0.000556,0.592,23.6,0.000209,2.46,14.6,33.6,0.6182999732
layer-1-particle-2700,1.01,1.1,0.811,353000,2.19,1.35,0.597,95.2,0.00027,0.525,39.4,0.000112,2.7,31.3,75.6,1.7675263436
layer-1-particle-2700,1,1.17,1,135000,2.35,1.17,0.715,62.1,0.000461,0.612,20.9,0.000155,2.34,16.3,27.8,0.6343410595
layer-1-particle-2700,1.04,0.947,0.735,84300,1.89,1.29,0.643,70.5,0.000836,0.697,17.8,0.000211,2.58,15.3,22,0.5236571701
layer-1-particle-2700,1.05,1.19,1.04,127000,2.38,1.14,0.662,59.1,0.000465,0.54,24.9,0.000196,2.28,14.6,31.2,0.5993214104
layer-1-particle-2700,1.04,1.36,1.03,155000,2.73,1.32,0.685,45.2,0.000293,0.701,13.1,0.0000849,2.64,9.32,13.8,0.6281297776
layer-1-particle-2700,1.01,1.21,0.923,384000,2.41,1.31,0.693,124,0.000324,0.604,40.5,0.000105,2.61,38.1,53.5,1.7219371716
layer-1-particle-2700,1.01,1.13,0.962,191000,2.27,1.18,0.617,75.1,0.000394,0.493,32.8,0.000172,2.35,22.3,52.5,0.9222508961
layer-1-particle-2700,1.02,0.869,0.467,116000,1.74,1.86,0.658,43,0.000371,0.723,11.3,0.0000977,3.72,10.5,19.4,0.7501697266
layer-5-particle-966,0.995,0.871,0.87,161000,1.74,1,0.688,168,0.00104,0.603,54.7,0.00034,2,44.3,56,0.9318573888
layer-5-particle-966,1.01,0.931,0.964,188000,1.86,0.966,0.697,232,0.00123,0.662,57,0.000303,1.93,61.3,56.7,1.0052939855
layer-5-particle-966,1.01,0.756,0.979,205000,1.51,0.773,0.683,388,0.00189,0.685,83.1,0.000405,1.55,90.4,80.4,1.3708821166
layer-5-particle-966,1,1.22,1,523000,2.45,1.22,0.643,131,0.000251,0.475,62.3,0.000119,2.44,40.5,87.1,2.1330079988
layer-5-particle-966,1,1.1,1,157000,2.2,1.1,0.717,93.9,0.000599,0.541,40.9,0.000261,2.2,24,42.5,0.7210202665
layer-5-particle-966,0.994,0.864,0.845,153000,1.73,1.02,0.71,130,0.000849,0.471,62.2,0.000406,2.04,33.4,57.8,0.9027069117
layer-5-particle-966,0.997,1.1,0.661,167000,2.2,1.66,0.651,73.2,0.000438,0.752,16.2,0.000097,3.32,15.5,23.4,0.778566139
layer-5-particle-966,1.01,1.06,1.01,266000,2.13,1.05,0.701,218,0.000821,0.608,67.3,0.000253,2.1,57,67.7,1.2536619888
layer-5-particle-966,1.04,1.31,0.897,144000,2.62,1.46,0.734,44.3,0.000307,0.798,8.74,0.0000607,2.92,8.34,13.8,0.5867992224
layer-5-particle-966,1.02,1.08,0.98,229000,2.16,1.1,0.638,128,0.000559,0.58,48.9,0.000213,2.2,31,66.6,1.0708160445
layer-5-particle-966,1.01,1.16,0.993,280000,2.33,1.17,0.692,141,0.000502,0.538,56.3,0.000201,2.34,39.1,57.4,1.2345443276
layer-5-particle-966,1.03,1.2,1.03,204000,2.41,1.17,0.662,118,0.00058,0.718,29.7,0.000146,2.34,24.4,40.5,0.8589512562
layer-5-particle-966,1.01,1.09,0.992,182000,2.18,1.1,0.643,137,0.000754,0.609,50.1,0.000276,2.2,28.9,48.3,0.8447563893
layer-5-particle-966,0.987,1.16,0.952,189000,2.32,1.22,0.645,79,0.000417,0.714,21,0.000111,2.44,16.4,35.8,0.8456470751
layer-5-particle-966,1.02,0.703,0.71,104000,1.41,0.99,0.689,123,0.00119,0.542,46.8,0.000452,1.98,30.4,44.8,0.7594975847
layer-5-particle-966,1.01,0.828,0.435,268000,1.66,1.91,0.664,74.4,0.000278,0.7,21.1,0.0000789,3.81,22.3,44.2,1.6282740241
layer-5-particle-966,1.03,1,1.02,152000,2,0.978,0.704,175,0.00115,0.705,42.4,0.00028,1.96,36.4,44.2,0.7857150187
layer-5-particle-966,1.01,0.894,0.629,248000,1.79,1.42,0.717,133,0.000536,0.634,38.9,0.000157,2.84,37.5,58.6,1.3890715444
layer-5-particle-966,1,1.31,0.979,219000,2.61,1.33,0.675,70.5,0.000322,0.765,16.4,0.000075,2.67,11.2,18.2,0.8454626787
layer-5-particle-966,1.02,1.15,1.02,217000,2.3,1.13,0.719,92.4,0.000426,0.517,42,0.000193,2.26,24.9,52.6,0.9612997548
layer-5-particle-3133,1.01,1.22,0.944,350000,2.44,1.29,0.734,188,0.000536,0.723,46.2,0.000132,2.58,39.1,55.5,1.4303115791
layer-5-particle-3133,1,1.17,0.828,380000,2.34,1.41,0.686,200,0.000525,0.791,40.9,0.000108,2.82,30.2,51.6,1.649691961
layer-5-particle-3133,1.01,1.35,0.998,442000,2.71,1.36,0.751,129,0.000291,0.738,33.4,0.0000757,2.71,22.1,37.9,1.6316440161
layer-5-particle-3133,1.02,1.06,1.01,352000,2.12,1.05,0.664,330,0.000938,0.71,87.9,0.000249,2.1,63.1,102,1.6649710031
layer-5-particle-3133,1.01,1.04,0.927,303000,2.08,1.12,0.645,242,0.000799,0.652,79.2,0.000261,2.24,46,93.4,1.4614676397
layer-5-particle-3133,1,1.16,1,368000,2.31,1.15,0.618,371,0.00101,0.794,65.3,0.000178,2.31,61.2,68.1,1.5915079189
layer-5-particle-3133,1.01,1.14,1.01,456000,2.29,1.13,0.665,278,0.00061,0.584,110,0.000241,2.26,55.8,109,1.9802369039
layer-5-particle-3133,1.01,1.05,0.991,540000,2.1,1.06,0.691,356,0.000659,0.597,128,0.000237,2.12,85.2,158,2.5604783117
layer-5-particle-3133,1.01,1.09,0.849,396000,2.19,1.29,0.698,314,0.000793,0.738,71.5,0.000181,2.58,62.3,75.6,1.8179277985
layer-5-particle-3133,1.01,0.748,0.507,198000,1.5,1.47,0.68,214,0.00108,0.739,52.6,0.000265,2.95,33.1,53.1,1.3484630882
layer-5-particle-3133,1,0.718,0.514,165000,1.44,1.4,0.7,165,0.001,0.697,47.4,0.000288,2.79,26.8,57.8,1.1642457075
layer-5-particle-3133,1.01,1.27,1.01,397000,2.54,1.26,0.728,206,0.000519,0.782,41.6,0.000105,2.52,34.1,51.9,1.5576183484
layer-5-particle-3133,1.02,0.989,0.963,333000,1.98,1.03,0.663,326,0.000979,0.653,107,0.000322,2.06,58.9,107,1.7003143538
layer-5-particle-3133,1,1.02,0.546,225000,2.04,1.87,0.746,148,0.000659,0.823,26.1,0.000116,3.73,18,31.7,1.1118460784
layer-5-particle-3133,1.02,0.74,0.52,162000,1.48,1.42,0.707,155,0.000956,0.767,34,0.00021,2.85,25.2,58.1,1.119268125
layer-5-particle-3133,1.02,0.976,0.648,217000,1.95,1.51,0.697,166,0.000765,0.821,28.5,0.000131,3.02,23.8,52.5,1.1445569401
layer-5-particle-3133,1.01,1.13,1.01,424000,2.25,1.11,0.652,309,0.000729,0.683,92.7,0.000219,2.23,56.4,103,1.8733870311
layer-5-particle-3133,1.01,1.15,0.882,314000,2.3,1.31,0.705,157,0.0005,0.77,33.7,0.000107,2.61,27.4,60.1,1.383366175
layer-5-particle-3133,1.01,1.15,0.918,311000,2.3,1.25,0.677,197,0.000634,0.755,45.9,0.000148,2.5,30.7,62.8,1.348122546
layer-5-particle-3133,1,0.912,0.79,288000,1.82,1.15,0.658,289,0.001,0.66,89.4,0.00031,2.31,58.4,88.2,1.6137255953
layer-3-particle-2700,1.01,1.24,1.01,340000,2.48,1.23,0.718,175,0.000516,0.718,42.7,0.000126,2.46,38.8,47.3,0.815200495
