Configuration;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C3res%;C6res%;C6res%;C7res%;C7res%;C8res%;C9res%;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);WRITE;SLOWDOWN
layer-2-particle-533;2.41e+05;1.01;81;0;17.9;0;0;0;0;0;0;0;0;0;0.974;0.82;2.86e+05;1.95;48.7;1.19;0.633;114;0.0004;0.358;65;0.000227;2.38;59.4;517;33.6;3.67e+04;91.5;3.89751054881
layer-2-particle-533;3.65e+05;1.01;99.9;0;0.051;0;0;0;0;0;0;0;0;0;1.18;1;4.28e+05;2.35;58.8;1.17;0.633;101;0.000237;0.381;54.3;0.000127;2.34;58.5;656;32.1;4.54e+04;97.1;4.79657289342
layer-2-particle-533;1.02e+05;1;99.9;0;0.0978;0;0;0;0;0;0;0;0;0;1.15;1;1.18e+05;2.31;57.6;1.15;0.619;52.9;0.000448;0.539;21.7;0.000183;2.3;57.6;185;12.4;1.28e+04;28.4;1.38846845908
layer-2-particle-533;6.37e+04;1.05;73.7;0;25;0;0;0;0;0;0;0;0;0;0.869;0.77;7.19e+04;1.74;43.5;1.13;0.625;46.3;0.000644;0.449;22.8;0.000317;2.26;56.4;157;11.6;1.03e+04;28.1;1.17924901825
layer-2-particle-533;1.02e+05;1.05;99.9;0;0.0781;0;0;0;0;0;0;0;0;0;1.26;1.04;1.23e+05;2.52;63;1.21;0.605;47.8;0.000387;0.552;20.2;0.000164;2.41;60.3;206;11.4;1.23e+04;23;1.3410062883
layer-2-particle-533;2.03e+05;1.01;81.2;0;18.7;0;0;0;0;0;0;0;0;0;0.974;0.819;2.42e+05;1.95;48.7;1.19;0.792;106;0.000437;0.471;49.6;0.000205;2.38;59.4;439;34.5;3.1e+04;69.3;3.31178318235
layer-2-particle-533;1.26e+05;0.979;99.9;0;0.0571;0;0;0;0;0;0;0;0;0;1.28;0.979;1.66e+05;2.57;64.1;1.31;0.715;31.5;0.00019;0.706;8.02;4.84e-05;2.62;65.5;217;8.5;1.61e+04;16.5;1.75085271012
layer-2-particle-533;1.05e+05;1.03;96.6;0;3.45;0;0;0;0;0;0;0;0;0;1.18;0.994;1.24e+05;2.35;58.8;1.18;0.682;74.9;0.000604;0.614;22.8;0.000184;2.36;59.1;213;18.5;1.32e+04;23.8;1.43528628993
layer-2-particle-533;1.79e+05;0.997;91.7;0;8.34;0;0;0;0;0;0;0;0;0;0.987;0.914;1.93e+05;1.97;49.3;1.08;0.673;112;0.000579;0.383;61.3;0.000318;2.16;54;341;31.5;2.45e+04;63.2;2.61067273627
layer-2-particle-533;5.46e+04;1.05;63.8;0;35.9;0;0;0;0;0;0;0;0;0;0.734;0.667;6.01e+04;1.47;36.7;1.1;0.663;42.6;0.000709;0.495;19.3;0.000322;2.2;55.1;149;11.7;1.02e+04;30.8;1.23836279238
layer-2-particle-533;9.92e+04;0.978;97.6;0;2.4;0;0;0;0;0;0;0;0;0;1.1;0.954;1.15e+05;2.21;55.2;1.16;0.599;50.6;0.000442;0.534;21;0.000184;2.31;57.8;172;12.6;1.3e+04;31.7;1.50183876455
layer-2-particle-533;4.22e+05;1;100;0;0.008;0;0;0;0;0;0;0;0;0;1.13;1;4.76e+05;2.26;56.5;1.13;0.652;131;0.000275;0.382;68.2;0.000143;2.26;56.5;750;43;5.27e+04;126;5.58174595102
layer-1-particle-1399;1.41e+05;1.02;98.6;0;1.38;0;0;0;0;0;0;0;0;0;1.08;1.01;1.52e+05;2.17;54.2;1.08;0.717;86.1;0.000566;0.468;41.6;0.000274;2.15;53.8;271;23;1.75e+04;41.9;1.78249658193
layer-1-particle-1399;6.1e+04;0.98;46.9;0;39.9;0;0;0;0;0;0;0;0;0;0.616;0.459;8.19e+04;1.23;30.8;1.34;0.627;56.7;0.000692;0.553;22.5;0.000275;2.68;67.1;172;13.1;1.66e+04;33.8;1.72147485647
layer-1-particle-1399;2.23e+05;1.01;95.2;0;4.85;0;0;0;0;0;0;0;0;0;0.992;0.966;2.29e+05;1.98;49.6;1.03;0.651;146;0.000635;0.372;79.1;0.000345;2.06;51.4;440;39.8;2.89e+04;78.7;2.91540756513
layer-1-particle-1399;1.09e+05;1.01;46.5;0;40.2;0;0;0;0;0;0;0;0;0;0.615;0.471;1.43e+05;1.23;30.8;1.31;0.608;88.7;0.000621;0.483;41.6;0.000292;2.61;65.3;339;23.2;2.9e+04;63.8;2.93192193302
layer-1-particle-1399;4.12e+04;0.99;49.7;0;43.2;0;0;0;0;0;0;0;0;0;0.69;0.492;5.78e+04;1.38;34.5;1.4;0.673;38.4;0.000664;0.666;11.4;0.000197;2.81;70.2;117;8.17;1.05e+04;22.3;1.11024552195
layer-1-particle-1399;1.2e+05;1.02;99.9;0;0.109;0;0;0;0;0;0;0;0;0;1.16;1.01;1.37e+05;2.33;58.2;1.15;0.701;51.1;0.000372;0.57;19.1;0.000139;2.29;57.4;224;13.6;1.48e+04;34;1.5116958992
layer-1-particle-1399;1.45e+05;1.03;94.9;0;5.08;0;0;0;0;0;0;0;0;0;1.36;0.976;2.02e+05;2.72;68.1;1.4;0.665;35.3;0.000174;0.659;11.9;5.86e-05;2.79;69.8;289;7.67;1.86e+04;17;1.95306442292
layer-1-particle-1399;1.79e+05;1.01;99.6;0;0.355;0;0;0;0;0;0;0;0;0;1.27;1;2.25e+05;2.53;63.3;1.26;0.761;64.6;0.000287;0.623;21.8;9.68e-05;2.52;63;329;16.6;2.22e+04;29.8;2.27030939526
layer-1-particle-1399;3.38e+05;1.02;80.5;0;19.5;0;0;0;0;0;0;0;0;0;0.905;0.822;3.72e+05;1.81;45.3;1.1;0.647;166;0.000445;0.389;88.1;0.000237;2.2;55.1;746;48.3;5.14e+04;137;5.21155925554
layer-1-particle-1399;1.11e+05;1.03;99.9;0;0.0937;0;0;0;0;0;0;0;0;0;1.14;1.03;1.23e+05;2.28;56.9;1.1;0.684;93.9;0.000765;0.643;25.2;0.000205;2.2;55.1;225;23.8;1.35e+04;26.8;1.40244790269
layer-1-particle-1399;1.15e+05;0.991;99.9;0;0.121;0;0;0;0;0;0;0;0;0;1.05;0.99;1.22e+05;2.1;52.4;1.06;0.729;80.2;0.000658;0.489;34.6;0.000284;2.12;53;203;21.8;1.45e+04;34.7;1.47321785273
layer-1-particle-1399;1.18e+05;1.02;99.9;0;0.116;0;0;0;0;0;0;0;0;0;1.2;1.02;1.39e+05;2.39;59.8;1.18;0.728;68.1;0.000491;0.585;24;0.000173;2.35;58.8;225;16.9;1.45e+04;24.9;1.48028468931
layer-1-particle-1399;1.14e+05;1;99.9;0;0.0873;0;0;0;0;0;0;0;0;0;1.3;1;1.48e+05;2.61;65.1;1.3;0.734;37.2;0.00025;0.742;8.34;5.62e-05;2.6;65.1;208;9.08;1.42e+04;16.1;1.45306902688
layer-1-particle-1399;9.68e+04;0.974;83.6;0;16.4;0;0;0;0;0;0;0;0;0;1.02;0.814;1.22e+05;2.05;51.2;1.26;0.628;57.4;0.000471;0.524;25.3;0.000208;2.51;62.9;191;14.6;1.49e+04;31.3;1.56745742299
layer-1-particle-1399;1.91e+05;1.03;99.9;0;0.0685;0;0;0;0;0;0;0;0;0;1.27;1.02;2.36e+05;2.53;63.3;1.24;0.708;83.7;0.000354;0.644;22.6;9.56e-05;2.47;61.8;371;21.2;2.33e+04;34.4;2.35757876268
layer-1-particle-1399;1.1e+05;0.989;72.2;0;26.4;0;0;0;0;0;0;0;0;0;0.801;0.714;1.23e+05;1.6;40.1;1.12;0.613;75.8;0.000615;0.462;35.7;0.000289;2.24;56.1;238;19.9;1.92e+04;51.6;1.94568164552
layer-1-particle-1399;6.19e+05;1.01;100;0;0.017;0;0;0;0;0;0;0;0;0;1.15;1.01;7.02e+05;2.3;57.5;1.13;0.629;207;0.000294;0.307;126;0.000179;2.27;56.7;1.14e+03;62.7;7.64e+04;179;7.66935244411
layer-1-particle-1399;6.14e+04;1.02;43;0;41.2;0;0;0;0;0;0;0;0;0;0.695;0.438;9.75e+04;1.39;34.7;1.59;0.657;57.2;0.000587;0.551;24.4;0.00025;3.17;79.3;209;13.7;1.75e+04;29.8;1.83918780934
layer-1-particle-1399;1.55e+05;1.01;59.9;0;39.4;0;0;0;0;0;0;0;0;0;0.875;0.607;2.24e+05;1.75;43.7;1.44;0.617;90.2;0.000403;0.422;47.3;0.000211;2.88;72;431;26.7;3.2e+04;70.3;3.20902687754
layer-1-particle-1399;3.21e+05;1;99.4;0;0.61;0;0;0;0;0;0;0;0;0;0.907;0.998;2.92e+05;1.81;45.4;0.91;0.719;245;0.00084;0.474;97.1;0.000332;1.82;45.5;578;74.7;4.03e+04;108;4.03638250046
layer-1-particle-1399;1.15e+05;1;99.9;0;0.0969;0;0;0;0;0;0;0;0;0;1.21;1;1.38e+05;2.42;60.4;1.21;0.657;46.8;0.000338;0.566;18.6;0.000134;2.42;60.4;205;11.3;1.43e+04;28;1.49557311574
layer-1-particle-1399;4.04e+05;1.01;100;0;0.0465;0;0;0;0;0;0;0;0;0;1.19;1.01;4.76e+05;2.39;59.7;1.18;0.638;111;0.000234;0.392;58.4;0.000123;2.36;58.9;740;34.9;4.99e+04;107;4.95021491599
layer-1-particle-1399;5.31e+05;1.01;91.2;0;8.79;0;0;0;0;0;0;0;0;0;1.05;0.923;6.05e+05;2.1;52.5;1.14;0.653;212;0.00035;0.301;131;0.000217;2.28;56.9;1.05e+03;63.2;7.2e+04;178;7.22996015938
layer-1-particle-1399;1.45e+05;0.994;95.1;0;4.88;0;0;0;0;0;0;0;0;0;1.29;0.946;1.97e+05;2.58;64.4;1.36;0.69;37.4;0.00019;0.787;7.71;3.9e-05;2.72;68.1;269;7.82;1.91e+04;19;1.94027183979
layer-1-particle-1399;4.58e+04;1;46.4;0;41.2;0;0;0;0;0;0;0;0;0;0.91;0.464;8.97e+04;1.82;45.5;1.96;0.66;31.8;0.000354;0.673;10.1;0.000112;3.92;97.9;142;5.9;1.23e+04;13.8;1.33593033183
layer-1-particle-1399;1.39e+05;1.02;98.5;0;0.825;0;0;0;0;0;0;0;0;0;0.877;1;1.22e+05;1.75;43.9;0.877;0.72;151;0.00124;0.598;44.7;0.000368;1.75;43.9;263;41.7;1.73e+04;44.1;1.80148015944
layer-1-particle-1399;8.99e+04;1.01;57.5;0;40.8;0;0;0;0;0;0;0;0;0;1.13;0.581;1.75e+05;2.26;56.5;1.95;0.68;34.5;0.000197;0.644;11.8;6.77e-05;3.89;97.3;264;8.46;1.94e+04;21;2.01185990921
layer-1-particle-1399;1.11e+05;1.01;99.9;0;0.123;0;0;0;0;0;0;0;0;0;1.21;1.01;1.33e+05;2.41;60.4;1.2;0.604;60.4;0.000454;0.584;23.9;0.00018;2.4;60;205;12.4;1.38e+04;24.8;1.40079800055
layer-1-particle-1399;8.01e+04;0.996;65.5;0;31.9;0;0;0;0;0;0;0;0;0;0.662;0.652;8.13e+04;1.32;33.1;1.01;0.675;73;0.000898;0.442;37.2;0.000458;2.03;50.7;185;19.4;1.53e+04;43.7;1.57203821824
layer-1-particle-1399;1.48e+05;1;100;0;0.0314;0;0;0;0;0;0;0;0;0;1.14;1;1.68e+05;2.28;56.9;1.14;0.72;95.7;0.000569;0.584;33;0.000196;2.27;56.9;271;26.3;1.85e+04;35.2;1.8844775437
layer-4-particle-533;1.31e+05;1;99.9;0;0.0813;0;0;0;0;0;0;0;0;0;1.32;1;1.73e+05;2.64;65.9;1.32;0.735;45.8;0.000264;0.733;10.8;6.25e-05;2.64;65.9;236;9.58;1.64e+04;15.5;1.551854147
layer-4-particle-533;1.39e+05;1;99.9;0;0.136;0;0;0;0;0;0;0;0;0;0.915;1;1.27e+05;1.83;45.7;0.912;0.704;138;0.00109;0.665;35.4;0.00028;1.82;45.6;255;34.6;1.73e+04;44.8;1.63055725141
layer-4-particle-533;7.2e+04;1.02;59.9;0;39.7;0;0;0;0;0;0;0;0;0;1.1;0.613;1.29e+05;2.21;55.2;1.8;0.712;37.6;0.000291;0.691;10.9;8.45e-05;3.6;90;210;7.31;1.47e+04;16.9;1.38506364429
layer-4-particle-533;2.23e+05;1.01;99.9;0;0.0528;0;0;0;0;0;0;0;0;0;1.16;1.01;2.56e+05;2.33;58.2;1.15;0.654;92.4;0.000361;0.487;41.9;0.000163;2.29;57.4;414;24;2.75e+04;64.2;2.50740918845
layer-4-particle-533;4.57e+04;1.03;46.6;0;43.9;0;0;0;0;0;0;0;0;0;0.776;0.479;7.41e+04;1.55;38.8;1.62;0.686;52;0.000701;0.653;17.3;0.000233;3.24;81.1;153;9.91;1.19e+04;20.3;1.15479061866
layer-4-particle-533;1.43e+05;1.03;99.9;0;0.102;0;0;0;0;0;0;0;0;0;1.3;1.03;1.8e+05;2.61;65.2;1.26;0.751;62.8;0.000348;0.666;17.6;9.78e-05;2.52;63.1;281;16.9;1.73e+04;24.4;1.64037021547
layer-4-particle-533;8.43e+04;1.01;60.1;0;36.7;0;0;0;0;0;0;0;0;0;0.903;0.607;1.25e+05;1.81;45.2;1.49;0.644;59.4;0.000474;0.689;16.6;0.000132;2.97;74.4;229;12.3;1.73e+04;35.2;1.5814638051
layer-4-particle-533;1.29e+05;1.01;99.8;0;0.163;0;0;0;0;0;0;0;0;0;1.04;1.01;1.34e+05;2.09;52.1;1.03;0.762;85.9;0.000643;0.467;41.6;0.000311;2.07;51.6;237;24.9;1.6e+04;39.3;1.48727096257
layer-4-particle-533;2.27e+05;1.01;92;0;7.96;0;0;0;0;0;0;0;0;0;0.998;0.926;2.45e+05;2;49.9;1.08;0.654;127;0.00052;0.502;56.1;0.00023;2.15;53.9;447;38.3;3.06e+04;85.2;2.83208912163
layer-4-particle-533;9.71e+04;1.02;86.4;0;12.8;0;0;0;0;0;0;0;0;0;1.02;0.878;1.13e+05;2.04;51;1.16;0.681;67.6;0.0006;0.621;23.6;0.000209;2.32;58.1;197;14.3;1.38e+04;33.9;1.29538822196
layer-4-particle-533;1.69e+05;1;100;0;0.0383;0;0;0;0;0;0;0;0;0;1.16;1;1.95e+05;2.32;58.1;1.16;0.644;79.3;0.000407;0.529;33.1;0.00017;2.31;57.8;307;19.1;2.1e+04;47.5;1.94083514526
layer-4-particle-533;8.75e+04;0.983;59.4;0;40;0;0;0;0;0;0;0;0;0;0.669;0.584;1e+05;1.34;33.4;1.15;0.617;75.8;0.000756;0.565;29.7;0.000296;2.29;57.3;219;18;1.88e+04;53.4;1.77325364617
layer-4-particle-533;9.97e+04;1;71.8;0;25.9;0;0;0;0;0;0;0;0;0;0.835;0.719;1.16e+05;1.67;41.8;1.16;0.679;68;0.000587;0.53;29.1;0.000251;2.32;58.1;222;16.9;1.73e+04;45.5;1.65398224863
layer-4-particle-533;7.84e+04;1;47.4;0;45.8;0;0;0;0;0;0;0;0;0;0.65;0.474;1.07e+05;1.3;32.5;1.37;0.643;68.9;0.000642;0.502;31.3;0.000291;2.74;68.6;239;17.1;2.07e+04;44.9;1.96700472977
layer-4-particle-533;2.41e+05;1.01;100;0;0.0404;0;0;0;0;0;0;0;0;0;1.24;1;2.97e+05;2.47;61.8;1.23;0.689;86.9;0.000293;0.455;45.3;0.000153;2.46;61.5;430;19.4;3e+04;46.3;2.74532545176
layer-4-particle-533;3.4e+05;1.02;100;0;0.0343;0;0;0;0;0;0;0;0;0;1.15;1.02;3.86e+05;2.31;57.7;1.14;0.723;206;0.000534;0.599;64.5;0.000167;2.27;56.8;653;57.5;4.18e+04;78.7;3.80814417505
layer-4-particle-533;2.6e+05;1.01;94;0;6.01;0;0;0;0;0;0;0;0;0;1.26;0.949;3.44e+05;2.51;62.8;1.32;0.644;76.4;0.000222;0.657;25.9;7.52e-05;2.65;66.2;497;15.2;3.42e+04;34.1;3.10665191316
layer-4-particle-533;4.77e+04;1.02;49.3;0;42.5;0;0;0;0;0;0;0;0;0;0.712;0.504;6.74e+04;1.42;35.6;1.41;0.664;47.6;0.000707;0.728;11.6;0.000173;2.83;70.7;149;9.38;1.18e+04;25.7;1.13881387811
layer-4-particle-533;1.24e+05;1.02;97.2;0;2.79;0;0;0;0;0;0;0;0;0;1.36;0.991;1.7e+05;2.73;68.1;1.38;0.765;28.6;0.000168;0.785;5.78;3.4e-05;2.75;68.8;244;5.73;1.56e+04;15;1.43983350458
layer-4-particle-533;2.05e+05;0.998;99.9;0;0.0524;0;0;0;0;0;0;0;0;0;1.14;0.998;2.35e+05;2.29;57.2;1.15;0.72;121;0.000512;0.531;48;0.000204;2.29;57.3;369;33.7;2.57e+04;48.9;2.36297065725
layer-4-particle-533;4.84e+04;1.01;47.9;0;41.8;0;0;0;0;0;0;0;0;0;0.937;0.485;9.35e+04;1.87;46.9;1.93;0.704;35.9;0.000384;0.693;10.7;0.000115;3.86;96.5;155;6.24;1.25e+04;14.2;1.23956721057
layer-4-particle-533;1.49e+05;1.01;97.5;0;2.46;0;0;0;0;0;0;0;0;0;1.13;0.986;1.71e+05;2.27;56.6;1.15;0.696;68.4;0.0004;0.544;28.6;0.000167;2.3;57.4;280;19.8;1.89e+04;47.1;1.79261725911
layer-4-particle-533;1.67e+05;1.01;99.3;0;0.666;0;0;0;0;0;0;0;0;0;1.27;1;2.13e+05;2.54;63.6;1.27;0.725;72.2;0.000339;0.66;22;0.000103;2.54;63.6;311;16.1;2.09e+04;27.8;1.9128178321
layer-4-particle-533;1.79e+05;0.995;93.1;0;6.94;0;0;0;0;0;0;0;0;0;1.11;0.926;2.15e+05;2.22;55.5;1.2;0.743;122;0.000569;0.627;37;0.000172;2.4;60;342;25.3;2.42e+04;39.5;2.23968306494
layer-4-particle-533;1.44e+05;1;99.9;0;0.0586;0;0;0;0;0;0;0;0;0;1.18;1;1.7e+05;2.37;59.2;1.18;0.671;66.2;0.000389;0.529;29.1;0.000171;2.36;58.9;259;14.2;1.8e+04;34.8;1.68230121524
layer-4-particle-533;1.36e+05;1.01;99.9;0;0.0751;0;0;0;0;0;0;0;0;0;1.18;1.01;1.59e+05;2.36;59;1.17;0.623;71.3;0.000449;0.69;20;0.000126;2.33;58.4;254;14.3;1.68e+04;37.6;1.56661140104
layer-4-particle-533;1.62e+05;1.02;99.7;0;0.348;0;0;0;0;0;0;0;0;0;1.09;1.02;1.74e+05;2.19;54.6;1.07;0.719;104;0.000597;0.53;44.2;0.000255;2.15;53.6;311;27.7;1.99e+04;50.6;1.83940153972
layer-4-particle-533;7.32e+04;1.03;63.1;0;36.6;0;0;0;0;0;0;0;0;0;0.893;0.648;1.01e+05;1.79;44.6;1.38;0.66;54.8;0.000543;0.628;19.1;0.000189;2.76;68.9;199;12.7;1.41e+04;31.3;1.29347279907
layer-4-particle-533;5.78e+04;0.976;54.6;0;41;0;0;0;0;0;0;0;0;0;0.678;0.533;7.35e+04;1.36;33.9;1.27;0.688;60.3;0.000821;0.624;19.6;0.000266;2.54;63.6;148;13;1.36e+04;28.7;1.32318615898
layer-4-particle-533;3.08e+05;1.01;80.7;0;18.8;0;0;0;0;0;0;0;0;0;1.07;0.814;4.03e+05;2.13;53.3;1.31;0.748;150;0.000373;0.441;74.4;0.000185;2.62;65.4;678;48.8;4.73e+04;98.9;4.31617314386
layer-5-particle-2266;3.96e+05;1.02;94;0;6;0;0;0;0;0;0;0;0;0;1.16;0.955;4.81e+05;2.32;58;1.21;0.683;357;0.000742;0.73;84.1;0.000175;2.43;60.7;799;56.7;5.18e+04;85;1.88415705297
layer-5-particle-2266;9.19e+05;1.01;93.2;0;6.8;0;0;0;0;0;0;0;0;0;1.32;0.939;1.29e+06;2.64;65.9;1.4;0.696;226;0.000175;0.71;62.6;4.85e-05;2.81;70.2;1.79e+03;45.9;1.22e+05;113;4.40110346762
layer-5-particle-2266;3.68e+05;1.01;99.9;0;0.124;0;0;0;0;0;0;0;0;0;1.33;1.01;4.87e+05;2.66;66.5;1.32;0.722;176;0.000361;0.826;28.7;5.9e-05;2.64;66.1;679;24.9;4.57e+04;47.1;1.64528902512
layer-5-particle-2266;1.25e+05;1.02;51.5;0;43.2;0;0;0;0;0;0;0;0;0;0.713;0.522;1.7e+05;1.43;35.6;1.36;0.731;155;0.000909;0.747;36.7;0.000216;2.73;68.2;372;22;2.99e+04;61.6;1.09425581672
layer-5-particle-2266;9.02e+04;1.01;37.8;0;36.8;0;0;0;0;0;0;0;0;0;0.684;0.384;1.61e+05;1.37;34.2;1.78;0.733;138;0.00086;0.802;27.2;0.000169;3.57;89.1;305;13.2;2.94e+04;32.3;1.07110359777
layer-5-particle-2266;1.28e+05;1.01;50.3;0;44.4;0;0;0;0;0;0;0;0;0;0.982;0.509;2.47e+05;1.96;49.1;1.93;0.777;114;0.00046;0.831;18.9;7.64e-05;3.85;96.4;397;14.5;3.15e+04;36.3;1.15964893656
layer-5-particle-2266;4.3e+05;1.01;98.2;0;1.82;0;0;0;0;0;0;0;0;0;1.08;0.989;4.7e+05;2.16;54;1.09;0.633;365;0.000777;0.6;137;0.000292;2.18;54.6;797;61.9;5.44e+04;130;1.97121474548
layer-5-particle-2266;1.32e+05;1.01;51.3;0;44.5;0;0;0;0;0;0;0;0;0;0.737;0.518;1.88e+05;1.47;36.9;1.42;0.656;207;0.0011;0.75;49.9;0.000266;2.85;71.1;396;24.1;3.18e+04;64.5;1.19029556846
layer-5-particle-2266;2.16e+05;1.01;76;0;23.8;0;0;0;0;0;0;0;0;0;0.893;0.767;2.51e+05;1.79;44.6;1.16;0.662;226;0.000897;0.678;68.2;0.000271;2.33;58.2;486;35;3.52e+04;92.2;1.30163552892
layer-5-particle-2266;4.61e+05;1.01;74.9;0;22.4;0;0;0;0;0;0;0;0;0;0.697;0.758;4.24e+05;1.39;34.9;0.92;0.684;587;0.00138;0.664;159;0.000374;1.84;46;1.03e+03;135;7.61e+04;197;2.76315784284
layer-5-particle-2266;3.95e+05;1;99.9;0;0.0797;0;0;0;0;0;0;0;0;0;1.17;0.999;4.63e+05;2.34;58.6;1.17;0.627;265;0.000572;0.77;57.3;0.000124;2.34;58.6;720;36.3;4.94e+04;107;1.79642510995
layer-5-particle-2266;6.47e+05;1.01;94.8;0;5.21;0;0;0;0;0;0;0;0;0;1.12;0.953;7.58e+05;2.23;55.8;1.17;0.638;335;0.000442;0.518;146;0.000192;2.34;58.6;1.23e+03;76;8.49e+04;211;3.04907149655
layer-5-particle-2266;4.56e+05;1.01;84.4;0;15.1;0;0;0;0;0;0;0;0;0;0.993;0.851;5.32e+05;1.99;49.6;1.17;0.756;309;0.000581;0.635;107;0.000201;2.33;58.3;943;71.7;6.69e+04;146;2.41856130662
layer-5-particle-2266;1.58e+05;1.01;64.3;0;35.6;0;0;0;0;0;0;0;0;0;0.928;0.646;2.26e+05;1.86;46.4;1.44;0.671;189;0.000836;0.73;49.1;0.000217;2.87;71.8;414;22.8;3.05e+04;58;1.11521534122
layer-5-particle-2266;1.93e+05;1.01;67.1;0;32.7;0;0;0;0;0;0;0;0;0;0.731;0.678;2.09e+05;1.46;36.6;1.08;0.691;248;0.00119;0.646;82.6;0.000396;2.16;54;464;41.7;3.57e+04;98.4;1.31787716429
layer-5-particle-2266;3.62e+05;1;98.1;0;1.91;0;0;0;0;0;0;0;0;0;1.33;0.982;4.89e+05;2.65;66.3;1.35;0.714;163;0.000333;0.849;24;4.9e-05;2.7;67.5;666;18.9;4.61e+04;42.6;1.66229515285
layer-5-particle-2266;3.02e+05;1.01;86.3;0;13.5;0;0;0;0;0;0;0;0;0;0.928;0.872;3.22e+05;1.86;46.4;1.06;0.692;381;0.00119;0.767;73.4;0.000228;2.13;53.2;637;71.8;4.33e+04;105;1.56335729995
layer-5-particle-2266;8.21e+05;1.01;99.9;0;0.0595;0;0;0;0;0;0;0;0;0;1.28;1.01;1.04e+06;2.57;64.2;1.27;0.748;313;0.000299;0.703;82.4;7.89e-05;2.54;63.6;1.52e+03;70;1.02e+05;122;3.66130098652
layer-5-particle-2266;2.88e+05;1;89;0;11;0;0;0;0;0;0;0;0;0;1.04;0.893;3.35e+05;2.07;51.8;1.16;0.618;270;0.000808;0.732;66.6;0.000199;2.32;58.1;580;38;4.04e+04;102;1.47058299866
layer-5-particle-2266;3.51e+05;1.01;99;0;0.983;0;0;0;0;0;0;0;0;0;1;1;3.51e+05;2.01;50.1;0.998;0.69;353;0.00101;0.653;112;0.000319;2;49.9;662;67.5;4.37e+04;118;1.59777989238
layer-5-particle-2266;4e+05;0.998;99.9;0;0.129;0;0;0;0;0;0;0;0;0;1.17;0.997;4.69e+05;2.34;58.5;1.17;0.734;286;0.000609;0.663;86.4;0.000184;2.35;58.6;716;53;5.02e+04;85.6;1.81394429334
layer-5-particle-2266;3.51e+05;1.02;99.9;0;0.123;0;0;0;0;0;0;0;0;0;1.17;1.02;4.05e+05;2.34;58.6;1.15;0.676;339;0.000837;0.731;77.6;0.000192;2.31;57.7;672;60.5;4.32e+04;77.1;1.56490650574
layer-5-particle-2266;3.48e+05;1.02;99.9;0;0.124;0;0;0;0;0;0;0;0;0;1.24;1.02;4.23e+05;2.47;61.8;1.22;0.609;273;0.000645;0.76;64;0.000151;2.43;60.8;648;27.8;4.28e+04;67.2;1.54945664682
layer-5-particle-2266;5.19e+05;1.01;99;0;0.979;0;0;0;0;0;0;0;0;0;0.977;1;5.07e+05;1.95;48.8;0.977;0.696;509;0.001;0.633;159;0.000313;1.95;48.8;975;116;6.49e+04;173;2.34043537164
layer-5-particle-2266;3.58e+05;1.02;99.9;0;0.14;0;0;0;0;0;0;0;0;0;1.18;1.02;4.16e+05;2.36;59;1.16;0.706;213;0.000513;0.643;71.9;0.000173;2.32;58.1;669;36;4.4e+04;93.9;1.60049184505
layer-5-particle-2266;5.42e+05;1.01;99.9;0;0.0845;0;0;0;0;0;0;0;0;0;1.2;1.01;6.47e+05;2.41;60.2;1.19;0.681;243;0.000376;0.635;82.3;0.000127;2.39;59.6;990;47.5;6.72e+04;135;2.42534999018
layer-5-particle-2266;3.43e+05;1.02;99;0;1.02;0;0;0;0;0;0;0;0;0;1.27;1.01;4.32e+05;2.53;63.3;1.26;0.66;262;0.000607;0.818;45.5;0.000105;2.52;62.9;654;29.6;4.26e+04;54.1;1.57420392747
layer-5-particle-2266;1.63e+05;1.01;64.2;0;35.6;0;0;0;0;0;0;0;0;0;1.18;0.647;2.97e+05;2.36;58.9;1.82;0.723;147;0.000495;0.821;25.6;8.61e-05;3.65;91.1;433;14.9;3.15e+04;31.3;1.1397262434
layer-5-particle-2266;4.17e+05;1;98.5;0;1.47;0;0;0;0;0;0;0;0;0;1.07;0.985;4.53e+05;2.14;53.5;1.09;0.637;367;0.000811;0.625;130;0.000287;2.17;54.3;755;60.4;5.29e+04;125;1.91811968796
layer-5-particle-2266;4.99e+05;1.01;99.9;0;0.0745;0;0;0;0;0;0;0;0;0;1.16;1.01;5.75e+05;2.32;57.9;1.15;0.662;276;0.000479;0.626;95.6;0.000166;2.3;57.6;909;49.2;6.21e+04;140;2.25466250529
layer-1-particle-2266;1.38e+05;0.997;99.8;0;0.186;0;0;0;0;0;0;0;0;0;1.24;0.995;1.72e+05;2.48;62;1.25;0.664;64.7;0.000376;0.551;27.7;0.000161;2.49;62.3;246;13.5;1.74e+04;28.3;1.54700084955
layer-1-particle-2266;1.52e+05;1.01;96.4;0;3.62;0;0;0;0;0;0;0;0;0;1.34;0.973;2.09e+05;2.68;66.9;1.38;0.691;51.7;0.000248;0.756;12.1;5.82e-05;2.75;68.8;289;8.49;1.95e+04;17.8;1.73336275705
