Configuration;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C3res%;C6res%;C6res%;C7res%;C7res%;C8res%;C9res%;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);WRITE;SLOWDOWN
layer-1-particle-966;5.31e+04;0.982;46.8;0;40.5;0;0;0;0;0;0;0;0;0;0.62;0.46;7.16e+04;1.24;31;1.35;0.64;44.7;0.000625;0.511;19.1;0.000267;2.7;67.4;149;11.7;1.44e+04;29.7;1.68897078935
layer-1-particle-966;6.97e+04;1.01;44.2;0;40.2;0;0;0;0;0;0;0;0;0;0.612;0.449;9.5e+04;1.22;30.6;1.36;0.64;46.6;0.000491;0.592;15.9;0.000168;2.73;68.1;216;12.9;1.94e+04;41.8;2.19580936688
layer-1-particle-966;1.65e+05;0.993;97.8;0;2.2;0;0;0;0;0;0;0;0;0;1.26;0.971;2.13e+05;2.51;62.8;1.29;0.706;57.6;0.00027;0.554;21.1;9.87e-05;2.59;64.7;302;16.2;2.13e+04;27.5;2.35083436978
layer-1-particle-966;1.48e+05;1.01;99.9;0;0.0611;0;0;0;0;0;0;0;0;0;1.27;1.01;1.85e+05;2.53;63.3;1.25;0.699;68;0.000369;0.681;16.9;9.14e-05;2.5;62.4;278;17.3;1.82e+04;24.1;2.05878162325
layer-1-particle-966;1.06e+05;0.998;99.9;0;0.141;0;0;0;0;0;0;0;0;0;1.28;0.997;1.35e+05;2.55;63.8;1.28;0.777;34.3;0.000254;0.702;9.08;6.72e-05;2.56;64;187;9.09;1.32e+04;15.8;1.52241580348
layer-1-particle-966;5.11e+04;1.05;63.7;0;35.4;0;0;0;0;0;0;0;0;0;0.744;0.665;5.72e+04;1.49;37.2;1.12;0.699;41.1;0.000718;0.523;17.7;0.000309;2.24;55.9;139;11.4;9.6e+03;28.4;1.14717902521
layer-1-particle-966;1.18e+05;0.997;99.9;0;0.109;0;0;0;0;0;0;0;0;0;1.07;0.996;1.27e+05;2.15;53.7;1.08;0.705;71.9;0.000565;0.439;35.2;0.000276;2.16;53.9;212;21.3;1.48e+04;34.9;1.67167619372
layer-1-particle-966;2.05e+05;1.01;96.3;0;3.73;0;0;0;0;0;0;0;0;0;1.07;0.976;2.26e+05;2.15;53.7;1.1;0.684;87.7;0.000389;0.42;44.8;0.000199;2.2;55;391;27.7;2.63e+04;68.7;2.87302861558
layer-1-particle-966;6.69e+04;1.05;46.9;0;43.4;0;0;0;0;0;0;0;0;0;0.663;0.49;9.04e+04;1.33;33.1;1.35;0.602;57.2;0.000632;0.435;29.7;0.000329;2.7;67.6;225;14.7;1.71e+04;38.2;2.00633382216
layer-1-particle-966;1.07e+05;1.02;91.8;0;8.16;0;0;0;0;0;0;0;0;0;1.06;0.935;1.22e+05;2.12;53.1;1.14;0.678;63.9;0.000525;0.35;37.1;0.000305;2.27;56.8;214;17.4;1.43e+04;35.9;1.60959696526
layer-1-particle-966;1.05e+05;1.05;99.9;0;0.0819;0;0;0;0;0;0;0;0;0;1.2;1.04;1.21e+05;2.39;59.8;1.15;0.668;46.8;0.000388;0.518;20.4;0.000169;2.29;57.3;205;12;1.26e+04;27.3;1.43632543717
layer-5-particle-1833;3.9e+05;1.01;98.6;0;1.39;0;0;0;0;0;0;0;0;0;1.09;0.993;4.29e+05;2.18;54.6;1.1;0.682;271;0.000633;0.51;125;0.000291;2.2;55;713;52.9;4.91e+04;116;2.11796351104
layer-5-particle-1833;1.36e+05;1;56.9;0;38.4;0;0;0;0;0;0;0;0;0;0.725;0.571;1.73e+05;1.45;36.2;1.27;0.702;177;0.00103;0.692;51.9;0.000301;2.54;63.4;367;30.3;2.98e+04;66.5;1.29948574065
layer-5-particle-1833;2.96e+05;1.01;98.5;0;1.54;0;0;0;0;0;0;0;0;0;1.1;0.995;3.28e+05;2.21;55.2;1.11;0.638;225;0.000684;0.711;61.1;0.000186;2.22;55.5;561;35.3;3.72e+04;92.2;1.61327027036
