Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
hash-6-itr-9-probe-12,2342.0,1.066,0.2284,0.1392,3846.0,0.4572,11.44,1.648,0.5092,2.828,0.0007358,0.3494,1.812,0.0004728,3.29,82.3,0.9044,2104.0,0.042698
hash-6-itr-9-probe-14,2420.0,1.064,0.2328,0.1436,3930.0,0.4656,11.64,1.626,0.5036,2.986,0.0007614,0.3724,1.856,0.000477,3.25,81.26,0.9282,2110.0,0.04579
hash-7-itr-7-probe-8,2357.5,1.0625,0.229,0.14025,3845.0,0.45825,11.45,1.635,0.504,2.935,0.00076375,0.389,1.775,0.000464,3.2725,81.8,0.91725,2100.0,0.0508175
hash-6-itr-9-probe-16,2146.0,0.968,0.21,0.1272,3546.0,0.4198,10.516,1.656,0.552,2.822,0.0008002,0.3572,1.808,0.0005144,3.308,82.74,0.8986,2110.0,0.039368
hash-5-itr-19-probe-14,2176.66666667,0.971666666667,0.225166666667,0.127333333333,3840.0,0.45,11.2333333333,1.765,0.597833333333,1.95333333333,0.000517833333333,0.382833333333,1.19983333333,0.000320166666667,3.52666666667,88.2166666667,0.713166666667,2141.66666667,0.0355466666667
hash-6-itr-17-probe-20,2196.66666667,0.974,0.2185,0.128166666667,3743.33333333,0.4375,10.9533333333,1.70333333333,0.518,2.535,0.000693833333333,0.361,1.64,0.000452,3.41,85.2166666667,0.846833333333,2140.0,0.0372166666667
hash-5-itr-19-probe-16,2223.33333333,1.00916666667,0.231333333333,0.1325,3885.0,0.462666666667,11.56,1.75,0.577666666667,2.11166666667,0.000563166666667,0.369666666667,1.32033333333,0.000349666666667,3.50166666667,87.55,0.745166666667,2100.0,0.0383883333333
hash-8-itr-17-probe-8,2248.33333333,1.006,0.225666666667,0.131166666667,3863.33333333,0.451333333333,11.29,1.71833333333,0.546833333333,2.30166666667,0.000607166666667,0.382,1.439,0.000382,3.43833333333,85.9333333333,0.794666666667,2140.0,0.036335
hash-8-itr-9-probe-20,2464.0,1.0528,0.2238,0.1436,3850.0,0.4478,11.18,1.562,0.4734,3.726,0.000983,0.3476,2.434,0.0006474,3.124,78.08,1.093,2146.0,0.05456
hash-5-itr-19-probe-12,2213.33333333,0.993666666667,0.2285,0.129666666667,3891.66666667,0.456666666667,11.4166666667,1.75666666667,0.548,2.0,0.000520333333333,0.3795,1.22516666667,0.0003205,3.51666666667,87.8833333333,0.722333333333,2131.66666667,0.03615
