,EXEC,L2MISS,L3MISS,L3HIT,MEM,L3MPI,L2MPI,INSTnom%,IPC,PhysIPC%,INST,FREQ,GT,Pred
3758,0.40536504424778763,0.013083525493210353,0.4385074963363769,0.32930376728659994,0.5186189983523009,0.42634519259041453,0.013493178999586608,0.40549410029498534,0.9469335875436922,0.9481552162849872,0.3751507917274106,0.31952303961196443,1.0256819864322089,1.021296804910071
1984,0.2777286135693215,0.013339098129643864,0.4238530041708939,0.36618979494515963,0.5514580219948653,0.6102126825443496,0.02035551880942538,0.27772861356932155,0.6506196377502382,0.650445292620865,0.5468436399575476,0.3193209377526273,1.0255610209638122,1.0215384495753663
1020,0.2785029498525074,0.013307712016397643,0.4015330853342351,0.39756795422031477,0.519140131049546,0.5741448593550916,0.02020256304257958,0.2785029498525074,0.6514140451223386,0.6513994910941475,0.5463955441837096,0.31952303961196443,1.0280453011782795,1.0284268866737816
385,0.6331489675516223,0.018880988982833722,0.3785368053207079,0.5083929422985217,0.46004904778327016,0.2375771831814172,0.012546506821000414,0.6334070796460177,0.9103908484270732,0.9109414758269717,0.39077155088199184,0.5196038803556992,1.039518874685868,1.0680078425791866
3666,0.27605088495575214,0.014460030745580325,0.477510990869124,0.34382451120648544,0.6031574510480132,0.6835244535920808,0.021942951632906164,0.2759218289085546,0.6442643787734349,0.6444020356234097,0.5516346079796215,0.3201293451899757,1.0233772767464404,1.0283519246431485
3694,0.2778576696165191,0.014047527542915708,0.45361289595310555,0.35667620410109685,0.5739357014216193,0.6451043810643927,0.02119884249689955,0.27824483775811204,0.6482364156339371,0.6491730279898219,0.548399281845614,0.31972514147130154,1.0249219395777112,1.0278608994955547
2313,0.9070796460176989,0.28401229823212915,0.3385670805352915,0.9776824034334763,0.42242753682689305,0.1487461670937119,0.13160101576802694,0.9064159292035399,0.7033909846111942,0.7035169029443835,0.5063317571047335,0.9626400277168264,1.204207327286983,1.2165639635541785
2269,0.6256637168141592,0.023797079169869333,0.4709406251509735,0.49184549356223173,0.552967336147012,0.29638341664216405,0.015906218626350912,0.6254424778761062,0.8811112624268008,0.8809978189749179,0.4046001661288968,0.5318166069984986,1.0526345038285894,1.0538481539996947
3588,0.27540560471976405,0.013621573148859853,0.4495547288918949,0.3431568907963758,0.5716978963099207,0.6562775654219347,0.02109549400578752,0.27566371681415935,0.6466476008897363,0.6466284987277353,0.5500743831640059,0.3181083265966046,1.0257000007249508,1.02213328254675
3290,0.4049778761061947,0.013953369203177045,0.47638372224101,0.31595135908440625,0.5566632179944054,0.4630010781142801,0.014381976023150063,0.40497787610619473,0.9437559580552906,0.9452926208651399,0.3767407449333134,0.3201293451899757,1.0201980090529101,1.0248872304446537
