,EXEC,L2MISS,MEM,L2MPI,IPC,PhysIPC%,L3HIT,L3MISS,L3MPI,FREQ,INSTnom%,INST,GT,Pred
160,0.2823746312684364,0.011922239303100185,0.4895658504808981,0.017850351384869775,0.6561804893549411,0.6568066157760813,0.401239866475918,0.3562168864840491,0.5025972753111828,0.3211398544866612,0.28263274336283184,0.5416773769854581,1.0232789208999928,1.024021375550603
587,0.4123893805309734,0.7767102229054574,0.48395053618642536,0.7969054508947027,0.3717826501429933,0.3720010905125408,0.9912732474964234,0.3940286970385043,0.3824085353047422,0.828386649728606,0.41238938053097346,0.9565092088080334,1.1120619869360295,1.0969038812547982
1430,0.4082042772861356,0.011003074558032283,0.42694562593401536,0.011380735841256717,0.955672068636797,0.955152671755725,0.35717691940867907,0.3530605343253298,0.3446045280799765,0.3189167340339531,0.4078171091445428,0.37209561527397217,1.0261978950000767,1.0212199184014688
2055,0.970132743362832,0.2809377401998463,0.4127765096152267,0.1224236697572787,0.7435653002859868,0.7437295528898584,0.9786838340486411,0.3223344122904488,0.13280127693535515,0.9749393694421989,0.9701327433628317,0.47825981642019383,1.1556952586303708,1.1294810317849455
841,0.6393436578171091,0.020253010504739943,0.41880292753956394,0.013365026870607689,0.8992691452176674,0.9004452926208651,0.5048879351454459,0.3487769135384962,0.21797510536116826,0.5317299919159257,0.6390855457227139,0.3956281110252831,1.0361359072578504,1.0564932288659443
3445,0.6359882005899704,0.01836535997950295,0.4154615473042878,0.012195121951219511,0.92310136638068,0.9236641221374046,0.5110634239389605,0.3338969676473903,0.20876212878565123,0.5159660468876313,0.6365044247787611,0.38672085960654207,1.073254860411757,1.0600180757572903
3027,0.9795353982300883,0.28314757878554964,0.3198465340843775,0.12190988011575034,0.7525023832221163,0.7532204198473282,0.9815271816881259,0.2809773419005749,0.11434872096442222,0.9716046887631365,0.9793418141592921,0.47329462989840354,1.337834916640405,1.2976314705690286
1691,0.41710914454277287,0.789584934665642,0.44565275702187995,0.7995039272426623,0.3804416904988878,0.3807251908396946,0.9920839294229854,0.368616841393304,0.35224933842987355,0.8183104284559418,0.41710914454277287,0.9352307261915292,1.104593814427829,1.1042956713775194
2341,0.6408923303834807,0.018325006405329237,0.41817067095834776,0.011856138900372052,0.9088020336828726,0.9106234096692112,0.507725321888412,0.3444932927516626,0.2101342742330687,0.5266774454324978,0.6408923303834808,0.3911640058055152,1.0655822782417572,1.0579877087128002
2777,0.4178834808259587,0.7425057647963106,0.38639690385868103,0.7424555601488219,0.38203050524308857,0.38231552162849863,0.9920839294229854,0.34359147784917143,0.3246104087033226,0.8160873080032335,0.4176253687315634,0.9314869458535763,1.1116366717271813,1.1116586412179128
3225,0.9148230088495573,0.2847809377401999,0.33867275384691187,0.13135297938935805,0.7047528258205091,0.7054252998909487,0.9828326180257511,0.2659065655345668,0.11638593690931234,0.9687030834969396,0.9137168141592921,0.504867709202487,1.2645698690699096,1.2692441549288698
736,0.28108407079646014,0.012352677427619781,0.51343066252826,0.018520049607275737,0.6577693040991419,0.658237913486005,0.3775393419170243,0.3834967872844099,0.5421934725080858,0.31911883589329015,0.2813421828908555,0.540942697617902,1.0274155169910526,1.0244711471871133
3904,0.2809550147492625,0.01209710479118627,0.504862627888263,0.01808185200496073,0.6569748967270415,0.6576017811704835,0.3788745827372438,0.3751549994363656,0.5288640595903165,0.3189167340339531,0.28082595870206495,0.5410732758215338,1.0223224238690831,1.0248712610840485
