,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2HIT,L2MPI,L3HIT,PhysIPC%,MEM,GT,Pred
592,1.05,0.349666666667,0.262333333333,0.7508342602896279,0.174666666667,1.33333333333,0.664,0.000998666666667,0.325,0.6659999999999999,1.5262999999967,1.02019565177,1.0277200441131302
1699,1.05,0.349,0.263,0.7522573363421262,0.174333333333,1.33,0.653666666667,0.000971,0.319333333333,0.665,1.4897666666633,1.02066788529,1.0261322310548275
594,1.05,0.34700000000000003,0.262,0.7535491198177171,0.17366666666700004,1.32333333333,0.675666666667,0.000995333333333,0.317333333333,0.6629999999999999,1.52136666667,1.01951392545,1.0276027715403686
5889,1.00242857143,1.09,0.919285714286,0.844961240307217,0.5442857142859999,1.1842857142899998,0.680428571429,0.00314,0.968571428571,0.592285714286,0.8374042857144001,1.25840007064,1.306075532800061
6215,1.009875,1.052125,0.9295,0.8842105263157894,0.52575,1.1325,0.7040000000000001,0.00295375,0.96925,0.565875,0.7858499999999999,1.44462120186,1.3634731283340893
1673,1.05,0.526,0.262333333333,0.4985218034002218,0.262666666667,2.00333333333,0.629,0.0005256666666670001,0.307,1.002,1.16583333333,1.02284119766,1.0195299523614603
7455,1.04,1.2975,0.99825,0.7685858021240917,0.64925,1.3025,0.720875,0.000865375,0.890625,0.651375,0.8325937499999999,1.33543308321,1.3492874231981977
4522,1.05,0.366,0.263333333333,0.7197655833768141,0.183,1.39,0.7316666666670001,0.000633666666667,0.395333333333,0.694666666667,1.0004,1.0205400247399998,1.0321839929682137
5781,1.01275,0.962125,0.897375,0.9312452253628725,0.48112499999999997,1.074375,0.724625,0.0013365,0.837375,0.53675,0.8874725,1.34602122967,1.24864761766107
6201,1.0055,1.19,0.8845,0.7436208991494532,0.59475,1.34625,0.8955,0.00048625,0.422875,0.6722499999999999,0.82548,1.30514610884,1.2880677177573776
3189,1.05,0.481666666667,0.264333333333,0.5484394000812924,0.240666666667,1.82666666667,0.7296666666670001,0.00152333333333,0.707333333333,0.9123333333329999,1.4152,1.0291226245,1.0188798438388451
4861,1.05,0.366333333333,0.262333333333,0.7172634954560569,0.183,1.39333333333,0.7476666666670001,0.0006259999999999999,0.387333333333,0.6976666666670001,0.9847333333330001,1.02330603736,1.0330876951619905
1404,1.05,0.35700000000000004,0.263,0.7364975450081833,0.178333333333,1.35666666667,0.679,0.0008439999999999999,0.323333333333,0.678666666667,1.34233333333,1.01859997622,1.0221550000163706
1181,1.05,0.530333333333,0.261333333333,0.492994100295354,0.265,2.03,0.6709999999999999,0.0004306666666670001,0.323333333333,1.015,0.9686199999997,1.02005792455,1.0286971262229787
3965,1.05,0.348666666667,0.262333333333,0.7536557930260104,0.174,1.3266666666700002,0.639,0.000970666666667,0.333666666667,0.663333333333,1.4761,1.01154318779,1.0255105750631763
3199,1.05,0.513,0.260666666667,0.5089116420170648,0.257,1.96666666667,0.630333333333,0.000581333333333,0.30466666666700004,0.982333333333,1.2559999999966998,1.03714095183,1.020020628951848
5924,1.045,0.976166666667,0.921333333333,0.9418837675389616,0.48816666666700004,1.06166666667,0.7785,0.0008404999999999999,0.670666666667,0.53,0.9132500000000001,1.12335567088,1.2198764370792718
6389,0.997571428571,1.0275714285700002,0.8785714285709999,0.8544866612786651,0.513857142857,1.1685714285700002,0.868,0.0008359999999999999,0.639428571429,0.584857142857,0.8543428571424,1.24730035519,1.2631371175986477
1775,1.05,0.354666666667,0.262333333333,0.740010946908046,0.177333333333,1.35,0.67,0.0008853333333330002,0.318333333333,0.675666666667,1.2448333333367,1.0171628673100002,1.0232411204231786
7210,1.0004,1.172,0.72,0.6148445336008024,0.586,1.626,0.8096,0.0007796,0.8862,0.8123999999999999,0.9420000000000001,1.08709420718,1.0993855999572977
7212,1.031,0.85575,0.52325,0.6117039586919105,0.428,1.635,0.235,0.0045975,0.973,0.818,0.9926750000000001,1.00861738437,0.9958356590857455
2373,1.05,0.350666666667,0.262333333333,0.7490239821529565,0.175,1.33333333333,0.6859999999999999,0.000906,0.327333333333,0.6679999999999999,1.4128333333367002,1.02025206391,1.023289885778315
4890,1.05,0.535,0.271,0.5066420664212202,0.26733333333299997,1.97333333333,0.7040000000000001,0.000467333333333,0.356666666667,0.987,1.0121666666663,1.0417030431999998,1.0212482835419983
1195,1.05,0.362,0.262333333333,0.7248249865379645,0.18100000000000002,1.38,0.7090000000000001,0.0006753333333330001,0.35600000000000004,0.690333333333,1.0994666666633,1.03632808766,1.027258460766523
3967,1.05,0.516666666667,0.261333333333,0.5058957778621171,0.258666666667,1.97666666667,0.595666666667,0.0006083333333330001,0.29466666666700003,0.9896666666670001,1.3227333333333,1.01092991689,1.0200219081380153
4804,1.05,0.353,0.263666666667,0.7458745874587459,0.177,1.34333333333,0.6890000000000001,0.000912666666667,0.323666666667,0.6703333333329999,1.4211666666632998,1.00039866152,1.0233884959771145
3217,1.05,0.533333333333,0.293,0.5495958853789675,0.26633333333299997,1.82333333333,0.630666666667,0.000736333333333,0.375666666667,0.9123333333329999,1.5183333333333,1.03914066351,0.984599312562066
5828,1.042,1.0814285714299998,0.910571428571,0.844599844602055,0.54,1.18714285714,0.8290000000000001,0.000925,0.6991428571430001,0.5931428571430001,0.9007428571430001,1.22330565525,1.2109820574538768
899,1.05,0.505,0.264333333333,0.5236994219653179,0.252333333333,1.90666666667,0.7166666666670001,0.00122,0.68,0.9540000000000001,1.3934999999970001,1.04092407722,1.016987224158296
