,EXEC,L3HIT,L3MPI,MEM,L2MISS,FREQ,IPC,INST,L2MPI,PhysIPC%,L3MISS,INSTnom%,GT,Pred
1979,0.41839970501474927,0.9939198855507869,0.2824659413897873,0.3596965168410163,0.7747886241352806,0.8195230396119643,0.3812360978709882,0.9330045748384933,0.7771806531624638,0.38183842239185756,0.2985007327246082,0.4186578171091445,1.078781900748596,1.1342867476472256
3996,0.28456858407079644,0.4349546971864569,0.4512398314221307,0.43677817373644484,0.01143799641301563,0.3203314470493129,0.6633301557038448,0.5358535027562278,0.016895411326994625,0.6644402035623409,0.32397700371998644,0.2846976401179941,1.0276649187794809,1.0373222843408532
2687,0.41710914454277287,0.9935860753457321,0.2918749387435068,0.3590297735371882,0.808864975659749,0.8199272433306385,0.3797267238639974,0.9358438982299744,0.8032244729226953,0.3800890585241731,0.30999887273137183,0.4168510324483777,1.1283243174997055,1.1533771541108881
2077,0.6417699115044246,0.5091273247496423,0.16428109379594238,0.3294815496034027,0.014156033820138358,0.5044462409054162,0.9504289799809341,0.37461260450949535,0.009197188921041754,0.9507633587786258,0.2675684815691579,0.6420796460176992,1.0540411358716548,1.0556993381257058
1450,0.2828908554572271,0.3955650929899857,0.46378516122708996,0.44969153542552787,0.010850627722264928,0.3191188358932901,0.6617413409596441,0.5379933161741103,0.016316659776767255,0.6617366412213741,0.3271333558787058,0.28289085545722714,1.0165422096482402,1.0357034557151323
1927,0.6356010324483775,0.5357653791130187,0.19837302754091934,0.3950645668084455,0.01916794773251345,0.5252627324171382,0.9048299968223703,0.39395974609614076,0.01277387350144688,0.9050572519083968,0.3156352158719422,0.6357300884955752,1.0447399132464066,1.03023961780386
1794,0.28250368731563413,0.41208869814020027,0.4502597275311182,0.43880139479633684,0.010913399948757367,0.31831042845594176,0.6617413409596441,0.5372457897754276,0.016221579164944194,0.6625318066157759,0.3214970127381354,0.28263274336283184,1.0300076761347343,1.0327998388255022
2090,0.41550884955752215,0.40858369098712444,0.23310790943840043,0.30479457408897576,0.008259031514219833,0.31794664510913495,0.9752144899904669,0.36457889936150806,0.0083737081438611,0.9770992366412213,0.24403111261413593,0.41535398230088494,1.0215306187421072,1.031539311340825
3701,0.41607669616519166,0.9925846447305675,0.33009899049299224,0.44431160669808795,0.7976556495003845,0.8223524656426839,0.3777407054337464,0.9409355811097464,0.7999173212071102,0.3780216284987277,0.34832600608725056,0.41607669616519166,1.1215021036752564,1.1090548001194966
4034,0.41504424778761057,0.3891559370529328,0.27356659805939426,0.35202207150247156,0.009399692544196774,0.31818916734033953,0.9733079122974259,0.36512850459898544,0.009484911120297642,0.975,0.28758877240446395,0.4150442477876107,1.0363638839296798,1.028908632528847
1189,0.6388274336283185,0.5259179780639008,0.1919043418602372,0.385914089742116,0.018446067127850373,0.5274858528698465,0.9048299968223703,0.3933299565621825,0.012149648615130218,0.9061704834605595,0.30954796528012624,0.6393436578171093,1.0528244348769369,1.033848660100769
3307,0.6467256637168142,0.5868383404864093,0.13673625404292852,0.2806474307391654,0.016636433512682555,0.5294260307194826,0.9122974261201142,0.3894360003705648,0.010868954113269947,0.9139312977099237,0.22130537707135606,0.6467256637168144,1.0566864905864888,1.077585451373913
163,0.641150442477876,0.5189413447782546,0.15181417230226402,0.31119898838947013,0.013978478093774024,0.510751818916734,0.9380362249761678,0.3796541607230732,0.009212071103761885,0.939885496183206,0.2443016570848833,0.6408407079646018,1.0286858536222458,1.0597715945733701
135,0.9072640117994099,0.9850739151168337,0.09977457610506714,0.2911522397210407,0.281129900076864,0.9670573969280516,0.6982840800762631,0.5086280301007022,0.12959900785448533,0.6991094147582697,0.22928643895840375,0.9046828908554572,1.0841336828463637,1.1951538478783128
