,EXEC,PhysIPC%,L2MISS,MEM,L3MISS,GT,Pred
4332,0.5474292316582323,0.631267605635581,0.08353982300884956,0.11654084507038874,0.4091180331786609,1.0121486581499999,1.021998742715709
1004,0.23899480069324092,0.3071830985924146,0.03770796460176991,0.6143661971830987,0.6623702112423917,1.06549576545,1.0507911780798664
2434,0.2488734835355286,0.5760563380300733,0.0159882005899823,0.12822535211267608,0.4124597207303974,0.990964622329,1.005410422413748
3413,0.24841132293448875,0.5760563380300733,0.016601769911504426,0.13582347417840002,0.4348967657243108,1.02722728096,1.0030172649366724
2309,0.7105719237435009,0.5522535211283162,0.016194690265486728,0.10020140845070423,0.34121016827783746,1.2191690205799999,1.13285797326485
3066,0.7383015597920277,0.4909859154943408,0.045575221238938056,0.43837464788732394,0.3834586466165414,1.27704028771,1.211070353744112
3010,0.34916233391126517,0.806760563382836,0.015150442477876107,0.11999586854422535,0.42153001551450053,0.970506891407,0.9913773428436918
3766,0.20889659156533796,0.4819718309869914,0.23067846607681414,0.1250291079812169,0.4344193817873254,1.00443938238,1.0093146388865746
2649,0.9802426343154248,0.5734647887340097,0.144070796460177,0.07657577464788733,0.23871106337271752,1.53043346133,1.5162954765102101
3917,0.44436741767764293,0.48478873239601344,0.12188790560460176,0.12513051643192113,0.4339419978517723,1.039226443,1.016248707075033
2886,0.9622183708838823,0.5629859154945436,0.2247787610619469,0.07940867605633803,0.24684568564267814,1.53857179872,1.5315985166810804
3768,0.24841132293448875,0.5723943661985137,0.01746312684364602,0.1432338028169014,0.4597207303974221,1.01815580396,0.9999602347876626
3912,0.27480069324090123,0.2656901408458189,0.05107964601769911,0.688,0.8183315431435731,1.0813333838899999,1.0436234590037583
2432,0.3824378971694974,0.3563380281702996,0.6407079646017699,0.11411154929577465,0.4000477383931257,0.984725849448,1.0530812050743805
1244,0.7810514153691509,0.8704225352137195,0.021439528023610616,0.1221896713614986,0.4243943191306839,1.0651145759899998,1.043850431158052
2693,0.24933564413656847,0.5746478873255624,0.016353982300884955,0.13480563380318872,0.43203246210812746,1.0089919138099999,1.0029958281390707
1579,0.24679376083188911,0.5721126760579497,0.016684365781699118,0.13470422535174081,0.43250984604368065,1.02558168683,1.0034730133350296
2833,0.6694396302717506,0.5208450704237206,0.030749262536884956,0.12507793427192113,0.4339419978517723,1.05273304172,1.0808029325883863
1014,0.24771808203327558,0.5746478873255624,0.016542772861345135,0.13464788732357183,0.4363289175324024,1.00924850484,1.0027333261686502
3633,0.4348931253608319,0.47014084507146525,0.14206489675504425,0.13808450704262537,0.4582885785893305,1.04396940645,1.0138713977117837
2540,0.8915077989601388,0.5209014084521716,0.09784070796460177,0.07605994366197183,0.2365341926244182,1.4729131751499998,1.4086787419405813
3641,0.20912767186620454,0.33295774647981113,0.02453097345132743,0.49276995305239435,0.6067549826953097,1.04849504816,1.0418062136586625
120,0.25705372616984407,0.27363380281767224,0.0471929203539823,0.6873239436619719,0.7704976727533118,1.06430336429,1.0515209441336106
3419,0.24818024263431543,0.572676056339923,0.017321533923292037,0.13615399061070424,0.43871583721160046,1.0165271313200002,1.0023816135242567
3775,0.27296360485268634,0.24739436619788,0.05953982300884956,0.7647887323943663,0.995703544575725,1.06050314837,1.041990013379788
