,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
51,1.05821428571,0.352964285714,0.161714285714,0.4580079298334735,0.17639285714300001,2.18821428571,2.55967857143,0.000433071428571,0.9966785714290001,0.00596214285714,1.0138214285700002e-06,1.09335714286,0.00547414285715,1.07607827474,1.0684059551473697
97,1.05,0.523046511628,0.26204651162799997,0.5011755587134734,0.26155813953499996,1.99627906977,0.372744186047,4.14186046512e-05,0.984488372093,0.006022093023260001,6.68465116279e-07,0.9977441860469999,0.00719423255814,1.02244392004,1.0233724883523405
128,1.05,0.678625,0.2905,0.4277599142550911,0.339125,2.33625,1.845,0.000157875,0.99775,0.0032875,2.836875e-07,1.17,0.00566375,1.0282077785400001,1.0579451512807827
90,1.05,1.29717948718,0.522948717949,0.403333717845081,0.648333333333,2.48051282051,0.0444358974359,2.00051282051e-06,0.958102564103,0.00186387179487,8.40097435897e-08,1.23974358974,0.001615566666667,1.0267344817100001,1.0276031647176693
45,1.05,1.29761904762,0.522952380952,0.4029631208697287,0.649142857143,2.4819047619,0.05,2.24571428571e-06,0.943428571429,0.00368533333333,1.66882380952e-07,1.24095238095,0.0025594190476220004,1.0354132601100001,1.0277239280951629
56,1.05,0.36980769230800004,0.1605,0.43405959822779605,0.184846153846,2.3042307692299997,2.14653846154,0.000339923076923,0.997615384615,0.00397211538462,6.33692307692e-07,1.15384615385,0.005151923076920001,1.09201475433,1.0612152029610764
59,1.05,0.5235,0.26207692307700003,0.5008071905411231,0.261769230769,1.99692307692,0.36288461538500005,4.11923076923e-05,0.976538461538,0.008716923076920001,9.920384615379998e-07,0.9981153846149999,0.013308076923080002,1.0245972135899999,1.0231739968454192
8,1.05,0.524514285714,0.262228571429,0.5002913564264326,0.262285714286,1.99885714286,0.348057142857,3.94428571429e-05,0.972314285714,0.009636,1.0908e-06,0.9987142857139999,0.01510314285714,1.02100355276,1.0228925299862195
37,1.04909090909,0.371681818182,0.159818181818,0.4302536890304369,0.185818181818,2.32545454545,2.0777272727300002,0.000332818181818,0.9965454545450001,0.0066222727272700005,1.0583636363600001e-06,1.16136363636,0.00610727272727,1.02311753591,1.0600126405299175
33,1.05,0.984136363636,0.393363636364,0.39983557138865483,0.492045454545,2.50272727273,0.0784272727273,4.70818181818e-06,0.9508181818179999,0.00505404545455,3.01522727273e-07,1.25,0.00506918181819,1.02458089305,1.0258866539755505
147,1.05,0.660612903226,0.262258064516,0.3969538729331566,0.330322580645,2.51838709677,0.06567741935480001,5.90483870968e-06,0.960516129032,0.00347909677419,3.12590322581e-07,1.26064516129,0.002572209677417,1.02644411466,1.0231009981431114
61,1.05,0.524230769231,0.262807692308,0.5011037527590788,0.26219230769199997,1.9957692307700001,0.416307692308,4.68538461538e-05,0.972384615385,0.0112103846154,1.26173076923e-06,0.997615384615,0.022625384615419998,1.02138971314,1.0242579214108662
98,1.05,0.368088888889,0.160533333333,0.43619348130002067,0.184133333333,2.29377777778,2.2351111111099997,0.0003614,0.997488888889,0.004974444444439999,8.059555555560001e-07,1.14688888889,0.0054719999999999994,1.05740425365,1.0629056365036833
121,1.05,0.344578947368,0.154526315789,0.4482133139850635,0.172263157895,2.23105263158,2.87,0.000496157894737,0.9973684210529999,0.00530368421053,9.16315789474e-07,1.11631578947,0.005598947368419999,1.1306510439200002,1.0750896439738398
135,1.05,0.525375,0.262875,0.5003489183531054,0.262625,1.99875,0.448125,5.00375e-05,0.963,0.01640375,1.825e-06,1.00025,0.0333925,1.03718581856,1.024940591631047
24,1.05,0.669307692308,0.294076923077,0.4387809778973728,0.33461538461499996,2.27615384615,2.0853846153799998,0.000182,0.997230769231,0.00453846153846,3.94807692308e-07,1.14,0.00544692307693,1.02569011194,1.0622212060984666
