ACYC-1,AFREQ-1,EXEC-1,FREQ-1,INST-1,INSTnom-1,INSTnom%-1,IPC-1,L2HIT-1,L2MISS-1,L2MPI-1,L3HIT-1,L3MISS-1,L3MPI-1,PhysIPC-1,PhysIPC%-1,READ-1,TIME(ticks)-1,WRITE-1,ACYC-2,AFREQ-2,EXEC-2,FREQ-2,INST-2,INSTnom-2,INSTnom%-2,IPC-2,L2HIT-2,L2MISS-2,L2MPI-2,L3HIT-2,L3MISS-2,L3MPI-2,PhysIPC-2,PhysIPC%-2,READ-2,TIME(ticks)-2,WRITE-2,ACYC-C,AFREQ-C,EXEC-C,FREQ-C,INST-C,INSTnom-C,INSTnom%-C,IPC-C,L2HIT-C,L2MISS-C,L2MPI-C,L3HIT-C,L3MISS-C,L3MPI-C,PhysIPC-C,PhysIPC%-C,READ-C,TIME(ticks)-C,WRITE-C
2353.33333333,1.02816666667,0.24233333333299997,0.138333333333,4123.33333333,0.485166666667,12.138333333299999,1.755,0.627,1.92366666667,0.000471833333333,0.447166666667,1.06016666667,0.000260666666667,3.51333333333,87.8166666667,0.6831666666670001,2125.0,0.045483333333300006,8084.0,0.9969,0.9657,0.4785,16320.0,1.932,48.33,2.019,0.9425,1.601,9.875e-05,0.9753,0.04226,2.6345e-06,4.04,101.09,0.3056,2111.0,0.019111000000000003,10683.3333333,1.02033333333,1.15666666667,0.63,19700.0,2.315,57.85,1.83833333333,0.8963333333329999,4.21,0.0002137,0.719166666667,1.0659999999999998,5.47e-05,3.675,91.9,0.6871666666670001,2125.0,0.040708333333300005
2353.33333333,1.02816666667,0.24233333333299997,0.138333333333,4123.33333333,0.485166666667,12.138333333299999,1.755,0.627,1.92366666667,0.000471833333333,0.447166666667,1.06016666667,0.000260666666667,3.51333333333,87.8166666667,0.6831666666670001,2125.0,0.045483333333300006,10383.0,1.047,1.18,0.6146,19930.0,2.359,59.0,1.921,0.8127,13.54,0.000678,0.9974,0.035097,1.7515e-06,3.844,96.06,0.3009,2111.0,0.0129543,11733.3333333,0.966,1.06333333333,0.691666666667,18033.3333333,2.13,53.2166666667,1.53833333333,0.7873333333329999,16.215,0.000897166666667,0.9391666666670001,0.9558333333329999,5.32833333333e-05,3.0783333333300003,76.9833333333,0.644833333333,2116.66666667,0.038385
2353.33333333,1.02816666667,0.24233333333299997,0.138333333333,4123.33333333,0.485166666667,12.138333333299999,1.755,0.627,1.92366666667,0.000471833333333,0.447166666667,1.06016666667,0.000260666666667,3.51333333333,87.8166666667,0.6831666666670001,2125.0,0.045483333333300006,11303.0,1.0007,0.7886,0.6718,13260.0,1.5759999999999998,39.43,1.18,0.7391,46.33,0.003493,0.9985,0.057999999999999996,4.275e-06,2.359,58.96,0.3129,2101.0,0.02164,13414.285714299998,1.00085714286,0.947285714286,0.7948571428569999,16000.0,1.8957142857099998,47.3714285714,1.19142857143,0.679142857143,45.9,0.0028542857142900002,0.976571428571,0.906428571429,5.61428571429e-05,2.3857142857099998,59.6428571429,0.608,2110.0,0.036004285714300005
2353.33333333,1.02816666667,0.24233333333299997,0.138333333333,4123.33333333,0.485166666667,12.138333333299999,1.755,0.627,1.92366666667,0.000471833333333,0.447166666667,1.06016666667,0.000260666666667,3.51333333333,87.8166666667,0.6831666666670001,2125.0,0.045483333333300006,13960.0,1.0490000000000002,1.031,0.8269,17390.0,2.062,51.55,1.249,0.6362,67.56,0.0038759999999999997,0.9994,0.03712,2.1385e-06,2.496,62.4,0.2999,2110.0,0.012924000000000001,16037.5,1.013125,1.1125,0.941875,18987.5,2.22875,55.7125,1.18125,0.657125,62.925,0.00331625,0.983,0.90525,4.77e-05,2.36625,59.1375,0.60475,2126.25,0.0372125
2353.33333333,1.02816666667,0.24233333333299997,0.138333333333,4123.33333333,0.485166666667,12.138333333299999,1.755,0.627,1.92366666667,0.000471833333333,0.447166666667,1.06016666667,0.000260666666667,3.51333333333,87.8166666667,0.6831666666670001,2125.0,0.045483333333300006,6765.55555556,1.05,0.660222222222,0.398888888889,11222.2222222,1.32222222222,33.0111111111,1.65555555556,0.25733333333299996,66.6666666667,0.005951111111109999,0.9995555555560001,0.039555555555599996,3.5044444444400003e-06,3.31222222222,82.8222222222,0.30366666666700004,2121.11111111,0.017082222222200003,9100.0,1.05,0.8915,0.5365,15116.666666699999,1.78333333333,44.5833333333,1.66166666667,0.229333333333,75.4833333333,0.004995,0.985166666667,1.1236666666700001,7.43333333333e-05,3.32666666667,83.15,0.7055,2120.0,0.046183333333300006
2353.33333333,1.02816666667,0.24233333333299997,0.138333333333,4123.33333333,0.485166666667,12.138333333299999,1.755,0.627,1.92366666667,0.000471833333333,0.447166666667,1.06016666667,0.000260666666667,3.51333333333,87.8166666667,0.6831666666670001,2125.0,0.045483333333300006,11320.0,0.9865,0.9617,0.6733,16160.0,1.9240000000000002,48.08,1.43,0.1694,150.0,0.009290000000000001,0.9998,0.04815,3.0435e-06,2.8569999999999998,71.46,0.3037,2101.0,0.019909,14600.0,1.05,1.02828571429,0.852857142857,17542.8571429,2.05428571429,51.3571428571,1.20571428571,0.19814285714299998,149.571428571,0.00852857142857,0.992714285714,1.07042857143,6.09714285714e-05,2.41142857143,60.285714285699996,0.660714285714,2137.14285714,0.039830000000000004
2353.33333333,1.02816666667,0.24233333333299997,0.138333333333,4123.33333333,0.485166666667,12.138333333299999,1.755,0.627,1.92366666667,0.000471833333333,0.447166666667,1.06016666667,0.000260666666667,3.51333333333,87.8166666667,0.6831666666670001,2125.0,0.045483333333300006,12460.0,0.9849,1.109,0.7398,18720.0,2.221,55.52,1.5030000000000001,0.9247,4.1143,0.000218175,0.9471,0.036093,1.9339e-06,3.0069999999999997,75.18,0.3031,2104.0,0.014841,15314.2857143,1.025,1.23285714286,0.896142857143,21042.8571429,2.4642857142900003,61.571428571400006,1.37285714286,0.758285714286,11.9,0.000566285714286,0.783142857143,1.02342857143,4.89285714286e-05,2.74714285714,68.6714285714,0.660142857143,2128.57142857,0.03662
2353.33333333,1.02816666667,0.24233333333299997,0.138333333333,4123.33333333,0.485166666667,12.138333333299999,1.755,0.627,1.92366666667,0.000471833333333,0.447166666667,1.06016666667,0.000260666666667,3.51333333333,87.8166666667,0.6831666666670001,2125.0,0.045483333333300006,12520.0,0.9905,0.956,0.7458,16050.0,1.913,47.8,1.2830000000000001,0.8058,16.12,0.0010061,0.9944,0.033822000000000005,2.0957e-06,2.5660000000000003,64.15,0.301,2100.0,0.015881,15514.2857143,1.0377142857100001,1.08214285714,0.91,18471.428571400003,2.1628571428599996,54.0428571429,1.18857142857,0.888,18.157142857100002,0.000981857142857,0.873,0.978,5.3e-05,2.37714285714,59.4142857143,0.646428571429,2131.42857143,0.0397185714286
2353.33333333,1.02816666667,0.24233333333299997,0.138333333333,4123.33333333,0.485166666667,12.138333333299999,1.755,0.627,1.92366666667,0.000471833333333,0.447166666667,1.06016666667,0.000260666666667,3.51333333333,87.8166666667,0.6831666666670001,2125.0,0.045483333333300006,8442.0,1.0161,0.7245,0.5013,12195.0,1.4480000000000002,36.23,1.449,0.2648,110.09,0.009034,0.9995,0.072759,5.749299999999999e-06,2.9,72.51,0.3236,2105.0,0.025527,10691.6666667,1.04333333333,0.8923333333329999,0.625333333333,15216.666666699999,1.785,44.6333333333,1.4266666666699999,0.31583333333299995,99.3166666667,0.00650833333333,0.9875,1.2093333333299998,8.08166666667e-05,2.85666666667,71.4,0.691,2133.33333333,0.042983333333300004
2353.33333333,1.02816666667,0.24233333333299997,0.138333333333,4123.33333333,0.485166666667,12.138333333299999,1.755,0.627,1.92366666667,0.000471833333333,0.447166666667,1.06016666667,0.000260666666667,3.51333333333,87.8166666667,0.6831666666670001,2125.0,0.045483333333300006,15790.0,1.0348,1.229,0.94,20650.0,2.458,61.41,1.3090000000000002,0.6583,25.07,0.001216,0.9974,0.04564,2.2130000000000002e-06,2.6180000000000003,65.46,0.3051,2100.0,0.018577,16637.5,0.984125,1.225,0.9595,21312.5,2.455,61.375,1.28,0.6665,32.35,0.0015300000000000001,0.96875,0.83775,3.97765e-05,2.55625,63.9125,0.600625,2167.5,0.034902499999999996
