ACYC-1,AFREQ-1,EXEC-1,FREQ-1,INST-1,INSTnom-1,INSTnom%-1,IPC-1,L2HIT-1,L2MISS-1,L2MPI-1,L3HIT-1,L3MISS-1,L3MPI-1,PhysIPC-1,PhysIPC%-1,READ-1,TIME(ticks)-1,WRITE-1,ACYC-2,AFREQ-2,EXEC-2,FREQ-2,INST-2,INSTnom-2,INSTnom%-2,IPC-2,L2HIT-2,L2MISS-2,L2MPI-2,L3HIT-2,L3MISS-2,L3MPI-2,PhysIPC-2,PhysIPC%-2,READ-2,TIME(ticks)-2,WRITE-2,ACYC-C,AFREQ-C,EXEC-C,FREQ-C,INST-C,INSTnom-C,INSTnom%-C,IPC-C,L2HIT-C,L2MISS-C,L2MPI-C,L3HIT-C,L3MISS-C,L3MPI-C,PhysIPC-C,PhysIPC%-C,READ-C,TIME(ticks)-C,WRITE-C
1848.33333333,0.721,0.115933333333,0.11015,1948.33333333,0.231833333333,5.795,1.0815,0.6775,3.07383333333,0.0017975,0.6575,1.24516666667,0.000750166666667,2.15833333333,54.0333333333,1.93016666667,2100.0,1.47833333333,12280.0,0.7559999999999999,0.9279,0.7297,15630.0,1.857,46.41,1.272,0.8914,4.695,0.0003027,0.9824,0.030585,2.0043e-06,2.544,63.58,0.2989,2104.0,0.0101441,12725.0,0.755625,0.98125,0.754,16612.5,1.96125,49.0625,1.30125,0.931875,4.45375,0.00026575,0.672625,0.781375,4.619125e-05,2.60125,65.0375,1.625375,2112.5,1.1440000000000001
1848.33333333,0.721,0.115933333333,0.11015,1948.33333333,0.231833333333,5.795,1.0815,0.6775,3.07383333333,0.0017975,0.6575,1.24516666667,0.000750166666667,2.15833333333,54.0333333333,1.93016666667,2100.0,1.47833333333,10980.0,0.7576,0.9721,0.6539,16360.0,1.945,48.62,1.4880000000000002,0.1533,105.76,0.006475,0.9999,0.03205,1.9856e-06,2.977,74.44,0.2965,2101.0,0.014793,12725.0,0.757625,0.965625,0.75425,16287.5,1.9325,48.275,1.27875,0.16,114.0,0.00701375,0.993375,0.75515,4.656875e-05,2.56125,64.0125,1.577125,2107.5,1.134875
1848.33333333,0.721,0.115933333333,0.11015,1948.33333333,0.231833333333,5.795,1.0815,0.6775,3.07383333333,0.0017975,0.6575,1.24516666667,0.000750166666667,2.15833333333,54.0333333333,1.93016666667,2100.0,1.47833333333,11190.0,0.759,0.9365,0.6598,15880.0,1.8730000000000002,46.84,1.421,0.8268,6.5120000000000005,0.0004109,0.9653,0.036364999999999995,2.3143e-06,2.842,71.09,0.3037,2116.0,0.015827,12737.5,0.76,0.929375,0.755375,15637.5,1.85875,46.4625,1.23,0.872125,5.944375,0.00038315,0.709125,0.76125,4.80475e-05,2.45875,61.5125,1.595625,2106.25,1.13425
1848.33333333,0.721,0.115933333333,0.11015,1948.33333333,0.231833333333,5.795,1.0815,0.6775,3.07383333333,0.0017975,0.6575,1.24516666667,0.000750166666667,2.15833333333,54.0333333333,1.93016666667,2100.0,1.47833333333,8112.0,0.76,0.8613,0.4814,14530.0,1.723,43.09,1.791,0.8534,4.561,0.0003142,0.9942,0.032652999999999995,2.2461e-06,3.583,89.58,0.2982,2106.0,0.0077545,9840.0,0.759285714286,0.820428571429,0.584571428571,13800.0,1.64142857143,41.0,1.4042857142899998,0.668714285714,21.985714285700002,0.00159571428571,0.9531428571430001,1.1442857142899998,8.37428571429e-05,2.81,70.1714285714,1.86957142857,2100.0,1.3478571428600001
1848.33333333,0.721,0.115933333333,0.11015,1948.33333333,0.231833333333,5.795,1.0815,0.6775,3.07383333333,0.0017975,0.6575,1.24516666667,0.000750166666667,2.15833333333,54.0333333333,1.93016666667,2100.0,1.47833333333,5857.77777778,0.7546666666670001,0.539222222222,0.344777777778,9163.33333333,1.07877777778,26.9666666667,1.56555555556,0.720111111111,15.722222222200001,0.0017166666666700002,0.998,0.0257088888889,2.7585555555599997e-06,3.13111111111,78.2777777778,0.297888888889,2124.44444444,0.008185555555560001,7270.0,0.76,0.585,0.430666666667,9871.66666667,1.1716666666700002,29.2666666667,1.36166666667,0.762,16.9666666667,0.0017216666666700002,0.932333333333,1.3030000000000002,0.000130066666667,2.72166666667,68.0666666667,1.9235,2105.0,1.46833333333
1848.33333333,0.721,0.115933333333,0.11015,1948.33333333,0.231833333333,5.795,1.0815,0.6775,3.07383333333,0.0017975,0.6575,1.24516666667,0.000750166666667,2.15833333333,54.0333333333,1.93016666667,2100.0,1.47833333333,9288.0,0.7527,1.0051,0.5526,16850.0,2.004,50.15,1.814,0.7532,15.34,0.0009095,0.998,0.031277,1.853e-06,3.63,90.75,0.297,2100.0,0.015028999999999999,11162.5,0.75875,0.8865,0.661875,14937.5,1.7725,44.35,1.34125,0.639625,25.125,0.0016925,0.96325,1.0425,7.18875e-05,2.685,67.0625,1.7105,2105.0,1.186
1848.33333333,0.721,0.115933333333,0.11015,1948.33333333,0.231833333333,5.795,1.0815,0.6775,3.07383333333,0.0017975,0.6575,1.24516666667,0.000750166666667,2.15833333333,54.0333333333,1.93016666667,2100.0,1.47833333333,11230.0,0.7555,0.8598,0.6684,14450.0,1.719,42.99,1.287,0.645,23.94,0.0016649999999999998,0.9982,0.033121,2.3324e-06,2.573,64.32,0.3009,2100.0,0.010998,12700.0,0.76,0.83975,0.75525,14100.0,1.67875,41.9875,1.1125,0.579125,38.65,0.0027475,0.97475,0.79725,5.51875e-05,2.2225,55.6,1.61475,2100.0,1.141875
1848.33333333,0.721,0.115933333333,0.11015,1948.33333333,0.231833333333,5.795,1.0815,0.6775,3.07383333333,0.0017975,0.6575,1.24516666667,0.000750166666667,2.15833333333,54.0333333333,1.93016666667,2100.0,1.47833333333,5831.0,0.76,0.5451,0.3443,9232.0,1.091,27.25,1.5859999999999999,0.8808,9.094,0.0009843999999999999,0.9936,0.03935,4.279e-06,3.168,79.25,0.3048,2117.0,0.017558,7738.57142857,0.758714285714,0.625142857143,0.459142857143,10537.142857100001,1.25,31.271428571399998,1.36714285714,0.774428571429,17.0428571429,0.00160857142857,0.933428571429,1.1862857142899998,0.00011185714285700002,2.7342857142900003,68.3428571429,1.9048571428599999,2102.85714286,1.35728571429
1848.33333333,0.721,0.115933333333,0.11015,1948.33333333,0.231833333333,5.795,1.0815,0.6775,3.07383333333,0.0017975,0.6575,1.24516666667,0.000750166666667,2.15833333333,54.0333333333,1.93016666667,2100.0,1.47833333333,12620.0,0.7576,0.945,0.7521,15890.0,1.891,47.26,1.256,0.7901,8.675,0.0005449,0.9851,0.03594,2.261e-06,2.5140000000000002,62.84,0.302,2100.0,0.01654,13033.3333333,0.76,0.935555555556,0.7575555555560001,16077.7777778,1.8711111111099996,46.7777777778,1.2366666666700001,0.804444444444,9.73888888889,0.000603,0.8268888888889999,0.761944444444,4.60855555556e-05,2.47,61.7666666667,1.57411111111,2145.55555556,1.05944444444
1848.33333333,0.721,0.115933333333,0.11015,1948.33333333,0.231833333333,5.795,1.0815,0.6775,3.07383333333,0.0017975,0.6575,1.24516666667,0.000750166666667,2.15833333333,54.0333333333,1.93016666667,2100.0,1.47833333333,9669.0,0.7512,0.7476,0.573,12620.0,1.496,37.37,1.305,0.1897,64.99,0.005162,0.9990000000000001,0.058783,4.4748e-06,2.611,65.28,0.319,2107.0,0.015992,11357.142857100001,0.7598571428569999,0.7404285714290001,0.675428571429,12428.5714286,1.4814285714300002,36.9857142857,1.09914285714,0.264285714286,68.08571428569999,0.00548428571429,0.982,1.165,9.21428571429e-05,2.1942857142900003,54.9,1.79514285714,2100.0,1.3118571428599999
1908.33333333,0.7533333333329999,0.118816666667,0.11375,1999.16666667,0.23783333333299997,5.943333333330001,1.07533333333,0.678666666667,2.975,0.00186683333333,0.6505,1.25316666667,0.000817166666667,2.14833333333,53.7,1.89333333333,2100.0,1.44916666667,11040.0,0.7559,0.9607,0.6561,16180.0,1.9240000000000002,48.1,1.4669999999999999,0.10926,112.8,0.006983,0.9998,0.026545,1.6624000000000002e-06,2.935,73.38,0.2938,2103.0,0.0074994,12685.714285700002,0.76,0.9268571428569999,0.753714285714,15585.7142857,1.8542857142900002,46.3428571429,1.23,0.167428571429,109.285714286,0.00702571428571,0.9928571428569999,0.818857142857,5.23571428571e-05,2.46,61.4857142857,1.6018571428600001,2102.85714286,1.20557142857
1908.33333333,0.7533333333329999,0.118816666667,0.11375,1999.16666667,0.23783333333299997,5.943333333330001,1.07533333333,0.678666666667,2.975,0.00186683333333,0.6505,1.25316666667,0.000817166666667,2.14833333333,53.7,1.89333333333,2100.0,1.44916666667,9737.77777778,0.76,0.931111111111,0.574222222222,15788.888888899999,1.86333333333,46.5555555556,1.62333333333,0.697777777778,17.944444444400002,0.00113077777778,0.9985555555560001,0.0294488888889,1.8324444444400003e-06,3.24444444444,81.12222222220001,0.29744444444400003,2117.77777778,0.007873333333329999,11185.714285700002,0.76,0.8988571428569999,0.664428571429,15100.0,1.7985714285699999,44.928571428599994,1.35,0.747714285714,16.0285714286,0.00106928571429,0.938142857143,1.13571428571,7.66142857143e-05,2.7057142857099996,67.6,1.69285714286,2101.42857143,1.2492857142899998
1908.33333333,0.7533333333329999,0.118816666667,0.11375,1999.16666667,0.23783333333299997,5.943333333330001,1.07533333333,0.678666666667,2.975,0.00186683333333,0.6505,1.25316666667,0.000817166666667,2.14833333333,53.7,1.89333333333,2100.0,1.44916666667,12180.0,0.7577,0.9926,0.7245,16680.0,1.984,49.58,1.37,0.9098,7.1370000000000005,0.0004257,0.9933,0.03342,2.0035e-06,2.74,68.5,0.2997,2102.0,0.015143,12742.857142899999,0.7575714285709999,0.970857142857,0.7531428571430001,16414.2857143,1.93857142857,48.528571428599996,1.29,0.9292857142859999,3.8857142857099998,0.000238857142857,0.8107142857140001,0.835,5.18714285714e-05,2.5757142857099997,64.4428571429,1.6118571428600001,2107.14285714,1.20057142857
1908.33333333,0.7533333333329999,0.118816666667,0.11375,1999.16666667,0.23783333333299997,5.943333333330001,1.07533333333,0.678666666667,2.975,0.00186683333333,0.6505,1.25316666667,0.000817166666667,2.14833333333,53.7,1.89333333333,2100.0,1.44916666667,12590.0,0.7559,0.9393,0.7494,15810.0,1.879,46.96,1.253,0.8225,6.295,0.00039810000000000003,0.9554,0.026833999999999997,1.6928e-06,2.508,62.65,0.2975,2101.0,0.008508,12771.4285714,0.759,0.932,0.7559999999999999,15771.428571399998,1.8642857142900002,46.6,1.23428571429,0.9215714285709999,3.9989999999999997,0.000254571428571,0.630285714286,0.8295571428569999,5.25185714286e-05,2.4642857142900003,61.6428571429,1.6181428571399998,2105.71428571,1.20385714286
1908.33333333,0.7533333333329999,0.118816666667,0.11375,1999.16666667,0.23783333333299997,5.943333333330001,1.07533333333,0.678666666667,2.975,0.00186683333333,0.6505,1.25316666667,0.000817166666667,2.14833333333,53.7,1.89333333333,2100.0,1.44916666667,9704.44444444,0.76,0.745111111111,0.574444444444,12555.555555600002,1.48888888889,37.2555555556,1.29888888889,0.171333333333,49.755555555600004,0.00396,0.998888888889,0.044666666666699995,3.5611111111099998e-06,2.59555555556,64.9111111111,0.309444444444,2110.0,0.0185522222222,11242.857142899999,0.76,0.7548571428569999,0.669714285714,12685.714285700002,1.51,37.7571428571,1.1257142857100002,0.24957142857099998,67.6857142857,0.00534142857143,0.983857142857,1.0184285714299999,7.80514285714e-05,2.2542857142900004,56.3428571429,1.6622857142899998,2100.0,1.24171428571
