feature,LR-1,LR-2,LS-1,LS-2,EN-1,EN-2,BR-1,BR-2,nn
L2MISS,0.9536202082751194,0.9691577649020922,0.9431761491359982,0.848564922707896,0.9421379422182213,0.8475224552657626,0.9535188867647316,0.970006043480215,0.9736275111167672
L2MPI,0.9636460417518373,0.9772539717017822,0.8776184035176169,0.7834922634213993,0.8776183800208318,0.7834922187259349,0.9635944554386251,0.9765573879661885,0.9389936704777455
L3HIT,0.8881076949992177,0.9745695407337994,0.6780568867610317,0.2195467518077786,0.6768475195370691,0.21954573280976264,0.8880924096216093,0.9728655086519882,0.9773497110401905
L3MISS,0.8674959475107247,0.9035374792193166,0.8602636585886752,0.7236815759520033,0.8560666869425698,0.7132735524622893,0.8670088397195583,0.9037380328927552,0.9061536777069528
L3MPI,0.809176431919833,0.8586118828911373,0.7678046882868909,0.05631180386298196,0.7678006909322392,0.05631178826511407,0.8084888960115909,0.8591271524555111,0.764663148983787
PhysIPC%,0.9539140556552304,0.9823485414606927,0.8903762239513079,0.08694056915658432,0.8870603365305785,0.08693944595740655,0.9539545421523787,0.9819550933044658,0.9804070104438454
MEM,0.9811901834175174,0.9892304508445908,0.9719316139477165,0.5927822771317509,0.9705919704683066,0.5638548054542205,0.9811861284333182,0.9896903067046133,0.9891863363719643
mse
AFREQ,1.1052569366321533e-05,1.082294097478834e-05,1.1118802338416556e-05,1.918731350619454e-05,1.111997168719616e-05,1.9187313680336552e-05,1.093480776916469e-05,1.0562324877014896e-05,2.0921940254498415e-05
EXEC,0.0018477131830199464,0.0012010263349333842,0.0029596119966023796,0.06525713657225703,0.0033128169218841685,0.06526868284342241,0.001846596185222645,0.0012434851669992834,0.0012084353510883187
FREQ,0.002402306097873938,0.001715242030172571,0.007393983559478582,0.03357863662497549,0.007618107994659942,0.03357884341625881,0.0024397632707166238,0.0017532127042053304,0.0017308885278447346
INST,0.006227928082251619,0.0033438332255494,0.011948802113119647,0.09238641090874267,0.012347749461240684,0.09238656843478157,0.006365857750755,0.003468709911562522,0.0035734812942165195
INSTnom%,0.000461952131893529,0.0003003852784150717,0.0007397648012233648,0.016313316596976535,0.0007781787980506215,0.016314759958878548,0.00046167190270718405,0.0003109340234718025,0.0003095000035411745
IPC,0.006257122930844382,0.002398048471667667,0.014889691263974623,0.12395930314919422,0.015706985326658016,0.12395960795699881,0.006251250143229215,0.0024520089033222563,0.002474709461741802
L2MISS,218.77267469756353,145.48228905479712,268.0371208623647,714.3166381330083,272.9343249213838,719.2339390116645,219.25060650811173,141.48097368612494,124.3985735348075
