app,config,exec,slowdown
bodytrack,layer-4-particle-966,17.447412729263306,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,96.4290668964386,3.0
ferret,hash-2-itr-25-probe-20,217.92511558532715,3.0
ferret,hash-2-itr-25-probe-20,262.67029190063477,3.0
nn,batch-1-learning-34-regular-67,30.623284816741943,3.0
svm,batch-1-learning-56-regular-34,29.90441608428955,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,101.83029103279114,3.0
ferret,hash-2-itr-25-probe-20,234.0920114517212,3.0
svm,batch-1-learning-56-regular-34,26.03352189064026,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,104.70911884307861,3.0
ferret,hash-2-itr-25-probe-20,240.29263401031494,3.0
nn,batch-1-learning-34-regular-67,27.11305809020996,3.0
bodytrack,layer-4-particle-966,21.100727319717407,3.0
nn,batch-1-learning-34-regular-67,30.901726007461548,3.0
svm,batch-1-learning-56-regular-34,29.520753622055054,3.0
bodytrack,layer-4-particle-966,18.915753602981567,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,102.3383355140686,3.0
svm,batch-1-learning-56-regular-34,26.296793937683105,3.0
bodytrack,layer-4-particle-966,19.581597328186035,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,104.5393316745758,3.0
nn,batch-1-learning-34-regular-67,27.219366788864136,3.0
